lane,endpoint,arm,baseline_ari,baseline_nmi,arm_ari,arm_nmi,delta_ari,delta_nmi,changed_spots_aligned,arm_partition_sha256,baseline_partition_sha256
A1_K10,FEASIBLE_MEDOID,SWAPPED_RESPONSE_CONTROL,0.2329338617253861,0.3895308982489969,0.226355517264187,0.389801824785863,-0.006578344461199093,0.0002709265368661118,406,ce4b66750e89b02188a7de4faeb8bee116530fffa9473ee76408d8e5b064f341,07d57255265a3d4a71825a788280cf1de05c1674ab7e1012d611ba267f9a0fb6
A1_K10,NIGHT16H_FIXED_STRUCTURED,FULL_RESPONSE_CALIBRATION,0.2331666863466764,0.3876087817065577,0.2236824927386072,0.3916966736912486,-0.00948419360806918,0.0040878919846908945,1128,937e4724a9bfebca43174d94ab8dc71de8f8fc79823690e6b383603923a71b7e,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74
A1_K10,NIGHT16H_FIXED_STRUCTURED,LOWPASS_ONLY_CALIBRATION,0.2331666863466764,0.3876087817065577,0.2342867623287386,0.3913702869959228,0.0011200759820622075,0.0037615052893650858,81,a8fcdad97b32bd083b88d8a0443a46ac9a07a910b3920cc237ff050c75bfeae5,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74
A1_K10,NIGHT16H_FIXED_STRUCTURED,SHARPEN_ONLY_CALIBRATION,0.2331666863466764,0.3876087817065577,0.2324557746999505,0.390515557427709,-0.0007109116467259036,0.002906775721151278,321,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74
A1_K10,NIGHT16H_FIXED_STRUCTURED,SHARED_SCALE_CONTROL,0.2331666863466764,0.3876087817065577,0.2364978708328545,0.3902053339781204,0.0033311844861781126,0.002596552271562691,990,8f3dafa7fbb48047b991c0d3f499677df00e4b0afa47ddbd4aaced2b0356ec12,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74
A1_K10,NIGHT16H_FIXED_STRUCTURED,SWAPPED_RESPONSE_CONTROL,0.2331666863466764,0.3876087817065577,0.2418183998578147,0.3973376057518142,0.008651713511138304,0.00972882404525649,674,ca62e8afeb085dea5e6c6d00b47cb0d98250b61d229baf19786d09c5f1004d54,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74
P22_K9,COMMON_GMM,FULL_RESPONSE_CALIBRATION,0.4087910312832014,0.5533384225324424,0.4518480245229052,0.5787260728093653,0.0430569932397038,0.025387650276922913,1301,0d76cb3ac6f5e868ab04c2f2db4f2a3576877a27c4092ba882387e81b737865b,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5
P22_K9,COMMON_GMM,LOWPASS_ONLY_CALIBRATION,0.4087910312832014,0.5533384225324424,0.4087910312832014,0.5533384225324424,0.0,0.0,0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5
P22_K9,COMMON_GMM,SHARPEN_ONLY_CALIBRATION,0.4087910312832014,0.5533384225324424,0.4518480245229052,0.5787260728093653,0.0430569932397038,0.025387650276922913,1301,0d76cb3ac6f5e868ab04c2f2db4f2a3576877a27c4092ba882387e81b737865b,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5
P22_K9,COMMON_GMM,SHARED_SCALE_CONTROL,0.4087910312832014,0.5533384225324424,0.4087910312832014,0.5533384225324424,0.0,0.0,0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5
P22_K9,COMMON_GMM,SWAPPED_RESPONSE_CONTROL,0.4087910312832014,0.5533384225324424,0.451624122898562,0.5785050177974075,0.04283309161536064,0.02516659526496512,1316,6e08e4abfe93ce31235ba4e473111fba0adbb52427a93b9fed700b665f89a1a1,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5
P22_K9,COMMON_KMEANS,FULL_RESPONSE_CALIBRATION,0.4192055973769617,0.5511881134661232,0.4177292582114458,0.5497512150738819,-0.0014763391655159275,-0.0014368983922412593,34,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389
P22_K9,COMMON_KMEANS,LOWPASS_ONLY_CALIBRATION,0.4192055973769617,0.5511881134661232,0.4192055973769617,0.5511881134661232,0.0,0.0,0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389
P22_K9,COMMON_KMEANS,SHARPEN_ONLY_CALIBRATION,0.4192055973769617,0.5511881134661232,0.4177292582114458,0.5497512150738819,-0.0014763391655159275,-0.0014368983922412593,34,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389
P22_K9,COMMON_KMEANS,SHARED_SCALE_CONTROL,0.4192055973769617,0.5511881134661232,0.4192055973769617,0.5511881134661232,0.0,0.0,0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389
P22_K9,COMMON_KMEANS,SWAPPED_RESPONSE_CONTROL,0.4192055973769617,0.5511881134661232,0.4201836494742575,0.5520005764421114,0.0009780520972957896,0.0008124629759882485,17,534eb05d9462fd35969fa0ec91202f88e42455c631f7b3ad94514d92b7d2b5c9,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389
P22_K9,FEASIBLE_MEDOID,FULL_RESPONSE_CALIBRATION,0.4018186370028014,0.5413842045840513,0.4177292582114458,0.5497512150738819,0.015910621208644393,0.008367010489830573,1067,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455
P22_K9,FEASIBLE_MEDOID,LOWPASS_ONLY_CALIBRATION,0.4018186370028014,0.5413842045840513,0.4018186370028014,0.5413842045840513,0.0,0.0,0,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455
P22_K9,FEASIBLE_MEDOID,SHARPEN_ONLY_CALIBRATION,0.4018186370028014,0.5413842045840513,0.4177292582114458,0.5497512150738819,0.015910621208644393,0.008367010489830573,1067,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455
P22_K9,FEASIBLE_MEDOID,SHARED_SCALE_CONTROL,0.4018186370028014,0.5413842045840513,0.4018186370028014,0.5413842045840513,0.0,0.0,0,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455
P22_K9,FEASIBLE_MEDOID,SWAPPED_RESPONSE_CONTROL,0.4018186370028014,0.5413842045840513,0.4201836494742575,0.5520005764421114,0.01836501247145611,0.01061637185806008,1071,534eb05d9462fd35969fa0ec91202f88e42455c631f7b3ad94514d92b7d2b5c9,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455
P22_K9,NIGHT16H_FIXED_STRUCTURED,FULL_RESPONSE_CALIBRATION,0.4333241394925015,0.5825988780527571,0.4494971646057389,0.5871277941763449,0.016173025113237427,0.004528916123587745,1266,d68608ec80eba1ff803bb03335944242686ec9f8990fd44f7e27efaf97edd934,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a
P22_K9,NIGHT16H_FIXED_STRUCTURED,LOWPASS_ONLY_CALIBRATION,0.4333241394925015,0.5825988780527571,0.4333241394925015,0.5825988780527571,0.0,0.0,0,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a
P22_K9,NIGHT16H_FIXED_STRUCTURED,SHARPEN_ONLY_CALIBRATION,0.4333241394925015,0.5825988780527571,0.4494971646057389,0.5871277941763449,0.016173025113237427,0.004528916123587745,1266,d68608ec80eba1ff803bb03335944242686ec9f8990fd44f7e27efaf97edd934,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a
P22_K9,NIGHT16H_FIXED_STRUCTURED,SHARED_SCALE_CONTROL,0.4333241394925015,0.5825988780527571,0.4333241394925015,0.5825988780527571,0.0,0.0,0,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a
P22_K9,NIGHT16H_FIXED_STRUCTURED,SWAPPED_RESPONSE_CONTROL,0.4333241394925015,0.5825988780527571,0.451624122898562,0.5785050177974075,0.018299983406060538,-0.004093860255349635,1691,6e08e4abfe93ce31235ba4e473111fba0adbb52427a93b9fed700b665f89a1a1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a
