lane,arm,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
A1_K10,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,RAW_KMEANS_N1_S2,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74,3484,3484,10,0.2331666863466764,0.3876087817065577,0.3837966648726962,0.3704381508825394,206,"[235, 206, 547, 564, 306, 258, 347, 356, 393, 272]",206,"[235, 206, 547, 564, 306, 258, 347, 356, 393, 272]",6.263753799721599,138.44482421875,1020.63671875,0.5591731657655479,0.5138860725439189,0.4902312610925791
A1_K10,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,dcad95ada6832239f1ccc17a325d31e74e6a081da5d2202b18e0404d78f4e58f,3484,3484,10,0.2189065163793085,0.3874542200738651,0.383623329512964,0.3583400152102765,189,"[301, 282, 311, 220, 279, 260, 536, 596, 189, 510]",189,"[301, 282, 311, 220, 279, 260, 536, 596, 189, 510]",11.649224374443293,138.439453125,1008.33203125,0.5535227531057799,0.5207359899125861,0.4837007876549285
A1_K10,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,34dc17e234944da44dff59dd9f9edd1892e80d73a3244f64d93e284716e95eaa,3484,3484,10,0.2340111430012618,0.3872623647492527,0.3834463650571282,0.3712658060165051,203,"[352, 233, 352, 274, 255, 559, 560, 391, 203, 305]",203,"[352, 233, 352, 274, 255, 559, 560, 391, 203, 305]",11.649224374443293,138.439453125,1008.33203125,0.5549992428421937,0.5093355191448609,0.4948078767834568
A1_K10,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,GRAPH_L2_KMEANS_S1,dd11bf721f28a473d798f72053fc2a76ce7e0cacdc277cab889e89acc6a7c5fb,3484,3484,10,0.2248657234031038,0.3910515829919653,0.3872687038091706,0.3625903268579104,194,"[427, 306, 318, 569, 486, 194, 273, 307, 339, 265]",194,"[427, 306, 318, 569, 486, 194, 273, 307, 339, 265]",11.649224374443293,138.439453125,1008.33203125,0.5929336715484053,0.5570133068688617,0.4472101425551382
A1_K10,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L1_KMEANS_S1,8f3dafa7fbb48047b991c0d3f499677df00e4b0afa47ddbd4aaced2b0356ec12,3484,3484,10,0.2364978708328545,0.3902053339781204,0.3863506581697153,0.3758198464985844,143,"[440, 690, 166, 319, 361, 184, 252, 572, 357, 143]",143,"[440, 690, 166, 319, 361, 184, 252, 572, 357, 143]",11.649224374443293,138.439453125,1008.33203125,0.5892140531586814,0.5619996208211029,0.4464529231264371
A1_K10,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,37a69607c53b79ba71894ff42370caa2ec205bf68db59035862efb82a61068ef,3484,3484,10,0.2263341621582499,0.3872159027571157,0.3833766749026268,0.3651503048399563,131,"[490, 282, 516, 131, 267, 292, 386, 300, 601, 219]",131,"[490, 282, 516, 131, 267, 292, 386, 300, 601, 219]",8.806410543620586,138.43603515625,1004.8984375,0.5537593700710053,0.5058809438345602,0.4949769048923028
A1_K10,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,3484,3484,10,0.2324557746999505,0.390515557427709,0.3867276503149753,0.3695974647995206,205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",8.806410543620586,138.43603515625,1004.8984375,0.550342621353444,0.5102123664623914,0.4937715465998502
A1_K10,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,3484,3484,10,0.2324557746999505,0.390515557427709,0.3867276503149753,0.3695974647995206,205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",8.806410543620586,138.43603515625,1004.8984375,0.550342621353444,0.5102123664623914,0.4937715465998502
A1_K10,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,COMMON_KMEANS_N20_S0,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,3484,3484,10,0.2324557746999505,0.390515557427709,0.3867276503149753,0.3695974647995206,205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",205,"[397, 336, 311, 274, 487, 595, 257, 205, 333, 289]",8.806410543620586,138.43603515625,1004.8984375,0.550342621353444,0.5102123664623914,0.4937715465998502
A1_K10,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,9a141553080e155a7f867c637e8e2cfcafbb25b85fe42293f2cb20d1e7ecea8a,3484,3484,10,0.2176147909463724,0.385098999627017,0.3812535990446208,0.3571771113341524,193,"[292, 193, 291, 220, 285, 302, 537, 593, 515, 256]",193,"[292, 193, 291, 220, 285, 302, 537, 593, 515, 256]",9.720313904806972,138.4521484375,1009.0859375,0.5568164609936388,0.5240514751466853,0.4803171531780081
