lane,protocol,historical_frontier_ari,historical_frontier_nmi,night18a_learned_common_ari,night18a_learned_common_nmi
A1_K10,expert K10 all 3484,0.276003,0.42174,0.23241,0.388158
P22_K9,expert K9 all 9196,0.595552,0.717931,0.478639,0.606982
