step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,False
1,0.000625,1d17240da7b0666578cc879f367fedb0a544b4ed7f6215699e8f37c730477dd9,False
5,0.003125,50bcea6cfe096b61907ec560cf4a54d84a14e6eb462398d5c933f02085cb5e86,False
10,0.00625,da82d2c859b7ceab2a16f6bde2aa7aea49300ccca716eacce01218cda7700586,False
20,0.0125,ad068c8496b7c670fed57d3847665a9dd0d56deb59aefe0b725825345dad72f4,False
40,0.025,e8b4eacc39d40ff12e1b26890819451afebcf0baba45d2119f41867b5402345d,False
80,0.05,00f09f5b4a8690d119e6b2b87d3ae14214c13ebfe4780ffedbe1916a9556c858,False
320,0.2,a6a745012ead0b8cdb6af713af6bfb036c597b53f2af4f14c3ffb1e6ab9fa64f,False
800,0.5,16b65e53e6d9b5e92e22382a4fbbb40afc6826772769642b4a8e29eb6da2fd17,False
1600,1.0,15c708e1a56b6a57479c9074fbf15eb02ebd7b6246627873fbef5b0e4c41c8d4,True
