step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.344319287065476e-06,7.326737439788264e-06,0.0023810165426637487,0.00021234524788454334,0.00020580688760413491,0.06688237541015875,0.00014736182499027302,0.0017804348413533201,0.5785992531103548,0.00012167922009653358,0.00108357833561175,0.35213735493682274
1,0.000625,True,True,True,True,7.143279081439011e-06,7.126178512011214e-06,0.0024649397546283387,0.0002083854077843813,0.0002019689756445157,0.06986091583709489,0.00013543651791919013,0.0016363525309951621,0.5660131021750537,0.00011741084715551253,0.0010455676017861017,0.36166104223322304
5,0.003125,True,True,True,True,6.32272172689079e-06,6.307585521146809e-06,0.002762436259632162,0.00019300195237412216,0.0001870591949448136,0.08192343981397239,9.822009244454519e-05,0.0011867013367997802,0.5197213404620871,0.0001014320834512746,0.0009032734437036007,0.3955927834643085
10,0.00625,True,True,True,True,5.454729242194429e-06,5.441670956909405e-06,0.003036907393272194,0.0001775169625141717,0.0001720510061607124,0.09601884729284378,7.167310013145096e-05,0.0008659589053695805,0.4832774753952397,8.404013791200781e-05,0.0007483946124164022,0.4176667699186444
20,0.0125,True,True,True,True,4.565782209713458e-06,4.554852008782029e-06,0.0036158896325733185,0.0001613269498738126,0.0001563595030779799,0.12412669062439333,4.8510489594459234e-05,0.0005861067874992995,0.46528349382448364,5.756808653731788e-05,0.0005126555819882114,0.40697392591854964
40,0.025,True,True,True,True,4.1340045225698895e-06,4.1241079707836486e-06,0.005121111152949161,0.0001499561605283983,0.00014533883372890935,0.18047449961023035,3.228349931963404e-05,0.0003900512700170256,0.4843461721315258,2.9847810442316363e-05,0.0002658008551918846,0.3300582171052946
80,0.05,True,True,True,True,3.979077818587983e-06,3.96955215177312e-06,0.0072649709327249744,0.0001401038819841448,0.0001357899184449455,0.24851917111580699,2.171728214383241e-05,0.0002623895692858839,0.4802185538891805,1.6198068339818284e-05,0.00014424711070518852,0.26399730406228755
320,0.2,True,True,True,True,5.2684916832295045e-06,5.255879239171014e-06,0.016654406535429333,0.0001168597330713579,0.00011326148425390221,0.35889386299296583,9.75153412907112e-06,0.0001178186489017101,0.37333423904419527,8.899165526711555e-06,7.92488886937095e-05,0.2511174914274096
800,0.5,True,True,True,True,6.28334972186721e-06,6.268307770274263e-06,0.029290295174423494,8.501699877819672e-05,8.239922525367155e-05,0.3850317690636065,6.108659997498201e-06,7.380521443898366e-05,0.34487402271169404,5.786903062947082e-06,5.1533555066510275e-05,0.24080391305027604
1600,1.0,True,True,True,True,9.171544841694404e-06,9.149588729167166e-06,0.07040851673713362,5.1059366158648303e-05,4.948718813742857e-05,0.3808170637375717,3.542175074796166e-06,4.279678212289159e-05,0.32933261150737575,3.2022250800356117e-06,2.8516469120416734e-05,0.2194418080179189
