lane,role,N,K,union_edges,carrier_recovery_ari,carrier_recovery_nmi,oracle_consumer,relation_scale,oracle_recovery_ari,oracle_recovery_nmi,dual_gain_over_carrier,edge_disagreement,observed_k,min_cluster_size,partition_sha256,lane_identifiable,wall_seconds,peak_rss_mb,gpu_used
P22_K9,PRIMARY,9196,9,59201,0.5885177468607872,0.6728495215176538,ORACLE_SIGNED_RELATION,1.0,0.99102867443471,0.9845515344427792,0.31170201292512545,0.002871573115318998,9,220,2c8fd8e623ef31efeb729d46958c218c069d3d4e785118ce38a52c6af3fb10e3,True,2.188406351953745,446.9375,False
MISAR_K7,PRIMARY,1949,7,17024,0.5540799997609213,0.6808899656621794,ORACLE_SIGNED_RELATION,1.0,0.7547789827842795,0.833851299255585,0.15296133359340558,0.04258693609022556,7,137,809971fe83d4ac595a2e0caa15d15ec4ba1e82203e95c7717e2456f2422acc11,False,0.4253274090588093,417.734375,False
HUMAN_HIPPOCAMPUS_K7,PRIMARY,2500,7,8080,0.04635341691378367,0.11356350165125276,ORACLE_SIGNED_RELATION,1.0,0.9114334357480572,0.8840553502741048,0.770491848622852,0.026608910891089108,7,57,e3b8c8712ab405c130bed95c7c2b8331fe2122ecb9f8e16d1f2e571d99760baa,False,0.5466226935386658,417.11328125,False
MELANOMA_TUMOR_K2,SECONDARY,833,2,3193,0.1303279598856485,0.08459435662394008,ORACLE_SIGNED_RELATION,1.0,1.0,0.9999999999999972,0.8696720401143515,0.0,2,276,37183e514dcf6970a3e110fc9d295ea5a08e3f44e4d48a77bd4839f382ca7de4,True,0.21555240079760551,408.96484375,False
