lane,role,selected_mode,selected_relation_scale,carrier_ari,carrier_nmi,oracle_ari,oracle_nmi,dual_gain_over_carrier,lane_identifiable,oracle_partition_sha256
P22_K9,PRIMARY,ORACLE_SIGNED_RELATION,1.0,0.5885177468607872,0.6728495215176538,0.99102867443471,0.9845515344427792,0.31170201292512545,True,2c8fd8e623ef31efeb729d46958c218c069d3d4e785118ce38a52c6af3fb10e3
MISAR_K7,PRIMARY,ORACLE_SIGNED_RELATION,1.0,0.5540799997609213,0.6808899656621794,0.7547789827842795,0.833851299255585,0.15296133359340558,False,809971fe83d4ac595a2e0caa15d15ec4ba1e82203e95c7717e2456f2422acc11
HUMAN_HIPPOCAMPUS_K7,PRIMARY,ORACLE_SIGNED_RELATION,1.0,0.04635341691378367,0.11356350165125276,0.9114334357480572,0.8840553502741048,0.770491848622852,False,e3b8c8712ab405c130bed95c7c2b8331fe2122ecb9f8e16d1f2e571d99760baa
MELANOMA_TUMOR_K2,SECONDARY,ORACLE_SIGNED_RELATION,1.0,0.1303279598856485,0.08459435662394008,1.0,0.9999999999999972,0.8696720401143515,True,37183e514dcf6970a3e110fc9d295ea5a08e3f44e4d48a77bd4839f382ca7de4
