source,stage,dataset,graph_id,seed,attempt,views_path,views_size_bytes,views_sha256,run_manifest_path,run_manifest_sha256,observation_ids_path,observation_ids_sha256,ordered_observation_sha256,observation_count,base_cache_dir,base_cache_manifest_sha256,coordinates_path,coordinates_sha256
night6c,R1,tonsil,G00_SP18_F20_CORR_UNION,0,1,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_0/attempt_001/views.npz,3170525,64da4dbf06e3966d2d0cf9351589168390bf688f0c46e5641ee76fe498821243,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_0/attempt_001/run_manifest.json,5147e4439db80ae312d9653c0756cf6a8ae204e0f0248f343d5f4770a79f78f2,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_0/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R1,tonsil,G04_SP10_F10_EUC_UNION,0,1,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_0/attempt_001/views.npz,3171733,2470d1d17f8cd2323e03ccd63fc8c77e1d1fab26097dec3e1d40e953cc0cf56e,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_0/attempt_001/run_manifest.json,4a811270f3ab044f9d00ac1915560c0c1375382ebbf34db4591b3dee02a05e0f,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_0/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R1,tonsil,G00_SP18_F20_CORR_UNION,1,1,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_1/attempt_001/views.npz,3169903,c761269b1d0140a0711b42ec8eda63001cfc8901932ada3a6d80ae3567cd56bd,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_1/attempt_001/run_manifest.json,93d4368d8c01a3ae119411b10680d51a41bba93346e9b1c0b79df143974bd4a9,/root/autodl-fs/night6c_raw_runs_20260817/r1/G00_SP18_F20_CORR_UNION/tonsil/seed_1/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R1,tonsil,G04_SP10_F10_EUC_UNION,1,1,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_1/attempt_001/views.npz,3170667,ebc1509e09b208846d47d361fc18aa366ebafd8058f4ea07d3e94ac7978c0ac3,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_1/attempt_001/run_manifest.json,3e6418f1602d0b517b38cd0d2d7176a2f5ce77f9f8cf7f1978c677dafb2f3c11,/root/autodl-fs/night6c_raw_runs_20260817/r1/G04_SP10_F10_EUC_UNION/tonsil/seed_1/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G00_SP18_F20_CORR_UNION,2,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_2/attempt_001/views.npz,3170817,d58c246349f434125fe9c2094532fa67cee8bf3d7a1ec1ef0e8d3b03bd2f89e0,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_2/attempt_001/run_manifest.json,bea9710fe7a3fce8edf45f6885b54c6a57f8881fd47a2742f9ea1ddffd8c2102,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_2/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G04_SP10_F10_EUC_UNION,2,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_2/attempt_001/views.npz,3171567,987292acc95c5a1edefc0c14c8c3ad5f4fa136bd023a1ad44297e7e32687d684,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_2/attempt_001/run_manifest.json,a527a65c9f036cfa2fe654a29bf15743e4132fe2cfcc73dc77593080e0818339,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_2/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G00_SP18_F20_CORR_UNION,3,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_3/attempt_001/views.npz,3171037,39586e79e79436b1615728b9e34097b7991af43297255399b8fa9ae7344932bc,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_3/attempt_001/run_manifest.json,92d4ee5191f27540e40f3dd99399a299f1e60e6f6521af02fb0e25570ce8932f,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_3/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G04_SP10_F10_EUC_UNION,3,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_3/attempt_001/views.npz,3171603,f309df877d27573b45a548c391336b2d26f14524f563b7804444627d95f00c0a,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_3/attempt_001/run_manifest.json,43789ad1dfc261eb44af6876516c3cf801a29963800d38d80b5728992b8f8ca7,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_3/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G00_SP18_F20_CORR_UNION,4,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_4/attempt_001/views.npz,3171541,8361e3739a8b8be42aed48379a21b1a78e08a966243803db75bb37724c89ca07,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_4/attempt_001/run_manifest.json,d1404168821c462ff693b2e94f38c414e2fdd538e3b33e159ac887906073558b,/root/autodl-fs/night6c_raw_runs_20260817/r2/G00_SP18_F20_CORR_UNION/tonsil/seed_4/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
night6c,R2,tonsil,G04_SP10_F10_EUC_UNION,4,1,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_4/attempt_001/views.npz,3171929,63695bec1032d2de861740f18f0ecdba3926cea2472a75e926469fab22dc7f4b,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_4/attempt_001/run_manifest.json,2594fb541934e87728cffb3767c57d78f97d03125f02fb4ea3d67609993f47ab,/root/autodl-fs/night6c_raw_runs_20260817/r2/G04_SP10_F10_EUC_UNION/tonsil/seed_4/attempt_001/observation_ids.csv,c248557139fef50e504f871ef2ecf203f68a59289cd399802c735c7233b87600,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,4326,/root/autodl-fs/night6c_cache_20260817/base/tonsil,aa28931790e03ab79e5737d2eaffd4a90edff045ef6e8e540e2e8cdab5a7a359,/root/autodl-fs/night6c_cache_20260817/base/tonsil/coordinates.npy,980597c70b65ba1794afde298a08e463794ab072b64861d06e4d93356015ea6e
