lane,training_seed,profile,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,changed_spots_vs_strong_start,evaluator_label_reads,delta_ari_vs_registered_anchor_same_head,delta_nmi_vs_registered_anchor_same_head,night16h_frontier_ari,night16h_frontier_nmi,delta_ari_vs_night16h_frontier,delta_nmi_vs_night16h_frontier,night16h_context
P22_K9,0,STRONG_START_NO_TRAIN,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,0.8707363913503743,0.8526836847419972,0.1475004784784751,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,0,1,0.0,0.0,0.587533,0.708974,-0.19363247399138978,-0.12426128900376388,Night-16H fixed selector
P22_K9,0,STANDARD_WEIGHTED_SUM,0.4816499442278457,0.6104992867596107,0.6098376225342028,0.5570932532447512,0.8802007115384207,0.8532782008745178,0.1470351522610261,718,"[2221,1090,1012,718,745,910,917,763,820]",081eff87514ca87bbcd5847f7b006ed689d2248328b0062703ec7af9d2ef653d,1709,1,0.08774941821923549,0.02578657576337462,0.587533,0.708974,-0.10588305577215429,-0.09847471324038926,Night-16H fixed selector
P22_K9,0,VANILLA_PCGRAD,0.3936441873626515,0.5844861944241542,0.5837849707318244,0.4796402251513299,0.8705734630536751,0.8525575234429938,0.14762673886714228,705,"[1265,733,893,713,807,705,1587,999,1494]",c96de93819da6bf3ce1d9cf8e4404a84aa94d207ffb12eeed2440dd60b08b8bf,10,1,-0.00025633864595869804,-0.0002265165720819473,0.587533,0.708974,-0.19388881263734847,-0.12448780557584582,Night-16H fixed selector
P22_K9,0,GLOBAL_MIN_NORM,0.392789795011917,0.5838075837708444,0.5831051716034898,0.4789077568496006,0.8711165573760058,0.8529944996136521,0.14718799276332056,706,"[1590,1495,896,1268,713,706,733,990,805]",01e7304a468c120f19849dfe516bc5e34010eeaf1897bb05a7b844a51f6e2ccd,24,1,-0.0011107309966931767,-0.0009051272253917109,0.587533,0.708974,-0.19474320498808295,-0.12516641622915559,Night-16H fixed selector
P22_K9,0,EVIDENCE_CONDITIONED_ARBITRATION_FULL,0.48149640041791814,0.6103714679648674,0.609709535725059,0.5569740596215392,0.8799834738094885,0.85302464150133,0.14728900975930223,718,"[2224,1090,718,917,821,744,909,762,1011]",b686d08e81bd39ec9bcaeec23019b3daa54b3d86680c94d709be5e5f3d861932,1708,1,0.08759587440930794,0.02565875696863129,0.587533,0.708974,-0.10603659958208184,-0.09860253203513258,Night-16H fixed selector
P22_K9,0,EVIDENCE_PERMUTED_MASS_MATCHED,0.48149640041791814,0.6103714679648674,0.6097095357250589,0.5569740596215392,0.8799834738094885,0.8530246415013298,0.14728900975930223,718,"[1011,2224,821,1090,762,744,909,917,718]",ab3f57d8993e9f062753c7ab29b9de5c0c6f5370cdfff30804bc869f5d63fae0,1708,1,0.08759587440930794,0.02565875696863129,0.587533,0.708974,-0.10603659958208184,-0.09860253203513258,Night-16H fixed selector
P22_K9,0,TOPOLOGY_DISABLED,0.482339260325866,0.6106757249132493,0.61001429462887,0.5576988689710761,0.8798929934468033,0.8527621675799504,0.14755990039924752,715,"[2222,918,715,1000,911,740,769,816,1105]",d1a8f46464c4fdd09d403c30dadd3bd0045bad75eebdf17d8a86eb8426bfabc0,1700,1,0.0884387343172558,0.025963013917013167,0.587533,0.708974,-0.10519373967413398,-0.09829827508675071,Night-16H fixed selector
P22_K9,0,ARBITRATION_DISABLED_SAME_LOSSES,0.4816499442278457,0.6104992867596107,0.6098376225342028,0.5570932532447512,0.8802007115384207,0.8532782008745178,0.1470351522610261,718,"[2221,1090,1012,718,745,910,917,763,820]",081eff87514ca87bbcd5847f7b006ed689d2248328b0062703ec7af9d2ef653d,1709,1,0.08774941821923549,0.02578657576337462,0.587533,0.708974,-0.10588305577215429,-0.09847471324038926,Night-16H fixed selector
MISAR_K7,0,STRONG_START_NO_TRAIN,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,0.9256538338943161,0.9084710846093882,0.09097243892444115,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,0,1,0.0,0.0,0.534624,0.656772,-0.17444659369689047,-0.11841419356512817,Night-16H fixed selector
MISAR_K7,0,STANDARD_WEIGHTED_SUM,0.36371391381529505,0.5409742092460456,0.5385776010331369,0.485002395721311,0.9245760554260295,0.9068837668243611,0.09253032653614046,170,"[283,363,401,265,247,220,170]",100f3ddc1e3ee1371265ee3458b9f2c852dbe208571918d580040e473c74a47f,19,1,0.0035365075121855383,0.0026164028111737014,0.534624,0.656772,-0.17091008618470493,-0.11579779075395447,Night-16H fixed selector
