dataset,variant,n_observations_trained_mean,n_observations_trained_std,n_observations_evaluated_mean,n_observations_evaluated_std,ami_mean,ami_std,ari_mean,ari_std,embedding_davies_bouldin_mean,embedding_davies_bouldin_std,embedding_silhouette_mean,embedding_silhouette_std,fmi_mean,fmi_std,homogeneity_mean,homogeneity_std,hungarian_balanced_accuracy_mean,hungarian_balanced_accuracy_std,hungarian_macro_f1_mean,hungarian_macro_f1_std,hungarian_weighted_f1_mean,hungarian_weighted_f1_std,nmi_mean,nmi_std,silhouette_sample_size_mean,silhouette_sample_size_std,spatial_cluster_moran_mean_mean,spatial_cluster_moran_mean_std,spatial_neighbor_agreement_mean,spatial_neighbor_agreement_std,v_measure_mean,v_measure_std,clustering_seconds_mean,clustering_seconds_std,evaluation_seconds_mean,evaluation_seconds_std,preprocessing_seconds_mean,preprocessing_seconds_std,total_seconds_mean,total_seconds_std,training_seconds_mean,training_seconds_std,gpu_peak_allocated_mib_mean,gpu_peak_allocated_mib_std,process_peak_rss_mib_mean,process_peak_rss_mib_std,source,run_status
a1,legacy_exact,3484.0,0.0,3484.0,0.0,0.36036024430866315,0.010737790196606974,0.23039374353216485,0.01637667965460265,1.9787740161461205,0.16656518937454895,0.10978081375360489,0.016360053449242597,0.3737308021276182,0.014062192647569204,0.4115871753152982,0.013083851524711173,0.40637425668791566,0.03183883701273866,0.3307086755282317,0.01896154258343535,0.5016530464603944,0.025636480062829328,0.3644418813769974,0.010663648648854017,3484.0,0.0,0.5404048287157996,0.016730075789462825,0.5993302717183314,0.01281355641351866,0.3644418813769974,0.010663648648854015,7.244023207994178,1.3042087768969244,1.0347460320685058,0.09505506633451602,4.985484123183414,0.40470879465800563,19.22407089639455,1.9523932447596934,5.751396914385259,1.1551279069665648,361.24794921875,0.0010006787857439628,4051.7,432.04055153759884,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,3484.0,0.0,3484.0,0.0,0.3604558454196392,0.013288698425095943,0.2269451952700968,0.021700363286266965,2.1015168288904706,0.10951471970872363,0.11010897010564805,0.013618716042118013,0.3688787643977558,0.020396480753935194,0.4152050715678584,0.0122741917166021,0.38768458445963566,0.04260159853374906,0.3233849055682642,0.02138070182407294,0.49377868877902714,0.02795657295228291,0.364502989666969,0.013232804296696557,3484.0,0.0,0.5432036400016169,0.026333745492325707,0.596530169664498,0.021791838617314874,0.364502989666969,0.013232804296696552,6.4936349697876725,1.060550461619265,0.7347626375500113,0.2026163665770983,6.565297000575811,0.34060313075396004,18.371577285788952,1.2020951915244016,3.889617587160319,0.12892488829193122,417.65986328125,0.3208354495750782,1755.084375,254.91102004475752,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,1662.0,0.0,1662.0,0.0,0.7201707883852707,0.01813709320132599,0.6635269854564889,0.03230497193409307,2.1580524338621268,0.05998571134907943,0.16772364675998688,0.01606660886918623,0.7232987813735947,0.026650128429397978,0.7654344008406289,0.016402494984395864,0.6521746114364875,0.029077612183251306,0.6113532801122933,0.021210561169167197,0.7932671390902044,0.019585248861199757,0.7238140913798963,0.01791986204682025,1662.0,0.0,0.3955289107099599,0.025319328496720944,0.43995186522262336,0.00863999141652895,0.7238140913798963,0.017919862046820206,3.006742718629539,0.326444619542688,0.3102589853573591,0.13111951994280474,6.226156487828121,0.11736958984408467,12.706700672628358,0.4015629093849669,2.8720004928298293,0.270606422907312,197.99560546875,0.0010358009490037316,4869.93359375,213.70086551360677,night1_fdecb33_reference,existing_reference
placenta,corrected_unweighted,1662.0,0.0,1662.0,0.0,0.5226435427591688,0.02985544363212261,0.45063556903425817,0.0414515090961123,3.195493272462344,0.17598869975513026,0.04104006960988045,0.0036295588946747147,0.5428139270357979,0.035373780008872306,0.5571162403071993,0.029413112823512947,0.5253688837580206,0.03019701451663681,0.5020489900890581,0.042470463034236274,0.6620216479562958,0.047200929755825786,0.5288766144672669,0.029492080169625026,1662.0,0.0,0.47114133331449815,0.03238206281355601,0.49133574007220215,0.019629128207910008,0.5288766144672667,0.029492080169625,3.5880837983451785,0.8577860096927383,0.39950702344067396,0.26081393408676634,6.230542824603617,0.6045663313795625,14.27573763714172,1.6846351719913062,3.312311311531812,0.41495925243935977,255.091796875,0.0010358009490037316,2071.09921875,146.30850480469695,night1_fdecb33_reference,existing_reference
p22,legacy_exact,9196.0,0.0,9196.0,0.0,0.5530633291141747,0.015261804546626574,0.4143790798935747,0.021106263375434652,2.5482098072511286,0.13840073046063608,0.14160839319229127,0.008669764252504578,0.5065957387669936,0.018093730403229084,0.5536492077160096,0.014330313781022586,0.5732789652015166,0.01629920281559011,0.5340384308197207,0.011040807881870321,0.5852267415449741,0.01272689004001793,0.5538463555638435,0.015237174286469682,5000.0,0.0,0.7817218642790611,0.021323650094045778,0.8262043279686819,0.017649184000931427,0.5538463555638435,0.015237174286469698,6.358149926597252,0.6558068774776202,2.036440834123641,0.07771839254209781,14.202387495012953,0.16988314867202076,72.59276451044715,0.9146444463047239,49.754347691778094,0.4941714484726064,723.20810546875,0.004047141754890238,9188.8234375,1602.3558416869728,night1_fdecb33_reference,existing_reference
p22,corrected_unweighted,9196.0,0.0,9196.0,0.0,0.5519285597766095,0.01364273765572032,0.4137635769067427,0.018537849779077024,2.493415304478107,0.1291040296646687,0.145287948846817,0.009209438270016614,0.5064662805197435,0.016123481642388048,0.551936274036829,0.012451299384828484,0.571518950077556,0.016614107256362105,0.5329889446366514,0.011092131888683061,0.5844229069852773,0.012530496898624973,0.5527144114545238,0.013621325396913207,5000.0,0.0,0.7810373404465528,0.021111778065731397,0.8262750108742931,0.01766237422650122,0.5527144114545238,0.013621325396913284,6.34774976503104,0.9239781477927862,1.7762007537297904,0.09138031457869857,16.29395846510306,0.11420194610285458,66.7333904066123,0.8787330071039422,41.65693852510303,0.15333811459167582,763.01748046875,0.0032462441676963005,4834.38125,785.3267965068469,night1_fdecb33_reference,existing_reference
