dataset,graph_id,seed,artifact,absolute_path,size_bytes,sha256
d1,G00_SP18_F20_CORR_UNION,0,run_manifest.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/run_manifest.json,6697,9694bfa267696f029407947c1ac9be677d2f8d1d5c3217ebd1532d77ae8af752
d1,G00_SP18_F20_CORR_UNION,0,checkpoint_reload_audit.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/checkpoint_reload_audit.json,2834,8c8d9f5cebfe184917af71593fa12cf72398d94932a75e70fc699549afbb161c
d1,G00_SP18_F20_CORR_UNION,0,coefficient_probe.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/coefficient_probe.json,30967,7f3d8334463563f0811e5b5f6b8331d32185c793af0316d028c4c656a8fe9154
d1,G00_SP18_F20_CORR_UNION,0,h00_clusters.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/h00_clusters.csv,80771,4d259bd87493f554e9e30161fd555fb55dc9f46b1a8c66e4a11ddecd37ba4959
d1,G00_SP18_F20_CORR_UNION,0,loss_trajectory.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/loss_trajectory.csv,4974,d4170e973f7560ac92ee2b56a00ba8b371997250f4105c438ea210ca2ecada5d
d1,G00_SP18_F20_CORR_UNION,0,model_final.pt,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/model_final.pt,1606367,4890ff89c1be7947a0df8c4d9cbdf3f6b6660fd3cd93f163b49c91f158eddbcf
d1,G00_SP18_F20_CORR_UNION,0,observation_ids.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/observation_ids.csv,73913,9987fde7a974faa2ad2f493677414f6de2a3a6b2531c56b02e462eef09f99c6e
d1,G00_SP18_F20_CORR_UNION,0,reload_spec.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/reload_spec.json,435,228de2ad9bae32e8ec06b41abf8500f7c4759f3f543806e85ad59ec35c2c39bd
d1,G00_SP18_F20_CORR_UNION,0,views.npz,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_0/attempt_001/views.npz,2466294,68140a8c5df00c66773e1de25375b28ef1fdd1175170335bca2350164ae45d3a
d1,G00_SP18_F20_CORR_UNION,1,run_manifest.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/run_manifest.json,6691,00ae4eb961d496602cfff5735a3f8a20087dd70452e1cb377e67c073a152e0ba
d1,G00_SP18_F20_CORR_UNION,1,checkpoint_reload_audit.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/checkpoint_reload_audit.json,2834,7b385efa3d8cc7f34cdd2c3cd558eaf57a86d885830b6bf2787dea0d31354879
d1,G00_SP18_F20_CORR_UNION,1,coefficient_probe.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/coefficient_probe.json,30979,28136a6b88a04ed8590a998b6aa82f36d7575b494a9527b5261832dce18a4aef
d1,G00_SP18_F20_CORR_UNION,1,h00_clusters.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/h00_clusters.csv,80714,f781a4cd5be56b03f7d8ef555c3ba1d5e720c29a0215169e842f79858f1b052d
d1,G00_SP18_F20_CORR_UNION,1,loss_trajectory.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/loss_trajectory.csv,4962,1e1a9b468166e03ecbd355d6f6b7b80b0a5cf20a2d605f8d72d0ee3ba443c81e
d1,G00_SP18_F20_CORR_UNION,1,model_final.pt,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/model_final.pt,1606367,d7bf733e4bf432b5ba32662e3c1a0fd49405b1004ea6a726ae8058aa7bca82e9
d1,G00_SP18_F20_CORR_UNION,1,observation_ids.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/observation_ids.csv,73913,9987fde7a974faa2ad2f493677414f6de2a3a6b2531c56b02e462eef09f99c6e
d1,G00_SP18_F20_CORR_UNION,1,reload_spec.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/reload_spec.json,435,9cc5d120e7a617de2a498e7a86f5de70d1a691a9a592f7a9fdc49e9650c21790
d1,G00_SP18_F20_CORR_UNION,1,views.npz,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_1/attempt_001/views.npz,2465229,5c96efde71c9c467dc0004d4a891020a4645724b5827517e418e2f1c843fec30
d1,G00_SP18_F20_CORR_UNION,2,run_manifest.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/run_manifest.json,6691,025b4ac70c17a218e801df4ae2e3b9c6500cc0262be8f187c1cee52ab205c463
d1,G00_SP18_F20_CORR_UNION,2,checkpoint_reload_audit.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/checkpoint_reload_audit.json,2833,b968bb0f3d9480c8093ad6e036ab8bc47eb8a92dcdc110cbe0f5404a7f59917d
d1,G00_SP18_F20_CORR_UNION,2,coefficient_probe.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/coefficient_probe.json,30992,a3b369cc216ca60ae77ac1ee3a1f32d49d214425f9ba173366197a7f3dab9e6f
d1,G00_SP18_F20_CORR_UNION,2,h00_clusters.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/h00_clusters.csv,80735,369a89d9133c9afa9a36bc16237277b0c662829558d49ca48fde9e2cb5df7cb0
d1,G00_SP18_F20_CORR_UNION,2,loss_trajectory.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/loss_trajectory.csv,4970,691199cb37a9d7c0dbc57a9a97a36b15a3a95c4e69a5823f6255ed3084433ab5
d1,G00_SP18_F20_CORR_UNION,2,model_final.pt,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/model_final.pt,1606367,e035b8b9a50d1b03d78dd1fdd6bf333db2806e7d43b635b0169e05990af75eee
d1,G00_SP18_F20_CORR_UNION,2,observation_ids.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/observation_ids.csv,73913,9987fde7a974faa2ad2f493677414f6de2a3a6b2531c56b02e462eef09f99c6e
d1,G00_SP18_F20_CORR_UNION,2,reload_spec.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/reload_spec.json,435,2291bc7e042d65260cfbd0a28e87b4306eedaf80dc227758e938c45e0f69e9e4
d1,G00_SP18_F20_CORR_UNION,2,views.npz,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_2/attempt_001/views.npz,2466623,124082b5e561efe6d10f5f15faecc2723a226b7aeef7660e83880da15099a9d9
d1,G00_SP18_F20_CORR_UNION,3,run_manifest.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/run_manifest.json,6691,ca36c59275fc8a8d9fd5c0b0c046d5710513f46249458f7728344d1a5bd63b30
d1,G00_SP18_F20_CORR_UNION,3,checkpoint_reload_audit.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/checkpoint_reload_audit.json,2833,c63ee1a999df917b9bba2b3b53362015a81e84237bb5fb86b294fde53be8c275
d1,G00_SP18_F20_CORR_UNION,3,coefficient_probe.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/coefficient_probe.json,30979,28772c877570b149886733c50bfb6e4ef7cce8d8c80e5650b14ea163b6e5e3ad
d1,G00_SP18_F20_CORR_UNION,3,h00_clusters.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/h00_clusters.csv,80733,afc88870a27202f58f97aedcfd980380a53ef2466bd12095893ac21a0d877c9c
d1,G00_SP18_F20_CORR_UNION,3,loss_trajectory.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/loss_trajectory.csv,4994,14d82ff34ef9e33195db2df0dac82f6e733c41443b20128595901c95a7cfa027
d1,G00_SP18_F20_CORR_UNION,3,model_final.pt,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/model_final.pt,1606367,47979f864832490de12f878140ef754e644040a9a6944b8d5539948d2c4c14bd
d1,G00_SP18_F20_CORR_UNION,3,observation_ids.csv,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/observation_ids.csv,73913,9987fde7a974faa2ad2f493677414f6de2a3a6b2531c56b02e462eef09f99c6e
d1,G00_SP18_F20_CORR_UNION,3,reload_spec.json,/root/autodl-fs/night6d_raw_runs_20260817/G00_SP18_F20_CORR_UNION/d1/seed_3/attempt_001/reload_spec.json,435,b1c91f252e57409d0864e13e0f02a95eab25d61affcd10ebbbb824a01a103b6c
