dataset,graph_id,head_id,seed,transform_status,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib
d1,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,6,success,28.276948084123433,4.047359152697027,32.32430723682046,737.611328125,1219.2734375
d1,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,7,success,23.094368770718575,3.6218318417668343,26.71620061248541,737.611328125,1219.2734375
d1,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,8,success,26.265247436240315,3.4717681892216206,29.737015625461936,737.611328125,1219.2734375
d1,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,9,success,24.287288196384907,6.078050860203803,30.36533905658871,737.611328125,1219.2734375
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,0,success,62.26358701009303,6.017876788042486,68.28146379813552,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,1,success,63.98132716678083,7.954918195493519,71.93624536227435,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,2,success,63.6499882042408,5.886387795209885,69.53637599945068,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,3,success,65.02067557815462,6.328191479668021,71.34886705782264,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,4,success,61.82953023258597,6.421369428746402,68.25089966133237,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,5,success,62.94298846554011,6.142992011271417,69.08598047681153,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,6,success,59.881098539568484,5.794475879520178,65.67557441908866,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,7,success,64.02602979820222,6.8886877205222845,70.9147175187245,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,8,success,63.88052217569202,6.499224359169602,70.37974653486162,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,9,success,63.95610625483096,7.13490626681596,71.09101252164692,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0,success,62.26358701009303,21.086669016629457,83.35025602672249,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,1,success,63.98132716678083,25.193193309940398,89.17452047672123,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,2,success,63.6499882042408,19.432859585620463,83.08284778986126,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,3,success,65.02067557815462,19.00430911593139,84.02498469408602,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,4,success,61.82953023258597,18.60418999288231,80.43372022546828,1620.66796875,1300.13671875
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,5,success,62.94298846554011,18.240379971452057,81.18336843699217,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,6,success,59.881098539568484,24.005894386209548,83.88699292577803,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,7,success,64.02602979820222,26.68470926117152,90.71073905937374,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,8,success,63.88052217569202,18.012031000107527,81.89255317579955,1620.66796875,1305.4609375
p22,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,9,success,63.95610625483096,23.40594078786671,87.36204704269767,1620.66796875,1305.4609375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,0,success,56.75900859199464,5.416451849043369,62.17546044103801,1613.5166015625,1305.4609375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,1,success,58.24509189464152,6.328824130818248,64.57391602545977,1613.5166015625,1343.76171875
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,2,success,60.55319126136601,6.328557590954006,66.88174885232002,1613.5166015625,1352.65234375
