candidate_id,lane,family,arm,config_id,training_seed,endpoint_seed,steps,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size,cluster_sizes,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,partition_sha256,representation_sha256,artifact_sha256,checkpoint_sha256,parameter_changed,optimizer_steps,wall_seconds,peak_rss_mb,loss_relative_change_last_windows,labels_read_by_producer,labels_read_by_evaluator,strict_independent_dual_gain,delta_vs_t0_ari,delta_vs_t0_nmi,delta_vs_b0_ari,delta_vs_b0_nmi
P22_K9__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.26855116809697827,0.4270021511118627,0.4259558392856015,0.3981456365299155,9196,9196,9,131,"[1831, 224, 600, 1177, 883, 131, 686, 501, 3163]",0.69635170038743,0.6545471857870792,0.3437089327606281,4eddd98ffc6809c7fcdaad967a16acc39f60639947562ab42588b02847f32e0c,380dfd8450c1d7bbd0332c08b52d34555bddf40459a43b954d440dfce0ab7802,47ef1fa14cb32b2e120c1b10fb1653bb700d9ea960046cdfca056e50250d72ce,610ca9324435e80afd2634047de9f94e43670fe321db4d9eedbd4b632e85bf50,True,700,10.83618450164795,998.12109375,-0.04613821687331515,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
P22_K9__T0_STRONG_CARRIER__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.4710883039953578,0.600489060931043,0.5998100414330684,0.5481018094241809,9196,9196,9,707,"[968, 707, 969, 1059, 726, 2245, 919, 767, 836]",0.866820921222557,0.8384938073528239,0.1625158744092722,4d03da02d9111fb53b9b56e94ba45dfc242668ed45c8f6e0c0e313c4ce49b062,7bd8f48f065c405ae0a52b2fc7360d6a57ba8482c17e88b9a446552aff081094,f0fcc63bb301f08719ba983e306206c5c349d268938194fdf1af9a48929599d4,,False,0,1.5212302207946777,421.828125,,0,1,False,-0.20253713589837952,-0.17348690981918036,-0.07132318798919585,-0.04585565620756549
PLACENTA_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.3321601683008269,0.5481386777273198,0.5421843492020322,0.44207906887978965,1662,1662,10,52,"[236, 262, 380, 269, 62, 52, 103, 109, 87, 102]",0.3334135772749157,0.2586811578551675,0.7493427857884019,6c9203d684872261c2a7f24f87b350a14d981bd160fa6d1b38c32a0b74b237ff,35a94820e17014661d6fe6182901fa2ff77553df7ef1f33f2f42d318adc7630b,1cd0a48faaf292927d01b3c5e5a747432392745b62e84bda9e77908b54101bd2,bc4964132c46ed0109934f19c8e00389dbe9d82468962b589b1a90c6f16023da,True,700,9.3526451587677,892.37109375,-0.03726645379087082,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
PLACENTA_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.3164689047865684,0.5092418533479387,0.5028924193002079,0.425891473904276,1662,1662,10,50,"[297, 310, 238, 91, 93, 119, 191, 104, 169, 50]",0.3276360134809822,0.25501164595674986,0.746422465885875,b0f3d34ba74ff613c4ce6a7c9c6d52eef44a865f8aca376b65af44909bd6c2e7,ef3819beb1250e2d894cc97482f41388b2ffa6b3d5664e8950761f51896c9a57,3f8bab461439b5f21ea3025f3f6eddc08b918f9474b0a780c27c80c462dfbaa9,36e76c3dcce5456a0cff3f40f9b516ba9529f7a280b502a4e48b0ff2bc1d8383,True,700,10.018937587738037,888.8203125,-0.03717809765765925,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
PLACENTA_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.30043151308387145,0.5009381158512244,0.49440931060812554,0.4139471443300357,1662,1662,10,50,"[57, 382, 94, 254, 95, 50, 181, 201, 115, 233]",0.362782859894078,0.3118741631774011,0.6963126464728313,681f190913f84c0e25c203a871737f45248de2704d29f64383a291af4b932f72,0150ce87482416e85c5e97aea67e0751a25e274e9bda98e4e73808a48755c3a0,39cf86ec4e5060f7af816537977d6177c66fe932c6abb1d42932b01a13d2d669,10f13f90c19056e17338b78e33ce17c3618882f921e869082d1363e0c7a840b6,True,700,10.41911506652832,896.5546875,-0.03163622464049424,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
PLACENTA_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.3313361819362989,0.5465502838998845,0.540596626958371,0.4406587372735479,1662,1662,10,50,"[106, 280, 105, 50, 87, 73, 256, 102, 251, 352]",0.32980259990370725,0.24694538389171786,0.7592652156344627,197ad7ab92e04adc6bd589b71c0418c6474b9d736f5b950f1d55920308ce392a,9ff42253eec3d2d94a23e8a966845cca29483602de315489bbf656214f95f60f,255cc8fc32834918826cf7ebf792e42d81a6fbc27946da5a9b65ed3714496cb2,5a9a205da8c7a12b2de2706daa6733c12001e0ad5eb5a793d2091dfe16d856c2,True,700,10.302489280700684,906.69921875,-0.03726348190346673,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.47284441179890113,0.5910894252005634,0.5857789246551942,0.5611415685575094,1662,1662,10,51,"[196, 325, 265, 184, 51, 155, 246, 85, 98, 57]",0.3261916225324988,0.2866800833839928,0.722509758118751,c489ab1b514e326a7a82b3cc9cd96df8fd2d4a906b8d33d1c1d5b188d9afd163,a9cdbbf4b49c5b03341a17878c02fccb094bdd286bac02fd057051e4e7805ed6,24376d4cc1a18b1d5a25800e230bdd70e1d6768f73641a1f7b2857b461cd9140,618d0d60362675bdc75d6cb4ca78bad5746fff2f2eada5e78111a6157910ba8a,True,700,10.552401781082153,899.3359375,-0.03138988578700741,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
PLACENTA_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.42194852088155427,0.5483126140302924,0.5424998184118985,0.5170693246893531,1662,1662,10,47,"[270, 161, 303, 186, 95, 47, 72, 210, 125, 193]",0.2424169475204622,0.1808945155454694,0.82528881089258,5c355a8be0c5307d59d9c2becb94bc86a57315bb3308f3b982f613f1fe5de199,1755af3a5059e36bb99159ffa283d2550e0fffcd861e809cecd4d698a5aef45a,5a21b0cfaedeaafb8159c5700c91963af0778568ad08535a804d12ceafedc34a,,False,0,0.22136998176574707,407.390625,,0,1,True,0.050895890917346864,0.04277681117027099,0.14068424349807424,0.04295074747324357
TONSIL_S1_K4__B0_BACKBONE_ONLY__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.10342396895655544,0.20558424007021625,0.20475876786174763,0.5068279322750439,4326,4326,4,160,"[963, 160, 2801, 402]",0.8423236514522822,0.7024310389658291,0.2955773722113738,aff33f6b9905a5d29bf197318bffd2d457cc04a59315a0bd355e2e8c04aedfae,9db6421870fe54e8241a3520fe888eef9acdf1b0b1fe3e78238fdbf9708b54b9,e173fddf45442fd51698434f1a5f6470906c059c6db8d3286984caf7ecf24df2,201d5d4d82bc942940988aaddb93a5681f0904851daa26c76ec01205168665dc,True,700,9.833534479141235,922.21875,-0.024043884007019626,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
TONSIL_S1_K4__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.10023062215468667,0.20553528992795647,0.20470954494257684,0.5041390772146285,4326,4326,4,152,"[152, 401, 2786, 987]",0.8451272849613098,0.7070997736956164,0.29122164905974923,3f35e625a18f245800dcb19c26f8b2298634328621675dca8ba0a2fed9866a06,94c2373b52f2a3d7db799c3ef69fca9a2b25691599f5793a0e5192acf055a41c,008da7a13dbfc9619971e6abc5893271ef43632f7120d39c620b3b77744d7ff0,bbe27fe58088427dcc1dc3625888e70d622fa5b06e6c7504c3dafac9d6166e3d,True,700,10.16435170173645,926.765625,-0.023502344664307583,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
TONSIL_S1_K4__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.11395325561794518,0.2257650551610788,0.22493775030586646,0.5258636652257889,4326,4326,4,166,"[166, 2923, 291, 946]",0.8491645172143097,0.6954078594514863,0.30419091948183485,68b74a0852647b1201917054fa34303b5fcc2c6e781f88a91be5eff3cb0394e1,009347acb28aa2acf4727f1e4a8d3526b76792a201b7d5d6587777642dcd4e85,a59481e8f13326ad9c81785d2a803899d8189d8a1e036f13f3c75bfaaf843f79,5b93de5bedb025e90d4e3fa834ca6e2f0ef89a9af8b0b98bd06f18a197a6836f,True,700,9.322633028030396,920.5234375,-0.022623129897144673,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
TONSIL_S1_K4__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.10439337061081323,0.21910983033504514,0.21824928098308677,0.5331568725287732,4326,4326,4,125,"[125, 3037, 266, 898]",0.8552203655938095,0.6888727968995314,0.3109213779341055,6a7e327ffe48232590af503e607e2d4e1009401028ac49d0185e0845a1f5e74f,edba55a93463613d5927d71527f2eca20acd10443c7ba05b017d3cf367ed22fb,84388f8313c313f1dc4b4ea73c805f72f83c94eef2631812af52f4e468acd6d4,561ee1d3596caa15169edc265b61feede51a69a86fd0a5db9ec8d3c0d4f1f44e,True,700,9.766448259353638,923.47265625,-0.02326365677378824,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
TONSIL_S1_K4__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.11178589665524857,0.22567674134576857,0.22482773551367607,0.5367658567221387,4326,4326,4,148,"[878, 260, 3040, 148]",0.8527531681058652,0.6851466260815589,0.3144151368878726,be7e42e014977b9c141700aeebaa9b1ae3e57896a136e05df0e2ec164eea8e74,a134ff072ad6b65f5e2e429b2ac88d268918e77f1a86d0f6c9efdc08819a3e76,8a0237355f227342c9315ee5c4fafd1758251869b59b0bbb727b090ea70e6e91,7a05ed4b0b70f5a8a9ca65385214707ebfbb5277452217240e689c7ea7640569,True,700,11.738806009292603,923.15234375,-0.02316131764431255,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
TONSIL_S1_K4__T0_STRONG_CARRIER__STABLE700_V1_S0,TONSIL_S1_K4,RNA_PROTEIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.13774369148711335,0.21370642331649065,0.21299993106025877,0.44589576825393473,4326,4326,4,298,"[1472, 1453, 1103, 298]",0.7697656162386453,0.6744012397003908,0.3272112211878984,67ed9ef1d60c17472634149135d3ee6147d117318364903dcc8b3bc6b4c1e4e4,1570bb1f556c82bc54d1344fc1ef76553aaef0b407d6ee63a18b0e17c1a6ec2b,eaba180c8582463dc06919ecffff81a135e9417c00c644493b5363b8c2686459,,False,0,0.25835299491882324,409.390625,,0,1,False,-0.025957794831864778,0.011970318029277921,0.008361927698693136,0.020092501275552316
