lane,arm,n,view1_shape,view2_shape,retained_shape,graph_nnz,optimizer_steps,parameter_count,parameter_changed,artifact_sha256,checkpoint_sha256
A1_K10,B0_BACKBONE_ONLY,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,3,27902,True,6d66d3aa3ed10908c80d5b1f78c72210f32813859796f9bbc38df37e965c483f,d29e74c02b4dbb5410d8b442388fbb914853ca89be18cd54cf3fe4346040621d
A1_K10,B1_BACKBONE_POINTWISE_ANCHOR,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,3,27902,True,dc91230e32f9bd48667c43aad8c66d89e7dfde3d73ed9ed83a096df36f54d37b,a1a48c0bb473833cfb8fb881cbd32d465515d08651d1e9ad82894a2251fd7795
A1_K10,B2_POSITIVE_RELATION_ONLY,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,3,27902,True,a7cceda44f26e4880b42a2064bdc3b460523e317e9b836be6c73123d4b3f2ef6,c365bf55372305e7faab505b8310fbebf7de0e00775444566bac743261b13460
A1_K10,B3_BOUNDARY_RELATION_ONLY,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,3,27902,True,176bc85a8c5b5ffb1312120dd3ecfd3975a73be705cb3febaf362fe6f81f98dc,a2bd718d691aa85b29df518a1b79867e42bc6c5f943a717ddb24a05bde2f539d
A1_K10,FULL_SIGNED_RELATIONAL_DISTILLATION,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,3,27902,True,0c49ccbfba141ff3bcd09c7cbfbfa436422ee3cd0648bc204f65cf11fc8225b1,ac8e4189214e878e186e14ffb2ebf001cb3cc0c966f2db597547ea2dd03f33a9
A1_K10,T0_STRONG_CARRIER,3484,"[3484, 30]","[3484, 30]","[3484, 64]",14166,0,0,False,633391367a4eb48338a8e3574ec4a2f756066dcbc5136eb9e59ef2baa798d014,
P22_K9,B0_BACKBONE_ONLY,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,3,29842,True,57f43eac0c4b512dc46d790692ad9ffb610f0b60276183a2356b391aa03723c8,f6e52cb02dbc44d35243908836ff60ef4e9d8276cdc3640af5ff8660d403ad26
P22_K9,B1_BACKBONE_POINTWISE_ANCHOR,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,3,29842,True,1177b8431319ad0ea8328134f20bf58f0f2fac82995c5d14202b1f73764f3d88,7889006f2a3b1acf844cd7068b4fbfc66a05ef5384fb5117002f48434227e71f
P22_K9,B2_POSITIVE_RELATION_ONLY,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,3,29842,True,ffa2d1abc182202756ceaa3c15b48a47f51004a73276f0a6b231994f995b8ab9,87f2dcad4b85ad0d251ccd916efa7a493b4a04c24d237ad2833260d67dc7cb26
P22_K9,B3_BOUNDARY_RELATION_ONLY,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,3,29842,True,dea79bb152853dcf3294dee49a700f6d26c25ec2504dfe6f4ba3aed2e2cafd71,7c66975554a14cd405b33a660daea6ba96e028ad5bfb2fc1a53e0b0e973c9132
P22_K9,FULL_SIGNED_RELATIONAL_DISTILLATION,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,3,29842,True,63569378da6e80cb2fd184928b94983a0f1a78e60775ef7e655b735dc9ff1610,d9f6e4792844fdb22955611d358aa78204bfb617b31e5b9eea562206e6dcd89f
P22_K9,T0_STRONG_CARRIER,9196,"[9196, 30]","[9196, 50]","[9196, 64]",37168,0,0,False,f0fcc63bb301f08719ba983e306206c5c349d268938194fdf1af9a48929599d4,
