candidate_id,lane,family,arm,config_id,training_seed,endpoint_seed,steps,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size,cluster_sizes,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,partition_sha256,representation_sha256,artifact_sha256,checkpoint_sha256,parameter_changed,optimizer_steps,wall_seconds,peak_rss_mb,loss_relative_change_last_windows,labels_read_by_producer,labels_read_by_evaluator
A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.23971190718721744,0.3847086113101655,0.3805859813114314,0.3940790240390053,3484,3484,10,59,"[787, 94, 922, 190, 294, 682, 59, 138, 129, 189]",0.6484540448962304,0.5811933716436054,0.4352089575961212,5f93718384e501b404a8c92cceb83c0794df8a5f7cacce483fa0e28906ee138f,9cdd04fde4ba93ebe314c4261822dbbaa51f715da2e9e64cb40ae0d5f506314b,7c3f3580a1c26ad86942dfdc36f5ee3b3ae70728982c183e05057acc58dc9c5a,dfb770ea0f82c4f09b62a23d1d26ecf584088cb298d1df617e09a3830f7b7b33,True,700,10.062950849533081,923.4296875,-0.042631613221264485,0,1
A1_K10__T0_STRONG_CARRIER__P0_COMMON_V1_S0,A1_K10,RNA_PROTEIN,T0_STRONG_CARRIER,P0_COMMON_V1,0,0,300,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,3484,3484,10,171,"[316, 377, 332, 534, 233, 457, 226, 171, 349, 489]",0.5610616970210363,0.5298844776731803,0.475367286760461,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,afc3332077a04b60124742b20e20f312cd25e9d471248907ff19db4cb0574f25,633391367a4eb48338a8e3574ec4a2f756066dcbc5136eb9e59ef2baa798d014,,False,0,0.6707782745361328,409.0625,,0,1
A1_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,A1_K10,RNA_PROTEIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,3484,3484,10,171,"[316, 377, 332, 534, 233, 457, 226, 171, 349, 489]",0.5610616970210363,0.5298844776731803,0.475367286760461,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,afc3332077a04b60124742b20e20f312cd25e9d471248907ff19db4cb0574f25,633391367a4eb48338a8e3574ec4a2f756066dcbc5136eb9e59ef2baa798d014,,False,0,0.6718652248382568,411.11328125,,0,1
P22_K9__B0_BACKBONE_ONLY__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,B0_BACKBONE_ONLY,P0_COMMON_V1,0,0,300,0.3347690310948854,0.4768773277067103,0.47594160411129494,0.4438989591254981,9196,9196,9,149,"[497, 1295, 2271, 149, 733, 399, 981, 2363, 508]",0.7091046061127851,0.6517852615248616,0.3473570652761306,7afd8280e21b5304a11d4c00298339151db9f9fbdc282e0cb134ea263ec172b8,695469e844daf5f99d7789fe004a1ce4e1f57db73bddd687a34be106cba318ae,a2d1a9547ee8f0d92877b8e6b01ab6741de3cfc5bff7d967de73de6c33f9c097,ed0b8d647c7858d6894a3079fb1ea2dc4217cdc07ca090cd613fdab738f3f563,True,300,6.034584045410156,1000.40234375,-0.17574740702000535,0,1
P22_K9__B0_BACKBONE_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.3398743560861741,0.47285780731942817,0.47189625276963326,0.4497051817476591,9196,9196,9,47,"[2421, 153, 977, 1268, 596, 2205, 522, 47, 1007]",0.7137860525182953,0.6643785854418369,0.3336987644103035,4ed6ee6ac989bd77194b0847582780731d0401f40d06350b1026438e7fc34889,70340a123d4e17b6ca3972ab7f875d60a91ffa1cad2ac21de62711e0abfd27be,0b926183df7eddec9c0f88d7a0ebe56aaf6956b010bdfec93c93cd2ffe2197d2,b803798869051a5d7753cd156c3f6beb7cf4c16a908ce7f9c29926d2787dee29,True,700,11.690515518188477,1000.84765625,-0.049974656809337104,0,1
P22_K9__B1_BACKBONE_POINTWISE_ANCHOR__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,B1_BACKBONE_POINTWISE_ANCHOR,P0_COMMON_V1,0,0,300,0.3368278337068028,0.4788759762554835,0.4779444063170571,0.445352272718381,9196,9196,9,148,"[969, 519, 2277, 489, 731, 2332, 1322, 148, 409]",0.7117950925527335,0.6550588095617537,0.3439171210433355,91512dee1b8f9d3d728c6fa99589bc6a4d3ddd930109560e898965d29b8f596d,fcc64b4ae92aefaa5b17661dac36593da2ce3f3dd69c1fd95f4bbfade196e3a2,83276e7be6fdea6c0679d30e733c9c789298f1c1f6552e8f4f0fa4977945037e,31469299d27ff629933ec73415942d4eaec1c9b121bc7eeded5ebced876b09a3,True,300,5.918763875961304,984.48828125,-0.17604214223640963,0,1
P22_K9__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.3556742098611865,0.48989011289817136,0.4889614532196964,0.4620086784425096,9196,9196,9,47,"[976, 430, 2370, 884, 927, 47, 1202, 152, 2208]",0.7188441670253982,0.6703929814309963,0.327619054705804,974a3b2d1a5b117f6b9fec16e2671d22cb22112a4a4153c00915ed5e8aa878e2,c79885ecb3f28595a7b8af3f2c8eaff2d36dd7abec4c79b516697e857a301266,6937e9241eaa8911a6d2fad6bd103fa8d4955ed9aeb7624aa3978975928d21ed,7c723e5b9421b773b98b4c8d802bab3d1f4224d65a74dcb3d163bc97f51f0e77,True,700,11.578628778457642,978.953125,-0.04779208799780033,0,1
P22_K9__B2_POSITIVE_RELATION_ONLY__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,B2_POSITIVE_RELATION_ONLY,P0_COMMON_V1,0,0,300,0.3106178835409584,0.46554559762254516,0.4645832843142193,0.4258068486187997,9196,9196,9,138,"[1007, 667, 2715, 258, 1293, 493, 1948, 138, 677]",0.7318661213947482,0.6895995118013908,0.308531985724745,3b2e1de7f57fc78ad3dc8befb371de8933957c9809d1ae951c08943d08a6e843,b0691b0a72259c2c0576acc64a5098bcf12e1933d18c4d66172b8506940573a4,6f159634d104df97425ebb219757a7a67432dbfeb31211208c1ed7e6f6390b91,2633191909022c6ad6def52edd4ae7970b8990aba2cc3ac89609d95e0e38c692,True,300,7.02652382850647,981.4453125,-0.19455693033170754,0,1
P22_K9__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.3291428193410522,0.4795056232923446,0.4785703802640873,0.4399447662398651,9196,9196,9,132,"[718, 132, 620, 245, 1990, 910, 587, 1409, 2585]",0.7423590185105468,0.6949590826973345,0.30323311123719077,5b450a3033dca5006d9a2bd6067229c3f7f95a641edea8a7ae7d860a05130674,e093cfd7f572019cc4b6576e874ecbf70e09edf5d5712cdbf9950dd6c0f6e843,53aea104f27d8de8a90ccd52199f03885b559ae85ae34bbf4c5e9f0f58080831,3a76efbfb58bb1642fc26e336b202bc7cf26bb3d677e92ce24bd93f2b2a83983,True,700,12.092160701751709,981.640625,-0.04641938863597932,0,1
P22_K9__B3_BOUNDARY_RELATION_ONLY__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,B3_BOUNDARY_RELATION_ONLY,P0_COMMON_V1,0,0,300,0.3180722145872412,0.459966134106604,0.4589971015237001,0.4313083872185701,9196,9196,9,147,"[1299, 496, 412, 475, 2241, 721, 2487, 918, 147]",0.6938226431338786,0.6350296939624538,0.36408807769768875,2f35e91a89581b6ab1c5eacc40be2d54724717869e37ab528bf3dcaaf9e57d97,8878151df98751409a1f390610ded8a02c153b066694b41fabdcaa2f1e3c50f0,40fb9309c490edaef889a3db285f01075414eba42ab99a7de086181233ea1eaf,b3d5c5dff9fc47abfdaac4bf8e75be4d9134cbc2ea942616adc7d5527527e0e6,True,300,6.429670810699463,980.36328125,-0.17153037491714318,0,1
P22_K9__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.32462111861123455,0.46673864249748565,0.4657659975030466,0.43640275971545966,9196,9196,9,45,"[45, 1303, 555, 136, 1043, 940, 610, 2437, 2127]",0.7047998278088679,0.6734633061172475,0.3245090567199207,48ba9a4c6e1acb83b27bf5b7b05b5b424c3b075dcb3a873b6ae90d3b5b604bfe,13c0ab22fa7105ff360b4b0fb0d3297c2145a0a077ce25b7ea0d9481b575e862,d583791b9ab7b020e276b3e9efdfed85cc5ef23ae9e1c1bf2756708b275ac0c5,c59387ad550bed77ccfd3dfab10d40417bc950105e687808c041e29849dfa706,True,700,11.22015380859375,1014.94921875,-0.05489818440339108,0,1
P22_K9__FULL_SIGNED_RELATIONAL_DISTILLATION__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,P0_COMMON_V1,0,0,300,0.2723380587267657,0.4291847478173979,0.42815041431881506,0.397292468561614,9196,9196,9,145,"[1260, 1881, 242, 470, 641, 2941, 668, 145, 948]",0.7007640981489454,0.6571170276563654,0.340825788637439,4de8b3f036f9e721c7675fef75cf20a06181305cfffaeb094cd69409c1a99ac1,884c115aa36a2cf97a3bb0c3210f9e939b5014bc9c37aae5603bd8392009582d,541e22c3fbf22d3d535d5dadbbde547e67915ac1adbdc69f899ceb0b7755d2b1,9df1e1a7d04ff6340a90931a1d921558900ea2556f4e2800f14f643ec333fcd6,True,300,6.500136375427246,998.109375,-0.17855153167597568,0,1
