lane,historical_frontier_ari,historical_frontier_nmi,historical_frontier_source,night21b_max_ari,night21b_max_ari_nmi,night21b_max_ari_candidate,night21b_max_nmi_ari,night21b_max_nmi,night21b_max_nmi_candidate,score_frontier_advance,selection_semantics,method_attribution
A1_K10,0.2761717672503009,0.4219373620021054,Night16E TSRE_FULL public benchmark HPO,0.25008078045017157,0.3639653147487846,A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__P0_COMMON_V1_S0,0.2307780381056034,0.39193331028812234,A1_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__REV1_POSDOM_S0,False,transparent_post-lock_public_benchmark_HPO,NONE; this board is separate from matched contribution
TONSIL_S1_K4,0.23668286718251594,0.31736524060791105,Night16C family-frozen CMBF-TPR,0.13774369148711335,0.21370642331649065,TONSIL_S1_K4__T0_STRONG_CARRIER__STABLE700_V1_S0,0.11395325561794518,0.2257650551610788,TONSIL_S1_K4__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,False,transparent_post-lock_public_benchmark_HPO,NONE; this board is separate from matched contribution
P22_K9,0.5963900556825741,0.7182431752166996,Night16H strict-LOSO feasible selector,0.4710883039953578,0.600489060931043,P22_K9__T0_STRONG_CARRIER__P0_COMMON_V1_S0,0.4710883039953578,0.600489060931043,P22_K9__T0_STRONG_CARRIER__P0_COMMON_V1_S0,False,transparent_post-lock_public_benchmark_HPO,NONE; this board is separate from matched contribution
PLACENTA_K10,0.4999993975293688,0.6311801428733832,Night19B concatenated-feature KNN matched control,0.47284441179890113,0.5910894252005634,PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,0.47284441179890113,0.5910894252005634,PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,False,transparent_post-lock_public_benchmark_HPO,NONE; this board is separate from matched contribution
