step,fraction_of_training,wall_seconds,gradient_norm,embedding_l2_mean,embedding_finite,total_loss,checkpoint_state_sha256,L_rna_recon_raw,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,L_mod2_recon_raw,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,L_corr1_raw,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,L_corr2_raw,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_rna_attention,cross_omics_modality2_attention,rna_spatial_attention,rna_feature_attention,modality2_spatial_attention,modality2_feature_attention
0,0.0,0.036044130101799965,0.6415689501992341,2.272970199584961,True,8.839019931852818,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,1.0023996829986572,3.4354841709136963,3.44372820854187,0.389605209072088,1.0317693948745728,5.0,5.158846855163574,0.5836446681801053,0.08276732265949249,1.5,0.12415098398923874,0.014045786178379446,0.11229388415813446,1.0,0.11229388415813446,0.01270433656942729,0.5010280013084412,0.49897199869155884,0.500251293182373,0.49974876642227173,0.5002002120018005,0.49979984760284424
1,0.000625,0.1359807886183262,0.6415689520594564,2.256525754928589,True,8.818404830992222,3e378b359d0a5bee0de5224baf2d8e84ba360e48735e1737a81cca840d68ddf8,1.002295732498169,3.4354841709136963,3.443371057510376,0.39047550248642166,1.0284655094146729,5.0,5.142327308654785,0.583135771968884,0.08198633044958115,1.5,0.12297949194908142,0.013945775262763041,0.10972697287797928,1.0,0.10972697287797928,0.01244295028193133,0.5006135106086731,0.4993865191936493,0.5002362132072449,0.4997638761997223,0.5001229047775269,0.49987709522247314
5,0.003125,0.342232184484601,0.5167232666785956,2.2084059715270996,True,8.746580086648464,8ce4339606e1d0d82620eabaf2473b3d662f0f89f32bd6c766a611930d384987,1.0019943714141846,3.4354841709136963,3.442335844039917,0.3935636340076044,1.0167977809906006,5.0,5.083989143371582,0.5812545123930464,0.08011796325445175,1.5,0.12017694115638733,0.013739877754030492,0.10007815808057785,1.0,0.10007815808057785,0.011441975845318766,0.4991205036640167,0.5008795261383057,0.5001670718193054,0.49983295798301697,0.4998108744621277,0.5001891255378723
10,0.00625,0.5711610838770866,0.425047616459398,2.180922269821167,True,8.675304725766182,44497fb4ef33efa4a2856d3d98400da1d4373b32be711807e0c3a600f0d2a32c,1.001805305480957,3.4354841709136963,3.4416861534118652,0.39672222039530763,1.0049633979797363,5.0,5.024816989898682,0.57920927837551,0.07956337928771973,1.5,0.11934506893157959,0.013756873413001561,0.08945651352405548,1.0,0.08945651352405548,0.01031162781618082,0.49747130274772644,0.502528727054596,0.5000665783882141,0.4999334216117859,0.49942293763160706,0.5005770921707153
20,0.0125,0.9413379915058613,0.3428618309053969,2.164614677429199,True,8.563522942364216,048ca3430c9a5d902e13d4139305ac9ebe6eddb3aa10d9a3733f47d854aa33a3,1.0016127824783325,3.4354841709136963,3.4410247802734375,0.4018235022470133,0.9857163429260254,5.0,4.928581714630127,0.5755320266905766,0.08074337989091873,1.5,0.1211150735616684,0.014143136461105921,0.072801373898983,1.0,0.072801373898983,0.008501334601304169,0.4953833222389221,0.5046166777610779,0.49981969594955444,0.5001803040504456,0.4987145662307739,0.5012854337692261
40,0.025,1.5814506709575653,0.26351461569846635,2.1893928050994873,True,8.406189441680908,3e55456744fbfeb59d517b75589f288a5a9d2f97dd77d6ae28f2a445f5c2692a,1.001338243484497,3.4354841709136963,3.4400815963745117,0.4092319855792627,0.9571749567985535,5.0,4.785874843597412,0.5693275028834498,0.08452744781970978,1.5,0.12679117918014526,0.015083074210946167,0.05344182252883911,1.0,0.05344182252883911,0.006357437326341392,0.4946654438972473,0.5053345561027527,0.49914827942848206,0.5008518099784851,0.4979374408721924,0.5020625591278076
80,0.05,2.7612160835415125,0.20074410668161846,2.2861883640289307,True,8.208782713860273,a2a940f7fce96f953fb2b0dde870a8d630449d64ef6ee204a21a932763c64fc4,1.00026535987854,3.4354841709136963,3.4363958835601807,0.41862429587250904,0.9199060201644897,5.0,4.599530220031738,0.5603181836285634,0.08845099806785583,1.5,0.13267649710178375,0.01616274930481028,0.04018011316657066,1.0,0.04018011316657066,0.004894771194117222,0.49863722920417786,0.5013628005981445,0.4980970025062561,0.5019029974937439,0.498252272605896,0.501747727394104
320,0.2,9.094187380746007,0.08575271347424333,2.9331045150756836,True,7.693642657250166,005b810d41fdf060482dab6bb4e2481647cbf11e815080faa158f0fa8850e99e,0.9924745559692383,3.4354841709136963,3.409630537033081,0.4431750588026061,0.8252444863319397,5.0,4.126222610473633,0.5363158641875905,0.08527910709381104,1.5,0.12791866064071655,0.016626540422977842,0.02987084910273552,1.0,0.02987084910273552,0.0038825365868255506,0.5567039251327515,0.44329607486724854,0.5105363726615906,0.4894636273384094,0.5096312165260315,0.4903688132762909
800,0.5,21.560294872149825,0.036692754245412074,3.28706431388855,True,7.3837942983955145,9d3555181923592a136af8ef6c05fa5461398a831648fb32c61c37bcfb8f4258,0.9871437549591064,3.4354841709136963,3.3913166522979736,0.4592918647577846,0.7776521444320679,5.0,3.888260841369629,0.526593873588074,0.05583220720291138,1.5,0.08374831080436707,0.011342178210810318,0.020468493923544884,1.0,0.020468493923544884,0.002772083443331114,0.5904871821403503,0.40951278805732727,0.611750066280365,0.388249933719635,0.5771209001541138,0.4228791296482086
1600,1.0,42.07384080812335,0.021822624512596776,3.4652485847473145,True,7.13901405967772,eee7dee6d637e14b0c70aceb71dbdd8e8b0da4e6cc23df90a61b5f3fb48ae7c7,0.9831211566925049,3.4354841709136963,3.3774971961975098,0.4731041524731192,0.7347438335418701,5.0,3.6737191677093506,0.5145975532474572,0.05004420131444931,1.5,0.07506629824638367,0.01051493912448919,0.012731397524476051,1.0,0.012731397524476051,0.0017833551549344883,0.5836097598075867,0.4163902997970581,0.7567473649978638,0.24325263500213623,0.7998465895652771,0.2001534104347229
