step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.344319367346214e-06,2.523129293265281e-05,0.01764821624990893,0.0002123452493120604,0.001061726246560302,0.7426323513231977,0.00014736182489026416,0.00022104273733539623,0.1546099932088078,0.00012167922025867104,0.00012167922025867104,0.08510943921808556
1,0.000625,True,True,True,True,6.861417116208153e-06,2.357228989276941e-05,0.017162086298993882,0.0002033675423891867,0.0010168377119459337,0.7403208022586109,0.00014305605584246807,0.00021458408376370211,0.1562304969392399,0.00011851549138598964,0.00011851549138598964,0.08628661450315538
5,0.003125,True,True,True,True,5.0321868352250385e-06,1.7287998217495908e-05,0.01474744283284561,0.00016874486330048378,0.0008437243165024189,0.7197349263785059,0.0001364859483079056,0.00020472892246185841,0.17464301200475602,0.00010652967198167547,0.00010652967198167547,0.0908746187838925
10,0.00625,True,True,True,True,4.27116780755709e-06,1.467352939417854e-05,0.013931896546262035,0.00014687309068573786,0.0007343654534286893,0.6972489882615642,0.00014070701777953978,0.00021106052666930967,0.20039305770041813,9.31332176856229e-05,9.31332176856229e-05,0.08842605749175578
20,0.0125,True,True,True,True,4.1545098365058035e-06,1.4272752781220936e-05,0.015089379162675054,0.00012658581533072323,0.0006329290766536161,0.669142594081368,0.00015144630620083098,0.00022716945930124647,0.24016713230586473,7.150942824701696e-05,7.150942824701696e-05,0.07560089445009226
40,0.025,True,True,True,True,4.421784276581664e-06,1.5190969889391377e-05,0.018433172207427285,0.00010482381049181248,0.0005241190524590625,0.6359815615142783,0.00016009035375119963,0.00024013553062679943,0.29138755598857075,4.46648995528513e-05,4.46648995528513e-05,0.0541977102897237
80,0.05,True,True,True,True,4.266429261004993e-06,1.4657250192505672e-05,0.020919988549144612,8.505819642229387e-05,0.00042529098211146934,0.6070089791041111,0.00015717569764144023,0.00023576354646216035,0.33650040952538035,2.4921979138334716e-05,2.4921979138334716e-05,0.03557062282136393
320,0.2,True,True,True,True,4.861100477796503e-06,1.6700233744690893e-05,0.0409305912211215,4.0992759149639076e-05,0.00020496379574819537,0.5023456238488777,0.00011152171016414,0.00016728256524621,0.40999272232880585,1.9066904368950807e-05,1.9066904368950807e-05,0.0467310626011951
800,0.5,True,True,True,True,4.085902372853899e-06,1.403705292583828e-05,0.06505243104152596,1.9390354413075096e-05,9.695177206537549e-05,0.4493071658244771,6.06300278117095e-05,9.094504171756425e-05,0.42146995428153516,1.3846738275496683e-05,1.3846738275496683e-05,0.0641704488524619
1600,1.0,True,True,True,True,4.535738683779137e-06,1.5582458451524147e-05,0.09339693389796021,1.4791304597361561e-05,7.39565229868078e-05,0.4432748856805869,4.6759574694954925e-05,7.013936204243238e-05,0.4203958817346573,7.162877115926665e-06,7.162877115926665e-06,0.042932298686795434
