step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,False
1,0.000625,3e378b359d0a5bee0de5224baf2d8e84ba360e48735e1737a81cca840d68ddf8,False
5,0.003125,8ce4339606e1d0d82620eabaf2473b3d662f0f89f32bd6c766a611930d384987,False
10,0.00625,44497fb4ef33efa4a2856d3d98400da1d4373b32be711807e0c3a600f0d2a32c,False
20,0.0125,048ca3430c9a5d902e13d4139305ac9ebe6eddb3aa10d9a3733f47d854aa33a3,False
40,0.025,3e55456744fbfeb59d517b75589f288a5a9d2f97dd77d6ae28f2a445f5c2692a,False
80,0.05,a2a940f7fce96f953fb2b0dde870a8d630449d64ef6ee204a21a932763c64fc4,False
320,0.2,005b810d41fdf060482dab6bb4e2481647cbf11e815080faa158f0fa8850e99e,False
800,0.5,9d3555181923592a136af8ef6c05fa5461398a831648fb32c61c37bcfb8f4258,False
1600,1.0,eee7dee6d637e14b0c70aceb71dbdd8e8b0da4e6cc23df90a61b5f3fb48ae7c7,True
