step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,False
1,0.000625,e983fe601a4ddde873bb6efaea3707a8e69a92820aecf6c17d0f861df1d93fca,False
5,0.003125,ce17e44e9bfa6c97d2b9326924a24f2933f800dde188307f0e7c8ba06fa2cf9b,False
10,0.00625,7dce1246f10b5d36916ecbab657050445485be7e7155810666e283eb08315519,False
20,0.0125,a345336fe2f6d345be825d37ed6b1bd399a3bee89213d884cc86db35a07fba22,False
40,0.025,8ac4996b470c158d1d1deea54eb9ac256772a480992542e8cbb7513cd497afb9,False
80,0.05,e702b8d7eb9b0123de989f4ed5aee70c61882db307bd3c83debe1dc06470d311,False
320,0.2,d9c99c461bae8538e4601b7391ce897a45a2b7554965b3ffaef0dec823d27295,False
800,0.5,d9cb02d4c8c54a359b1c86cc8d15ac4174bfe81fbe53a82334b2dd0786787277,False
1600,1.0,6e014b422d7831f1d4df6b35f5e427e4507efe19d2119b1b068dd8e5d7f9d699,True
