step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.2646774385060105e-06,2.5437963199179918e-05,0.24999997545879546,0.00019185883410546083,2.543796658049935e-05,0.2500000086898277,0.00016732277642885667,2.543796656434357e-05,0.2500000085310514,0.0001189868173713133,2.5437966441149944e-05,0.2500000073203254
1,0.000625,True,True,True,True,6.619104963171939e-06,2.3177429402743555e-05,0.2411679687078459,0.0001852007681244955,2.4555194303141205e-05,0.2555040176549538,0.000156363767182269,2.3771875929566425e-05,0.24735335962795957,0.00011506919221154862,2.4600424774394476e-05,0.2559746540092407
5,0.003125,True,True,True,True,4.624050180598893e-06,1.619155417717017e-05,0.20719298655017482,0.00016553115805144269,2.1947261830171336e-05,0.2808451045177306,0.00012193137229338726,1.8537142627814973e-05,0.23720798517161235,0.00010043240169764745,2.1471253038194014e-05,0.2747539237604823
10,0.00625,True,True,True,True,3.624558468355995e-06,1.2691738306591222e-05,0.19143701499555874,0.00015315862768118028,2.030682647809395e-05,0.3062999055834763,0.00010012480433876872,1.5221905106947457e-05,0.2296010212175838,8.455442913460859e-05,1.807673134129333e-05,0.27266205820338113
20,0.0125,True,True,True,True,3.1140427078216027e-06,1.090411852044062e-05,0.19490201436814364,0.00014048884672099695,1.862697959405507e-05,0.3329417080041917,8.86180883381775e-05,1.3472546991240526e-05,0.2408105288235757,6.054136620404886e-05,1.2943024074625405e-05,0.23134574880408898
40,0.025,True,True,True,True,2.976425295113065e-06,1.0422237981396884e-05,0.2210528338485565,0.00012986167863723362,1.7217956403538212e-05,0.3651881738717404,7.868859741885519e-05,1.1962973319337765e-05,0.25373141145063854,3.529199402190732e-05,7.5450085934224195e-06,0.16002758082906463
80,0.05,True,True,True,True,3.6221389845941203e-06,1.2683266252681525e-05,0.27649752770894664,0.00011693065359123857,1.550347197802142e-05,0.3379785291443801,8.682321649812634e-05,1.3199673860463162e-05,0.2877553081573801,2.0977603234840907e-05,4.484762084512184e-06,0.09776863498929321
320,0.2,True,True,True,True,2.4030807657804565e-06,8.414617249289969e-06,0.2530193612925662,7.788266761560342e-05,1.0326220865685273e-05,0.31049942387125473,7.786804978511706e-05,1.1838226027205921e-05,0.3559639493398729,1.2525240871703008e-05,2.677747535404847e-06,0.08051726549630613
800,0.5,True,True,True,True,2.9117626853566117e-06,1.0195815665847268e-05,0.32492996753325615,5.0710285336720046e-05,6.723519142068813e-06,0.21427151374064196,7.695685100969174e-05,1.1699697104381147e-05,0.37285709401451667,1.290750088137375e-05,2.7594701792457462e-06,0.08794142471158524
1600,1.0,True,True,True,True,2.198464899090733e-06,7.69813521262959e-06,0.33120978411445834,3.900085944479141e-05,5.171002752065188e-06,0.22248072524849138,5.3256087617585394e-05,8.096486354563331e-06,0.3483487134885702,1.0650035548536115e-05,2.2768509391699302e-06,0.09796077714848005
