lane,run_id,arm,config_id,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256,training_seed,evaluator_label_reads
P22_K9,F02_RELATION__RELATION_PERMUTED__S0,RELATION_PERMUTED,F02_RELATION,0.38712900584501475,0.578993942941679,0.5782818421234239,0.4743561215202529,0.8531329223353904,0.8317124102838748,0.16848571581819727,669,"[1513,990,669,1697,710,1242,817,709,849]",e89f737867f0691fe7d06ca763b056ab0f49fb1bd1f9a93afb423bf403de04a1,824b0764d924cfe5d8471cbae282180b0747065e7201bcb656aa3755cad295dd,0,1
P22_K9,F02_RELATION__SINGLE_VIEW1__S0,SINGLE_VIEW1,F02_RELATION,0.43557689599680943,0.5875813139786346,0.586871540211822,0.5200322078147707,0.8778654059523986,0.8409452029351162,0.15946687012181143,627,"[682,1526,627,716,663,2357,1233,633,759]",a17fb941340464d20fdaae1df75cd1d375ca150ca3dc604d6fe51e3f27c3db72,3d41fc91e81f3e34a5bb74151f4d8e8ef916b4eb83ffdfb9c590ac60cf9a9e62,0,1
P22_K9,F02_RELATION__SINGLE_VIEW2__S0,SINGLE_VIEW2,F02_RELATION,0.4378327942683095,0.5882185355955608,0.5875102150238195,0.5217074737729709,0.8781297401420955,0.8420349804254975,0.15828580394466654,571,"[1549,690,2310,803,695,737,571,1237,604]",fd05e05ba2e52b210405360a7f855f567a440210be67955738c550d7ff616286,34f627f94e0e0dbe4e6af3db70847f75223c5ae860841e5dcf54486193b18bd8,0,1
P22_K9,F03_ANCHORED__FULL_WEIGHTED__S0,FULL_WEIGHTED,F03_ANCHORED,0.43868078887595796,0.5881421439341474,0.5874350814182211,0.5219472233026307,0.8771883412923523,0.8431502984317604,0.15720121228781425,545,"[545,2264,826,716,735,725,642,1189,1554]",e4cbf0bcf7b5403a321c37a32ff70053ae92c1c8f7920ae495e9d3c89a76fe84,1b96c3ea45b87f4760c9a87c8f2bdd3b65a5f3d9538f44ccfad432df463f5c82,0,1
P22_K9,F03_ANCHORED__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,F03_ANCHORED,0.438613271731752,0.5877064380418955,0.5869986980910755,0.5218659827277815,0.8770978609296671,0.8431034008609832,0.1572350976667491,546,"[1187,737,830,724,716,1553,641,546,2262]",6f8c0c0cc4f5cd0054cb609cc624d4c8d7789fa26012e93277a6e06f10b66389,885f453fdc5054ddfb8a9cbdd9125d5034e580826bd7a625edb4396ae3d2dc33,0,1
P22_K9,F03_ANCHORED__UNBIASED_BANK_WEIGHTED__S0,UNBIASED_BANK_WEIGHTED,F03_ANCHORED,0.43735055571870823,0.5858073759388676,0.5850965898075252,0.5207450597605936,0.8749544415993279,0.8399452086229267,0.16038640653502817,596,"[598,2269,712,1522,1207,726,596,737,829]",b83a2201bbbf07b5ce7eab69f803108a9c704be1d56127d66bab3b528d654670,32820e5d77d53b6eed864cfe04d9559d010dd20c47a8f89de01739d9f144be68,0,1
P22_K9,F03_ANCHORED__RELATION_PERMUTED__S0,RELATION_PERMUTED,F03_ANCHORED,0.38812380223257714,0.5775980698651595,0.5768850106691666,0.4748943587027944,0.8540742681485787,0.8344564752321231,0.16571176768879853,705,"[1244,706,738,992,1620,1492,892,705,807]",ef53528e195e685e0a56a6bcdf128821fe50612628c6d2c42e578578dc172e51,a6a6bad3e867fa56c94b030069078290367d5f9f1701803de0e14388edd1cc92,0,1
P22_K9,F03_ANCHORED__SINGLE_VIEW1__S0,SINGLE_VIEW1,F03_ANCHORED,0.43740740017141566,0.5860975237567225,0.5853874735841044,0.520716486011881,0.8751825518220178,0.8405814627089965,0.15974472287339042,585,"[744,1539,712,621,2257,1189,724,585,825]",5b28a6ad765a46a27570f8468eb8ce636364ad6c249a4bddc9ce635db37d5a7e,00914aae50adf0f34763039e42581a909d9204c3856edd78ddcfcaf445b3dc7c,0,1
P22_K9,F03_ANCHORED__SINGLE_VIEW2__S0,SINGLE_VIEW2,F03_ANCHORED,0.4367811293835152,0.5848956343436432,0.5841827834844691,0.520351518336416,0.8776554342314897,0.8438243453268085,0.1565347600533295,520,"[638,2254,1578,749,1173,729,712,520,843]",f71f80388152b1aef97ea0720e570ab48f415707e0ee610bbac128764a69a3ac,a27de04a6b4508bb6bd9abc9551b65414f6e936348676e783e799164b71e91c5,0,1
MISAR_K7,BASELINE__FROZEN_RETAINED,FROZEN_RETAINED_SAME_HEAD,BASELINE,0.3611133493142985,0.5371715938517067,0.5347566088080864,0.4827788366729388,0.922318008046878,0.904387359733862,0.09506461800879741,183,"[367,401,264,183,248,214,272]",3add99e4cdb08d99017e747da6c12dc0ea3151e551b5b0bc26997df0c8b2ecd6,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,0,1
MISAR_K7,BASELINE__FEASIBLE_RELATION_SMOOTH,FEASIBLE_CONSENSUS_SAME_HEAD,BASELINE,0.360033848124176,0.5383170873378517,0.535906951865165,0.4819340364974421,0.9256538338943161,0.9085258508689841,0.09092432699245197,174,"[174,404,219,271,250,364,267]",2455297ac2b6d9852de6cba0731ab859902e6c1dc879e69761d8fbf4a8f45d0f,1ee170b027f4658339d5a6bd1b965d67644bdd12a59b53cfefda2ebba4cf2021,0,1
MISAR_K7,F01_BALANCED__FULL_WEIGHTED__S0,FULL_WEIGHTED,F01_BALANCED,0.36177077266893454,0.5375195872605862,0.5351035864516237,0.48343338816623654,0.9145172700154562,0.8947837227326048,0.1046170113380853,161,"[398,161,253,279,270,222,366]",86f3558cace505ac88a95dd490e83435e3036095bdd9ce29fbdbf99e9280a3f9,61b8e09d926ac95efb5b9408c2ff596b087aeb1f9a404f1d94d321ae9417d0c1,0,1
MISAR_K7,F01_BALANCED__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,F01_BALANCED,0.36245849991188694,0.5369330389374168,0.5345146083565986,0.4839911725528844,0.9149791661237262,0.89560978884386,0.10382403820420547,168,"[215,399,261,366,168,255,285]",9eb250058aa6118b31c662e641d9f8a14a0c70bd931b74c20a8b27ccac7184da,c0f3d0fdf464812c4fc7f555ce00a51ead1766a78e7dc97f3c644520b95318d3,0,1
MISAR_K7,F01_BALANCED__UNBIASED_BANK_WEIGHTED__S0,UNBIASED_BANK_WEIGHTED,F01_BALANCED,0.35689601855227027,0.5312678269144958,0.5288186103447398,0.4794061721709477,0.9150475766147381,0.8955192623551574,0.10395860026343759,161,"[279,259,373,161,394,266,217]",5fdcca7a186139d693f7e4f8a9d739e5b937cefd186c4a43205ff09103278d7c,ee012d1d3e9901406a022a9d66e19d4b27114dc01652daf75450354d7df16075,0,1
MISAR_K7,F01_BALANCED__RELATION_PERMUTED__S0,RELATION_PERMUTED,F01_BALANCED,0.36110328416212767,0.5341446460853474,0.5317121282428731,0.4828572328173184,0.9214284837228137,0.9030812491931599,0.09637820888287241,178,"[178,396,374,204,275,258,264]",1dec7d4b42d245eb8bc281889368b2aa8e277787e457e8580f37a5bafe623e39,69f659ea62ee8ca82ec9d6513cf52f327c660d4dcbcdd4bce557d79eb0fd7fff,0,1
MISAR_K7,F01_BALANCED__SINGLE_VIEW1__S0,SINGLE_VIEW1,F01_BALANCED,0.35413483479621405,0.5253031625883066,0.5228238487045483,0.47703310470701205,0.9141921948892101,0.8943743817956042,0.10499814799554605,165,"[390,211,283,165,276,370,254]",604b9bc08e22d9dcf8f144be02ce76bbd67fc046f7f9fcb0b5d57601ed0d2c61,a7b3081d7e9309e4fbfb775154595fb612b728aed35b5f9361569ab7b9dcf117,0,1
MISAR_K7,F01_BALANCED__SINGLE_VIEW2__S0,SINGLE_VIEW2,F01_BALANCED,0.36406350745759414,0.5400504856147608,0.5376485558213893,0.48532176624498147,0.915150192351256,0.8957660072864321,0.10369831775580275,169,"[399,368,273,271,253,169,216]",7dd51fae126e0443f63795a1d36cbf5e6f6cffe51100938139499a1eade7bc68,f3d420c9f22a7bba1bf5e637d80ae6056c35f88728caf9fc1c88f1e93368b1ea,0,1
