lane,audited_previous_frontier_ari,audited_previous_frontier_nmi,night21a_best_arm,night21a_best_ari,night21a_best_nmi,delta_ari_to_frontier,delta_nmi_to_frontier,frontier_source,frontier_advanced_both
A1_K10,0.276171767,0.421937362,CARRIER_ONLY,0.23643209910354843,0.3887643545531437,-0.039739667896451586,-0.033173007446856306,Post-Night19C Q2 current_score_board,False
TONSIL_S1_K4,0.236682867,0.317365241,ANCHOR_WITHOUT_GRADIENT,0.1808651622066981,0.24980173884796517,-0.05581770479330189,-0.06756350215203485,Post-Night19C Q2 current_score_board,False
P22_K9,0.596390056,0.718243175,LOWPASS_CARRIER_CONTROL,0.4809399105218947,0.6103778279429019,-0.11545014547810523,-0.10786534705709816,Post-Night19C Q2 current_score_board,False
PLACENTA_K10,0.499999398,0.631180143,ANCHOR_WITHOUT_HIERARCHICAL_FUSION,0.41657309527259107,0.528448767042172,-0.08342630272740892,-0.102731375957828,Post-Night19C Q2 current_score_board,False
