family,study_count,mean_delta_ari_vs_carrier,mean_delta_nmi_vs_carrier,strict_synergy_lanes
RNA_PROTEIN,2,-0.020931124696384182,-0.02320373697227468,0
RNA_CHROMATIN,2,-0.0230710514748535,-0.013511694864676738,0
