step,fraction_of_training,wall_seconds,gradient_norm,embedding_l2_mean,embedding_finite,total_loss,checkpoint_state_sha256,L_rna_recon_raw,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,L_mod2_recon_raw,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,L_corr1_raw,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,L_corr2_raw,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_rna_attention,cross_omics_modality2_attention,rna_spatial_attention,rna_feature_attention,modality2_spatial_attention,modality2_feature_attention
0,0.0,0.027050813660025597,0.09192844326805097,2.084010601043701,True,3.8779277075082064,b5bfd7ee66b7bbe04e306e9af2333c7c7a10a9e603fc6843a886f9273083aae6,1.0018877983093262,3.7962584137057993,3.8034250736236572,0.9807880291991257,1.1016173362731934,0.03872605205956664,0.042661286890506744,0.01100105265188636,0.13617025315761566,0.04124369168752097,0.005616163834929466,0.001448238404252816,0.2118832767009735,0.12377184254711282,0.02622518315911293,0.006762679744735141,0.49879273772239685,0.5012072324752808,0.4991762340068817,0.5008237361907959,0.5041368007659912,0.4958631694316864
1,0.005,0.10733125917613506,0.09192844316196387,2.036468029022217,True,3.8745215432718396,9f918836ba2786a32c80486b0a28c416984c99131db6e2a1317ef35d85cda60a,1.0015631914138794,3.7962584137057993,3.8021926879882812,0.9813321839933609,1.08672034740448,0.03872605205956664,0.04208438843488693,0.010861828477368272,0.12086200714111328,0.04124369168752097,0.004984795115888119,0.0012865575943291074,0.20408254861831665,0.12377184254711282,0.025259671732783318,0.006519429934941796,0.5001975297927856,0.49980244040489197,0.4992828667163849,0.5007171630859375,0.5040096640586853,0.4959903061389923
5,0.025,0.26832620054483414,0.056734483132185515,1.9209595918655396,True,3.8647919830400497,93da870558eba9db5b8e9211da1836462096e5ddf336e9bca4a2222aaabb1d53,1.0006672143936157,3.7962584137057993,3.7987914085388184,0.982922606238353,1.046471357345581,0.03872605205956664,0.04052570089697838,0.010485868599091022,0.09409168362617493,0.04124369168752097,0.0038806882221251726,0.0010041130904728847,0.17446768283843994,0.12377184254711282,0.021594185382127762,0.0055874120720830495,0.5045581459999084,0.49544182419776917,0.49946674704551697,0.5005332231521606,0.5035161375999451,0.49648383259773254
10,0.05,0.44837600737810135,0.042450247215102044,1.859623908996582,True,3.857258179457858,f412ac2d9af0c2f7ef07bab9478fbbc454bc391393e4f685c6f0ff2c59a21915,1.0000243186950684,3.7962584137057993,3.7963507175445557,0.9842096486468885,1.0170387029647827,0.03872605205956664,0.03938589245080948,0.01021085201414887,0.09220856428146362,0.04124369168752097,0.0038030215073376894,0.0009859390609607075,0.14315491914749146,0.12377184254711282,0.017718547955155373,0.004593560278001856,0.5041455030441284,0.4958544671535492,0.49918612837791443,0.5008138418197632,0.5029423832893372,0.49705758690834045
20,0.1,0.7447031885385513,0.03305888537549678,1.875030279159546,True,3.8468091634567827,d6502a916357756bd39ae325e118ce1358f4f7ccd2221cb57e5bf6c877cadedd,0.9989315867424011,3.7962584137057993,3.7922024726867676,0.985804679034053,0.9848467707633972,0.03872605205956664,0.0381392240524292,0.009914508994815042,0.0942954421043396,0.04124369168752097,0.0038890920113772154,0.0010109916676715092,0.10162549465894699,0.12377184254711282,0.012578374706208706,0.003269820303460452,0.5000203251838684,0.4999796748161316,0.498868852853775,0.5011311173439026,0.5019902586936951,0.49800971150398254
40,0.2,1.2152556013315916,0.03591009177519627,2.3790171146392822,True,3.8257152657024562,88f47748124b00d81154ea4f946a5a74bf4e415e2152354473a4971d5c72650d,0.9943006038665771,3.7962584137057993,3.7746219635009766,0.9866447713295521,0.9427533149719238,0.03872605205956664,0.036509111523628235,0.00954308122481892,0.13776777684688568,0.04124369168752097,0.0056820516474545,0.0014852259650356373,0.07192378491163254,0.12377184254711282,0.008902139030396938,0.0023269214805933494,0.4944567084312439,0.5055432319641113,0.49755388498306274,0.5024461150169373,0.5008514523506165,0.49914851784706116
80,0.4,2.040485631674528,0.029355460854450188,3.1732370853424072,True,3.7829727749340236,d90889f4f5b279f58b3fba00f8e7dac813ffd5e6f994102dad0bed11b50b3cb6,0.9833140969276428,3.7962584137057993,3.732914447784424,0.9867674630171049,0.9027348160743713,0.03872605205956664,0.034959353506565094,0.00924123846150989,0.20295089483261108,0.04124369168752097,0.008370444178581238,0.002212663076521142,0.05436236038804054,0.12377184254711282,0.006728529464453459,0.0017786354448640744,0.4909985065460205,0.5090014934539795,0.49554210901260376,0.5044577717781067,0.5006362795829773,0.4993637204170227
100,0.5,2.4946359917521477,0.023319219888438037,3.319114923477173,True,3.772449850104749,183ab77d237225f7e0d2c5f25468d2b8df7ad29c859cc1ce95061712b2923626,0.9809060096740723,3.7962584137057993,3.7237727642059326,0.9870966910540998,0.8886234164237976,0.03872605205956664,0.03441287577152252,0.009122155930201957,0.1967967450618744,0.04124369168752097,0.008116624318063259,0.002151552609198472,0.04966869577765465,0.12377184254711282,0.0061475858092308044,0.0016296004064997988,0.4964143633842468,0.5035856366157532,0.4945959448814392,0.505403995513916,0.5009362101554871,0.49906378984451294
200,1.0,4.487226773053408,0.013838183355151227,3.723512649536133,True,3.7432560604065657,f263763c40b5212579ec734d48382beb3c9d8580d738ac86b00be4e031035e28,0.9743164777755737,3.7962584137057993,3.6987571716308594,0.9881122509233651,0.8350023627281189,0.03872605205956664,0.032336343079805374,0.008638560268915515,0.17568834125995636,0.04124369168752097,0.0072460356168448925,0.0019357573994170946,0.03972236439585686,0.12377184254711282,0.0049165100790560246,0.0013134314083023293,0.5435917377471924,0.45640823245048523,0.5016016960144043,0.49839821457862854,0.5030545592308044,0.49694544076919556
