dataset,variant,n_genes_scored,n_selected,n_rescued_non_hvg,A_score_min,A_score_mean,A_score_max,S_score_min,S_score_mean,S_score_max,R_score_min,R_score_mean,R_score_max,Q_score_min,Q_score_mean,Q_score_max,final_weight_min,final_weight_mean,final_weight_max
a1,abundance_only,17954,3000,0,0.0,0.5,1.0,0.0878961733415028,0.5,1.0,0.3333333333333333,0.8742477299316976,0.9942906080502426,0.0,0.16897843408142096,0.6158567514866223,1.0,1.5,2.0
a1,asr_hvg,17954,3000,0,0.0,0.5,1.0,0.0878961733415028,0.5,1.0,0.3333333333333333,0.8742477299316976,0.9942906080502426,0.0,0.16897843408142096,0.6158567514866223,1.0,1.1689784340814209,1.6158567514866222
a1,asr_rescue,17954,4000,1000,0.0,0.5,1.0,0.0878961733415028,0.5,1.0,0.3333333333333333,0.8742477299316976,0.9942906080502426,0.0,0.16897843408142096,0.6158567514866223,1.0,1.1689784340814209,1.6158567514866222
placenta,abundance_only,19172,3000,0,0.0,0.5,1.0,0.2019978091909655,0.5,1.0,0.3333333333333333,0.7844998869905357,0.9879735417919424,0.0,0.1522058395814389,0.5103707293134934,1.0,1.5,2.0
placenta,asr_hvg,19172,3000,0,0.0,0.5,1.0,0.2019978091909655,0.5,1.0,0.3333333333333333,0.7844998869905357,0.9879735417919424,0.0,0.1522058395814389,0.5103707293134934,1.0,1.1522058395814387,1.5103707293134934
placenta,asr_rescue,19172,4000,1000,0.0,0.5,1.0,0.2019978091909655,0.5,1.0,0.3333333333333333,0.7844998869905357,0.9879735417919424,0.0,0.1522058395814389,0.5103707293134934,1.0,1.1522058395814387,1.5103707293134934
p22,abundance_only,16304,2000,0,0.0,0.5,1.0,0.1285652947310311,0.49999999999999994,1.0,0.3333333333333333,0.8354660928067563,0.9978298611111112,0.0,0.15950942248046307,0.5633567170118025,1.0,1.5,2.0
p22,asr_hvg,16304,2000,0,0.0,0.5,1.0,0.1285652947310311,0.49999999999999994,1.0,0.3333333333333333,0.8354660928067563,0.9978298611111112,0.0,0.15950942248046307,0.5633567170118025,1.0,1.159509422480463,1.5633567170118026
p22,asr_rescue,16304,3000,1000,0.0,0.5,1.0,0.1285652947310311,0.49999999999999994,1.0,0.3333333333333333,0.8354660928067563,0.9978298611111112,0.0,0.15950942248046307,0.5633567170118025,1.0,1.159509422480463,1.5633567170118026
