formal_id,dataset,cluster_k,model_seed,endpoint_seed,status,label_policy,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256,embedding_sha256,partition_sha256,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,source_stage
F31_P22_K9_HIGH_NMI,P22,9,0,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,af33ebb1e84fc67a053bfd5f7828ac6f9be6fb816ea3f02d1999ad78646cb6d2,1.324882123619318,0.4785459216076684,0.6434783298655334,0.6428716216614115,0.5543646316841898,0.6624820558701561,0.6434783298655334,0.9500976900359908,0.0529117805871977,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,0,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_0/roundtrip_expected.npz,c7258ae2ce57da95502d4ba9f95bf87b9b06812155ceedf71b3a804e441afe83,9613134c225a86c4901161166c5b2a3094fb23dffb516fade278543074eeb4ff,6eae0e12549c3be39f4e85f257fe7c4db08eda077215b8e102b8d60cb9d92e23,1.4089330304414034,0.5142840798058397,0.6522766846150112,0.6516758570002983,0.5857775988099936,0.6628068773715375,0.6522766846150112,0.9445153452285086,0.056834598108899,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,1,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,ad4c6507af4f722cf7a291b89ee64a930c742f106f2bc009d91377616f1fb072,1.2667116709053516,0.4515594839832204,0.6299877215310487,0.6293574175728367,0.5313932768139665,0.6479309721297329,0.6299877215310485,0.9479085915141152,0.0553073925634571,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,1,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,6d06b07027b90ddd22cecfa7d48acb445b627d73d276143c9e8f6fdbd633f5d8,1.365618435665965,0.4361535570474605,0.6305946181224578,0.6299694791092735,0.5168068268644551,0.6527811081892523,0.6305946181224579,0.944460126299466,0.05668586629039,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,1,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_1/roundtrip_expected.npz,f062262f6114783538c8144be590945b9913814969e0177a28983e219994fd42,9fc4e96aec7f105617944a467111b8b27387b41c6b7e7844b44e8cca7d491639,d5ee34def6036569bacda9dd7eaa1e930071e232bfe3dd4fa7939951d4a047db,1.351261531934142,0.5594755810506871,0.6901744296469525,0.6896443151987294,0.624100885344485,0.7072504601117754,0.6901744296469523,0.945899916491856,0.0556788023992541,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,2,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,e11484fc8182c9a0babb9e2fa5ab7fb7959b587ec4576f2ced329374980a8b84,1.2412659861147404,0.4296626760387081,0.5987286439846429,0.598019200714784,0.5195575124598275,0.5949541550438153,0.598728643984643,0.9407230084633048,0.0623934137235894,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,2,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,013b0bf11198e1f6a6e1d42aedba5e8e9721aeec255a3f08d01d4fcfc65363b4,1.3265661653131249,0.4590919788299658,0.6246537514799467,0.6240038920272409,0.5407582044400042,0.6325570340333072,0.6246537514799468,0.9393003328759708,0.0598619248215618,FROZEN_FORMAL
F31_P22_K9_HIGH_NMI,P22,9,2,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,77be61ea150c7186ab3c9b83d22e2e961724aa921e305332e7e25a73bfa0982c,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/P22/seed_2/roundtrip_expected.npz,cf64addb8bdacb06ea07eb78e74d01b7b9ca368bf4e1c78915f36229c791a0e2,5fa3783460399a10470716aab7b89f8676a1ed0fb461597a454943b43958b64b,aa08408c6124fd3f31898aa494f31201bb163fbc2c3167ba068b3dd134e2de24,1.3033495377749205,0.4325195329556729,0.6147235027017645,0.6140716123159276,0.5135422867639226,0.636504852064244,0.6147235027017643,0.9470176526510868,0.0542565206716447,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,2ae83dab1887762fa13c0ec51a253687c0c6093459c91c14300637f766288535,b96714fe8ae0d0e92424eb7550f4396ec2025ffb5e5beaf59484d0cdb951f8ea,0.2603634539991617,0.5099310451743241,0.6289634776869945,0.627002774176686,0.6070840506153534,0.6636608110799249,0.6289634776869945,0.9162229442458124,0.0835052350438959,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,2ae83dab1887762fa13c0ec51a253687c0c6093459c91c14300637f766288535,26790425c8e7f6dd8d79be456f2b063d5e0c0512bb1f7b28d9e7d9653bf45bc2,0.2841722778975963,0.4144321690647242,0.5657329521504746,0.5634484604052681,0.52852972803806,0.5985802271965915,0.5657329521504746,0.927514639151501,0.0726522628834969,FROZEN_FORMAL
