stage,dataset,source,filter_id,head,cluster_k,endpoint_seed,embedding_sha256,partition_sha256,label_policy,status,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,exact_identity_fallback,edge_count,interior_fraction,boundary_fraction,conflict_fraction,abstain_fraction,trust_mean,surviving_directed_edges,identity_abstention_rows,endpoint_wall_seconds,head_head_id,head_fallback,head_affinity_nnz,head_affinity_sha256,head_clusters_sha256,head_graph_k,head_anchor,head_iterations,source_stage,candidate_id,model_seed,optimizer_steps,trainable_parameter_count,parameters_changed,fresh_process_status,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,head_id,labels_in_fit,operator_nnz,anisotropic_scale,representation,pca_dimension,coordinate_basis,coordinate_weight,algorithm,parent_head_id,graph_k,anchor,iterations,parent_candidate_id,potts_beta,formal_id,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A1.0_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,1.0,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A1.0_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,1.0,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A2.0_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,2.0,2.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A2.0_I5,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,2.0,5.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A2.0_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,2.0,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K24_A2.0_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,24.0,2.0,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,0ef86866f8f1ce6bc7d7d98a5e3ba92046137a495e3f8377d84e1db55364476a,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4688304761175206,0.5951487811355689,0.5930188107697516,0.5730933409275908,0.6299110250390262,0.595148781135569,0.9231256991846378,0.0757511169803477,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.0_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.0,2.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,5014715e4a95f3a6419c73c63a80f701cb017f9417612d57801bc76d7a9da9da,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4655986231615485,0.582257804589971,0.5800573541168462,0.5705288674716763,0.6156036308865647,0.582257804589971,0.925657946580588,0.0731825378307222,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.0_I5,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.0,5.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,dca2066fe94b40d277a5c116baf2ca0cbcb2219f41772292f4e6a50d7b61a24a,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4649434689121656,0.5797577888887306,0.577542603176726,0.5700549489727168,0.6125789933291395,0.5797577888887308,0.9254559840564036,0.0736226309244972,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.0_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.0,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,b39274b2e54252b5c180acf005f0443581f61f0cd92d14b8b19ea73b017869b6,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4586999125206989,0.5749459249583433,0.5727056723115314,0.5649076047223676,0.607560806492474,0.5749459249583433,0.9253160350846484,0.0738213658132139,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.0_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.0,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,a4132c4820919e1ceb53633d295819874c701cb1927feece5a7557be902aee28,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4697168378853832,0.6002247102155559,0.5981240112413683,0.5737402975861834,0.6359554230079135,0.600224710215556,0.9193473230395914,0.0795970638167841,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.1_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.1,2.0,,,,,,,
