formal_id,dataset,cluster_k,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,wall_seconds,ari_target,nmi_target,ari_best_gap,ari_median_gap,nmi_best_gap,nmi_median_gap,target_source,comparison_scope
F30_P22_K9_MAX_ARI,P22,9,9,0.5683320293232914,0.4958844259615803,0.5074958165203398,0.4490028209475127,0.6845261668582091,0.6347932068452513,0.6345165688788342,0.5925254214347974,12.351167237386107,0.5063,0.6562,0.06203202932329144,-0.010415574038419695,0.0283261668582091,-0.021406793154748693,P22 project N02 native K=9,DIRECT_PROJECT
F31_P22_K9_HIGH_NMI,P22,9,9,0.5657418174909989,0.4590919788299658,0.480781625423358,0.4296626760387081,0.6982816590420795,0.6305946181224578,0.6425443712210486,0.5987286439846429,11.922947958111765,0.5063,0.6562,0.05944181749099897,-0.0472080211700342,0.0420816590420795,-0.025605381877542244,P22 project N02 native K=9,DIRECT_PROJECT
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,9,0.5099310451743241,0.4003992854842524,0.4097093789769107,0.3400742678105161,0.6289634776869945,0.5657329521504746,0.5550948457070004,0.4909500903333817,2.535900669172406,0.3137,0.4924,0.1962310451743241,0.08669928548425243,0.13656347768699445,0.07333295215047458,MISAR project support-only K=7,DIRECT_PROJECT
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,9,0.4142752375766465,0.2766283457453204,0.2932728414536648,0.2331419745528068,0.5328709531713021,0.4806616117196904,0.4820843122662956,0.4355930620172963,2.1344879548996687,0.644,,-0.2297247624233535,-0.3673716542546796,,,SEPAR paper context K=12 ARI,PROTOCOL_CONTEXT_ONLY
