dataset,family,role,variant,candidate_id,absolute_ari,absolute_nmi,delta_ari_vs_input,delta_nmi_vs_input,min_cluster_size_full,partition_sha256
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,BOUNDARY_OFF,BOUNDARY_OFF_faf17cc663451e,0.2366828671825159,0.3173652406079106,0.0,0.0,478,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_99326e6d7c4941,0.2366828671825159,0.3173652406079106,0.0,0.0,478,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_44ae16f7052a81,0.2214811049789937,0.3074768995416986,-0.015201762203522207,-0.009888341066212003,497,93da2f3e5fafe64921abb9489a0279cf14d41baf796b7f92d2dcfa7490bbd4ee
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_80717da96750fc,0.2360256681708299,0.3168170961718113,-0.0006571990116860105,-0.000548144436099296,479,dfb56196648390fab5d41c3dc44fe471b9b0b726e674de655e2e0472926abffc
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2587853670379758,0.3165462386288244,0.0,0.0,445,cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,NIGHT15F_DIRECT,NIGHT15F_DIRECT_fb04d51736b95c,0.256714850713133,0.3126449210709021,-0.002070516324842786,-0.0039013175579223347,449,f8c7cdf39c61b120b39d4083e22869a4c14f860d819df3f25c37888c71ead8b3
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,TSRE_FULL,TSRE_FULL_2ee7a3d777cdc5,0.2568887927680222,0.3131931874457913,-0.0018965742699535992,-0.00335305118303314,450,9ffa01954e35718a5ab25b42a988a99fd159acf24cc63507df84fb743d5a3c64
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_8fe318ada0c205,0.2564278069564112,0.3110355648085601,-0.002357560081564569,-0.005510673820264322,462,b4b4e4e995f5e73a20c78b674b841c1617fdc4b46d707a94e79f58c99b088ca4
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,BOUNDARY_OFF,BOUNDARY_OFF_faf17cc663451e,0.2584087451553301,0.3156047893144917,-0.0003766218826457002,-0.0009414493143327096,446,cfe43f7ef71ed0c1048f9a1d128fbd72a10b908fca9fafa758373041815e14bf
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_99326e6d7c4941,0.2567725464410487,0.3130947224602665,-0.0020128205969270896,-0.003451516168557933,452,0f6dd1be06a44eba33c7f605263ac34c35d6f5ac13f9b8db2254daa2fe949091
