dataset,family,role,start_provenance,n_total,n_evaluated,k,input_start_ari,input_start_nmi,frozen_full_ari,frozen_full_nmi,delta_ari_vs_input,delta_nmi_vs_input,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,cluster_sizes_full,partition_sha256,producer_wall_seconds,peak_rss_mib
A1,RNA_PROTEIN,FAMILY_DISCOVERY,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,3484,3484,10,0.2760037787216815,0.4216898282359678,0.2762858911644195,0.4218302703612856,0.00028211244273795844,0.00014044212531783007,0.4180607414473253,0.4165073921543699,0.4692173606556458,0.4218302703612856,0.5610684684472885,0.4420960986456929,0.6073289767557284,114,"[274, 772, 570, 182, 307, 790, 168, 114, 121, 186]",6fd30b01f2fbe7ea2cf8c55027fba4c747138bf30ef1a7418bb2afa9c0611bf9,2.7299839053303003,134.3359375
D1,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,3359,3359,10,0.3664778624945835,0.4481582291179584,0.3661129314104913,0.4475825938554101,-0.00036493108409219044,-0.0005756352625482797,0.4436464117254577,0.5048435285830588,0.4588610514290265,0.4475825938554101,0.607446147131074,0.3963319063386089,0.6650364650364651,59,"[997, 90, 1081, 133, 212, 369, 93, 209, 59, 116]",517f7908a21f09c5572949a5f689490f60a2b1a78b10bb057fc242a7ba514d2e,3.7361148707568645,133.92578125
tonsil_s1,RNA_PROTEIN,FAMILY_DISCOVERY,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,4326,4326,4,0.2366828671825159,0.3173652406079106,0.2366828671825159,0.3173652406079106,0.0,0.0,0.316766729734924,0.5033588064073908,0.3565111604652228,0.3173652406079106,0.7257346262282802,0.2742395844372606,0.7997187625552431,478,"[478, 1304, 1141, 1403]",61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,2.210247963666916,124.515625
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,4519,4518,4,0.2587853670379758,0.3165462386288244,0.2568887927680222,0.3131931874457913,-0.0018965742699535992,-0.00335305118303314,0.3126178178190249,0.5143897587969274,0.3422915510881801,0.3131931874457913,0.7586659894245855,0.240553464356807,0.8284216582496964,450,"[1002, 1397, 450, 1670]",9ffa01954e35718a5ab25b42a988a99fd159acf24cc63507df84fb743d5a3c64,2.97608869895339,134.1484375
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,4521,4460,4,0.3512833622509198,0.310249228825364,0.3512833622509198,0.310249228825364,0.0,0.0,0.3096072420293139,0.615016726276322,0.3157600416355237,0.310249228825364,0.700635345151646,0.306232030236825,0.7935857586888951,294,"[2471, 574, 1182, 294]",ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd,2.4729233495891094,133.65625
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,9196,9196,9,0.5959576919633218,0.718005775236186,0.5961810503110561,0.7180634697788532,0.00022335834773423713,5.769454266713048e-05,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307976,0.0706181479024505,0.9575279992554214,165,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,6.08414426445961,233.5390625
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,HISTORICAL_PER_LANE_PUBLIC_LABEL_ASSISTED_BENCHMARK_START,1949,1949,7,0.5416365903694235,0.6669488935833198,0.5419324739739171,0.6658671894979475,0.0002958836044936186,-0.001081704085372226,0.66410661292332,0.6334503545200084,0.7041807706688896,0.6658671894979475,0.9229553769534274,0.07893728117036,0.937655495390019,125,"[295, 438, 181, 267, 353, 290, 125]",dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926,1.1468070317059755,109.3046875
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,FIXED_UNLABELED_PARTITION_CONSENSUS_START_BANK,2500,2500,7,0.1657336868947469,0.2631898402663674,0.5155650158912327,0.5096793712429872,0.34983132899648584,0.24648953097661985,0.5074898351109987,0.625789803281767,0.4870947583208362,0.5096793712429871,0.7057918413004254,0.2812367176189493,0.8500436717457507,51,"[51, 829, 231, 736, 151, 450, 52]",a5ae9d4b652b12ea1f3427dfcc66cf320425cbc954ecb8642aa26a83bc08dc2b,10.997466092929244,259.44921875
