lane,family,profile,candidate_id,profile_id,variant,absolute_ari,absolute_nmi,delta_ari_vs_input_strong_start,delta_nmi_vs_input_strong_start,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,min_cluster_size_eval,cluster_sizes_full,cluster_sizes_eval,partition_sha256,selection_uses_public_annotation,night16b_frontier_ari,night16b_frontier_nmi,delta_ari_vs_night16b_frontier,delta_nmi_vs_night16b_frontier,board
tonsil_s2,RNA_PROTEIN,MAX_ARI,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2587853670379758,0.3165462386288244,0.0,0.0,0.315973348592331,0.5158460787106333,0.3457625160955204,0.3165462386288244,0.7654990380365636,0.2336902568072018,0.8332800613693025,445,445,"[1001, 1403, 445, 1670]","[1001, 1402, 445, 1670]",cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,True,0.258264,0.314324,0.000521367037975784,0.0022222386288244245,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s2,RNA_PROTEIN,MAX_NMI,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.2587853670379758,0.3165462386288244,0.0,0.0,0.315973348592331,0.5158460787106333,0.3457625160955204,0.3165462386288244,0.7654990380365636,0.2336902568072018,0.8332800613693025,445,445,"[1001, 1403, 445, 1670]","[1001, 1402, 445, 1670]",cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,True,0.258264,0.314324,0.000521367037975784,0.0022222386288244245,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s3,RNA_PROTEIN,BALANCED,TSRE_FULL_4ae471a38560c3,PROFILE_4ae471a38560c3,TSRE_FULL,0.3527884269769521,0.3112754925256839,0.0015050647260323,0.0010262637003198,0.3106349437042293,0.6156600123567416,0.3170361618060426,0.3112754925256839,0.7018688496109073,0.3048701981415451,0.7941508900819441,297,297,"[2467, 574, 1183, 297]","[2465, 517, 1181, 297]",d53ced292938c38d855b8ef2e73d12d0d8c5a99727614360f01b9767f12f23e8,True,0.350644,0.309771,0.0021444269769521074,0.0015044925256838537,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s3,RNA_PROTEIN,MAX_ARI,TSRE_FULL_4ae471a38560c3,PROFILE_4ae471a38560c3,TSRE_FULL,0.3527884269769521,0.3112754925256839,0.0015050647260323,0.0010262637003198,0.3106349437042293,0.6156600123567416,0.3170361618060426,0.3112754925256839,0.7018688496109073,0.3048701981415451,0.7941508900819441,297,297,"[2467, 574, 1183, 297]","[2465, 517, 1181, 297]",d53ced292938c38d855b8ef2e73d12d0d8c5a99727614360f01b9767f12f23e8,True,0.350644,0.309771,0.0021444269769521074,0.0015044925256838537,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
tonsil_s3,RNA_PROTEIN,MAX_NMI,TSRE_FULL_4ae471a38560c3,PROFILE_4ae471a38560c3,TSRE_FULL,0.3527884269769521,0.3112754925256839,0.0015050647260323,0.0010262637003198,0.3106349437042293,0.6156600123567416,0.3170361618060426,0.3112754925256839,0.7018688496109073,0.3048701981415451,0.7941508900819441,297,297,"[2467, 574, 1183, 297]","[2465, 517, 1181, 297]",d53ced292938c38d855b8ef2e73d12d0d8c5a99727614360f01b9767f12f23e8,True,0.350644,0.309771,0.0021444269769521074,0.0015044925256838537,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
P22,RNA_CHROMATIN,BALANCED,TSRE_FULL_ebe6b5fac22d7e,PROFILE_ebe6b5fac22d7e,TSRE_FULL,0.5961810503110561,0.7180634697788532,0.0002233583477342,5.769454266713048e-05,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307976,0.0706181479024505,0.9575279992554214,165,165,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]","[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,True,0.595552,0.717931,0.0006290503110560897,0.00013246977885317257,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
P22,RNA_CHROMATIN,MAX_ARI,TSRE_FULL_ebe6b5fac22d7e,PROFILE_ebe6b5fac22d7e,TSRE_FULL,0.5961810503110561,0.7180634697788532,0.0002233583477342,5.769454266713048e-05,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307976,0.0706181479024505,0.9575279992554214,165,165,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]","[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,True,0.595552,0.717931,0.0006290503110560897,0.00013246977885317257,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
P22,RNA_CHROMATIN,MAX_NMI,TSRE_FULL_ebe6b5fac22d7e,PROFILE_ebe6b5fac22d7e,TSRE_FULL,0.5961810503110561,0.7180634697788532,0.0002233583477342,5.769454266713048e-05,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307976,0.0706181479024505,0.9575279992554214,165,165,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]","[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,True,0.595552,0.717931,0.0006290503110560897,0.00013246977885317257,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
MISAR_E15_5_S1,RNA_CHROMATIN,BALANCED,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.5416365903694235,0.6669488935833198,0.0,0.0,0.6651935851132982,0.6332069965196186,0.70517948377323,0.6669488935833197,0.9221019057409858,0.0797725769119333,0.936631055173423,125,125,"[295, 437, 178, 267, 355, 292, 125]","[295, 437, 178, 267, 355, 292, 125]",1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,True,0.541424,0.666798,0.00021259036942344878,0.00015089358331976666,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
MISAR_E15_5_S1,RNA_CHROMATIN,MAX_ARI,TSRE_FULL_1df462cd0829ad,PROFILE_1df462cd0829ad,TSRE_FULL,0.5419324739739171,0.6658671894979475,0.0002958836044936,-0.0010817040853722,0.66410661292332,0.6334503545200084,0.7041807706688896,0.6658671894979475,0.9229553769534274,0.07893728117036,0.937655495390019,125,125,"[295, 438, 181, 267, 353, 290, 125]","[295, 438, 181, 267, 353, 290, 125]",dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926,True,0.541424,0.666798,0.0005084739739170674,-0.0009308105020524593,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
MISAR_E15_5_S1,RNA_CHROMATIN,MAX_NMI,INPUT_STRONG_START,INPUT_STRONG_START,INPUT_STRONG_START,0.5416365903694235,0.6669488935833198,0.0,0.0,0.6651935851132982,0.6332069965196186,0.70517948377323,0.6669488935833197,0.9221019057409858,0.0797725769119333,0.936631055173423,125,125,"[295, 437, 178, 267, 355, 292, 125]","[295, 437, 178, 267, 355, 292, 125]",1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,True,0.541424,0.666798,0.00021259036942344878,0.00015089358331976666,TRANSPARENT_PER_LANE_LABEL_ASSISTED_SCORE_FRONTIER
