scope,metric,point,ci_low,ci_high
pooled,combined_control_AUROC,0.8764367816091954,0.8548850574712643,0.8980244252873562
pooled,combined_minus_boot_axis_AUROC,0.02442528735632188,0.012931034482758674,0.03591954022988508
pooled,combined_minus_space_axis_AUROC,0.002873563218390718,-1.1102230246251565e-16,0.007183908045977128
a1,combined_control_AUROC,0.8749999999999999,,
tonsil,combined_control_AUROC,0.8793103448275862,,
d1,combined_control_AUROC,0.8749999999999999,,
