ablation,dataset,metric,scope,n_finite,n_missing,positive_delta_count,negative_delta_count,tie_count,full_win_count_corrected,direction,full_win_rule,delta_definition,delta_mean,delta_sd
DROP_MOD2_RECON,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,6,9,0,6,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.016655160091570923,0.032833903270633034
DROP_MOD2_RECON,a1,spatial_cluster_moran_mean,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.004823895205749473,0.008131221311773686
DROP_MOD2_RECON,placenta,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.05778465686223312,0.023034317157374307
DROP_MOD2_RECON,p22,spatial_cluster_moran_mean,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03467956767760101,0.020116685387517683
DROP_MOD2_RECON,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,9,6,0,9,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.006093731326294213,0.04332069082453781
DROP_MOD2_RECON,a1,spatial_cluster_geary_mean,five_seed,5,0,1,4,0,4,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.005185589314132444,0.008521692931308578
DROP_MOD2_RECON,placenta,spatial_cluster_geary_mean,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.023363980358891135,0.01365273194495323
DROP_MOD2_RECON,p22,spatial_cluster_geary_mean,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.03511137362265154,0.019823430786299917
DROP_MOD2_RECON,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,6,9,0,9,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.0056443275259642845,0.028231106015770207
DROP_MOD2_RECON,a1,boundary_disagreement,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.00364842454394696,0.017570684727451744
DROP_MOD2_RECON,placenta,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.05174488567990376,0.020279542173709645
DROP_MOD2_RECON,p22,boundary_disagreement,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.0018690191387559895,0.026935969954522132
DROP_MOD2_RECON,ALL,boundary_disagreement,fifteen_seed,15,0,9,6,0,6,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.01665516009157093,0.032833903270633034
DROP_CORR1,a1,ari,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.015410732403533533,0.00830197603490193
DROP_CORR1,placenta,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0441315520084969,0.04177027170199982
DROP_CORR1,p22,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.10834973107314469,0.043297132913797394
DROP_CORR1,ALL,ari,fifteen_seed,15,0,10,5,0,10,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.04569018355936936,0.0615647923985274
DROP_CORR1,a1,nmi,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.004671649069805139,0.005405435221103468
DROP_CORR1,placenta,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.04402782914224059,0.023325002101775016
DROP_CORR1,p22,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.09417606884744359,0.015213723413864079
DROP_CORR1,ALL,nmi,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.044510749639959685,0.044439248070931435
DROP_CORR1,a1,spatial_neighbor_agreement,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.05195815792830718,0.025289108600528222
DROP_CORR1,placenta,spatial_neighbor_agreement,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.024308062575210565,0.026879890158784316
DROP_CORR1,p22,spatial_neighbor_agreement,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0555989016963897,0.01244704690070882
DROP_CORR1,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.027749665683162106,0.04344633513629662
DROP_CORR1,a1,spatial_cluster_moran_mean,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.07049721753380132,0.030039217012699015
DROP_CORR1,placenta,spatial_cluster_moran_mean,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.034989066639872966,0.025596030064359683
DROP_CORR1,p22,spatial_cluster_moran_mean,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.11435486531083028,0.00495689662308721
DROP_CORR1,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.04995433873491954,0.06827069419284776
DROP_CORR1,a1,spatial_cluster_geary_mean,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.06829743594855173,0.028418059846394943
DROP_CORR1,placenta,spatial_cluster_geary_mean,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.015017149646231997,0.025484393658472083
DROP_CORR1,p22,spatial_cluster_geary_mean,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.11472735454371874,0.00541041601532473
DROP_CORR1,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,4,11,0,11,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.05600254694867949,0.059259161632408464
DROP_CORR1,a1,boundary_disagreement,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.05195815792830718,0.025289108600528222
DROP_CORR1,placenta,boundary_disagreement,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.024308062575210586,0.026879890158784333
DROP_CORR1,p22,boundary_disagreement,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.0555989016963897,0.01244704690070882
DROP_CORR1,ALL,boundary_disagreement,fifteen_seed,15,0,4,11,0,11,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.0277496656831621,0.043446335136296636
DROP_CORR2,a1,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.007956459724194759,0.03056570638116891
DROP_CORR2,placenta,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.015805622940949605,0.07504255631923443
DROP_CORR2,p22,ari,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.027048132880815357,0.02879414199633199
DROP_CORR2,ALL,ari,fifteen_seed,15,0,5,10,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.016936738515319908,0.04667503672303886
DROP_CORR2,a1,nmi,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0007941934519141603,0.01760229993259801
DROP_CORR2,placenta,nmi,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.018916648098759613,0.029544237610535044
DROP_CORR2,p22,nmi,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.006295257098755691,0.010819950544463547
DROP_CORR2,ALL,nmi,fifteen_seed,15,0,8,7,0,8,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.004471861483972694,0.022183708308020227
DROP_CORR2,a1,spatial_neighbor_agreement,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0025162648296976676,0.034991970959363
DROP_CORR2,placenta,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.04055354993983151,0.020940875711012805
DROP_CORR2,p22,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.015305567638103534,0.013799124617551957
DROP_CORR2,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,3,12,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.017780950916079126,0.029395061985699193
DROP_CORR2,a1,spatial_cluster_moran_mean,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0016336412062850302,0.016732554892494776
DROP_CORR2,placenta,spatial_cluster_moran_mean,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.04354353508200234,0.03600824315879778
DROP_CORR2,p22,spatial_cluster_moran_mean,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0053954656480938775,0.007331229030302303
DROP_CORR2,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,5,10,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.01685754731212708,0.029151964443810626
DROP_CORR2,a1,spatial_cluster_geary_mean,five_seed,5,0,1,4,0,4,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.002538238359604561,0.01689688305265811
DROP_CORR2,placenta,spatial_cluster_geary_mean,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.016896922667116267,0.021240521340896597
DROP_CORR2,p22,spatial_cluster_geary_mean,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.004737336793814645,0.00727389425516783
DROP_CORR2,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,9,6,0,6,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.008057499273511824,0.016380304799947322
DROP_CORR2,a1,boundary_disagreement,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.0025162648296976676,0.034991970959363
DROP_CORR2,placenta,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.04055354993983153,0.02094087571101279
DROP_CORR2,p22,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.015305567638103534,0.013799124617551957
DROP_CORR2,ALL,boundary_disagreement,fifteen_seed,15,0,12,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.017780950916079133,0.029395061985699196
UNIFORM_WITHIN,a1,ari,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.005155845421368738,0.0035535813954354167
