lane,control,candidate_id,partition_sha256,arm,start_id,cluster_sizes_full,cluster_sizes_eval,status,failure,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,min_cluster_size_eval,n_total,n_evaluated,k,wall_seconds,delta_vs_medoid_ari,delta_vs_medoid_nmi,oracle_gap_ari
P22_K9,NO_TOPOLOGY_AXIS,KMEANS_RETAINED_S0__INPUT_START,b358fa4db94439aecf33b74e85f7f1777eb18b41744e2291646d2510165f0c90,INPUT_START,KMEANS_RETAINED_S0,"[920, 2260, 930, 823, 1080, 749, 709, 714, 1011]","[920, 2260, 930, 823, 1080, 749, 709, 714, 1011]",PASS,,0.4783709631885838,0.6071249240502686,0.6064567142460551,0.5544711927858604,0.6253052535966026,0.6071249240502686,0.8264983390458281,0.17513783885296888,0.8574752582756802,709.0,709.0,9196.0,9196.0,9.0,0.0005603935569524765,-0.036081009421591925,-0.037794565576371286,0.11801909249399029
P22_K9,NO_CLUSTER_RISK_AXIS,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
P22_K9,BASIN_FIRST,PATH_UNIFORM__KMEANS_RETAINED_S0__L03,a9f4163e99aeed41f2c41d14a3dedcb76ffe9a640425b4338012d78876f08f17,UNIFORM_MASS_MATCHED_PATH,KMEANS_RETAINED_S0,"[1029, 2310, 839, 892, 1048, 722, 709, 710, 937]","[1029, 2310, 839, 892, 1048, 722, 709, 710, 937]",PASS,,0.5091893749885379,0.6378066470817637,0.6371898099952084,0.5811700412679872,0.6560609948631879,0.6378066470817637,0.8964182453897287,0.10493086813505813,0.9151180467223032,709.0,709.0,9196.0,9196.0,9.0,0.5091018527746201,-0.005262597621637832,-0.007112842544876208,0.08720068069403619
P22_K9,BEST_CONFIG_WITH_POSITIVE_PERSISTENCE_WEIGHT,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
P22_K9,STRICT_LOSO,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",PASS,,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,166.0,166.0,9196.0,9196.0,9.0,0.4805218167603016,0.08193808307239836,0.07332368559005964,0.0
MISAR_K7,PLAIN_PARTITION_MEDOID,KMEANS_RETAINED_S1__UNIFORM_MASS_MATCHED,5ecd77df04747c5434b6572e74db49081878f528ba00158545e833e617bdd1c9,UNIFORM_MASS_MATCHED,KMEANS_RETAINED_S1,"[143, 382, 288, 411, 259, 243, 223]","[143, 382, 288, 411, 259, 243, 223]",PASS,,0.3631067993193522,0.5502872044695606,0.5479291980632047,0.48509630514598384,0.5842753938558188,0.5502872044695606,0.9160564460201827,0.0858816755989708,0.9303380652714767,143.0,143.0,1949.0,1949.0,7.0,0.10788028128445148,0.0,0.0,0.1788256746545649
MISAR_K7,MINIMUM_RETAINED_INERTIA,KMEANS_RETAINED_S3__INPUT_START,40ec38b659b2a93fb4029733236ef62efd5da1a9f3f3d418032a694bae0d2915,INPUT_START,KMEANS_RETAINED_S3,"[250, 369, 279, 265, 148, 230, 408]","[250, 369, 279, 265, 148, 230, 408]",PASS,,0.35569313389591267,0.5352512893740758,0.5328188869990194,0.4786422202107025,0.5692144366411187,0.5352512893740758,0.8939995634313039,0.10717068027724228,0.9126298843846041,148.0,148.0,1949.0,1949.0,7.0,0.00021052174270153046,-0.007413665423439519,-0.015035915095484742,0.1862393400780044
MISAR_K7,MAXIMUM_RETAINED_CH,KMEANS_RETAINED_S3__INPUT_START,40ec38b659b2a93fb4029733236ef62efd5da1a9f3f3d418032a694bae0d2915,INPUT_START,KMEANS_RETAINED_S3,"[250, 369, 279, 265, 148, 230, 408]","[250, 369, 279, 265, 148, 230, 408]",PASS,,0.35569313389591267,0.5352512893740758,0.5328188869990194,0.4786422202107025,0.5692144366411187,0.5352512893740758,0.8939995634313039,0.10717068027724228,0.9126298843846041,148.0,148.0,1949.0,1949.0,7.0,0.00021052174270153046,-0.007413665423439519,-0.015035915095484742,0.1862393400780044
MISAR_K7,MAXIMUM_SPATIAL_COHERENCE,PATH_UNIFORM__AUTHORITY_STRONG_START__L06,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",PASS,,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,0.6942525985868286,0.6567718908460013,0.9223604516801551,0.07954452238594586,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.10492332093417645,0.17151674401669226,0.10648468637644071,0.007308930637872635
MISAR_K7,FIXED_AUTHORITY_DIRECT_ENERGY,AUTHORITY_STRONG_START__DIRECT_BASE,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START,"[293, 446, 182, 267, 351, 285, 125]","[293, 446, 182, 267, 351, 285, 125]",PASS,,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.09457798860967159,0.17219925558730043,0.10797744133750842,0.006626419067264466
MISAR_K7,LABEL_ASSISTED_ORACLE_MAX_ARI,AUTHORITY_STRONG_START__PRIVATE_CONFLICT_OFF,dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926,PRIVATE_CONFLICT_OFF,AUTHORITY_STRONG_START,"[295, 438, 181, 267, 353, 290, 125]","[295, 438, 181, 267, 353, 290, 125]",PASS,,0.5419324739739171,0.6658671894979475,0.66410661292332,0.6334503545200084,0.7041807706688896,0.6658671894979475,0.9229553769534274,0.07893728117036,0.937655495390019,125.0,125.0,1949.0,1949.0,7.0,0.13892786763608456,0.1788256746545649,0.11557998502838696,0.0
MISAR_K7,LABEL_ASSISTED_ORACLE_MAX_NMI,AUTHORITY_STRONG_START__INPUT_START,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,INPUT_START,AUTHORITY_STRONG_START,"[295, 437, 178, 267, 355, 292, 125]","[295, 437, 178, 267, 355, 292, 125]",PASS,,0.5416365903694235,0.6669488935833198,0.6651935851132982,0.6332069965196186,0.70517948377323,0.6669488935833197,0.9221019057409858,0.07977257691193333,0.936631055173423,125.0,125.0,1949.0,1949.0,7.0,0.000257149338722229,0.17852979105007127,0.11666168911375918,0.0002958836044936186
MISAR_K7,MULTI_EVIDENCE_GLOBAL,AUTHORITY_STRONG_START__DIRECT_BASE,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START,"[293, 446, 182, 267, 351, 285, 125]","[293, 446, 182, 267, 351, 285, 125]",PASS,,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.09457798860967159,0.17219925558730043,0.10797744133750842,0.006626419067264466
MISAR_K7,SIMPLE_EQUAL_WEIGHT_RANK,PATH_UNIFORM__KMEANS_RETAINED_S3__L05,3ffce93563ec1ccf9d8eae99a4c723e030e11e592dc9f2320f0683ec0bcb65b7,UNIFORM_MASS_MATCHED_PATH,KMEANS_RETAINED_S3,"[242, 379, 284, 266, 145, 220, 413]","[242, 379, 284, 266, 145, 220, 413]",PASS,,0.3615889833145115,0.5486960241234782,0.5463301812368613,0.4838133240828151,0.5826832280763827,0.5486960241234781,0.9196314720170217,0.0822953358802,0.9329723401141519,145.0,145.0,1949.0,1949.0,7.0,0.10518366284668446,-0.0015178160048406886,-0.0015911803460824103,0.18034349065940558
MISAR_K7,NO_MOLECULAR_AXIS,PATH_UNIFORM__AUTHORITY_STRONG_START__L06,dcf2f7547e2f9b7963a157bd8699c52d2411ef577dc80a5bdcee94a5ad079198,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,"[293, 445, 181, 265, 353, 287, 125]","[293, 445, 181, 265, 353, 287, 125]",PASS,,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,0.6942525985868286,0.6567718908460013,0.9223604516801551,0.07954452238594586,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.10492332093417645,0.17151674401669226,0.10648468637644071,0.007308930637872635
