lane,n_total,n_evaluated,k,selected_candidate_id,absolute_ari,absolute_nmi,formal_replay_runs,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,partition_replay_stability,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,cluster_sizes_full,min_cluster_size_full,plain_medoid_ari,plain_medoid_nmi,delta_vs_medoid_ari,delta_vs_medoid_nmi,oracle_max_ari,oracle_at_max_ari_nmi,oracle_candidate_id,oracle_gap_ari,partition_sha256,selector_config_sha256,selector_wall_seconds,selector_peak_rss_mib,gpu_time_seconds,peak_gpu_mib
P22_K9,9196.0,9196.0,9.0,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,0.5963900556825741,0.7182431752166996,2,0.5963900556825741,0.5963900556825741,0.5963900556825741,0.5963900556825741,0.7182431752166996,0.7182431752166996,0.7182431752166996,0.7182431752166996,1.0,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",166.0,0.5144519726101757,0.6449194896266399,0.08193808307239836,0.07332368559005964,0.5963900556825741,0.7182431752166996,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,0.0,76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,6f3a722a63284b1fdfa7694df9c7f5eb26fbc6c0d03156e1bc10515c7cc29c6a,5.073178203776479,81.375,0,0
MISAR_K7,1949.0,1949.0,7.0,AUTHORITY_STRONG_START__DIRECT_BASE,0.5353060549066526,0.658264645807069,2,0.5353060549066526,0.5353060549066526,0.5353060549066526,0.5353060549066526,0.658264645807069,0.658264645807069,0.658264645807069,0.658264645807069,1.0,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,"[293, 446, 182, 267, 351, 285, 125]",125.0,0.3631067993193522,0.5502872044695606,0.17219925558730043,0.10797744133750842,0.5419324739739171,0.6658671894979475,AUTHORITY_STRONG_START__PRIVATE_CONFLICT_OFF,0.006626419067264466,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,6f3a722a63284b1fdfa7694df9c7f5eb26fbc6c0d03156e1bc10515c7cc29c6a,2.527404358610511,78.515625,0,0
HUMAN_HIPPOCAMPUS_K7,2500.0,2500.0,7.0,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,0.5961783620969016,0.5854895180308324,2,0.5961783620969016,0.5961783620969016,0.5961783620969016,0.5961783620969016,0.5854895180308324,0.5854895180308324,0.5854895180308324,0.5854895180308324,1.0,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,0.7741071663682941,0.2177857175066828,0.9012346431055147,"[34, 59, 299, 655, 160, 869, 424]",34.0,0.5654545922485111,0.5694911981127403,0.030723769848390425,0.015998319918092085,0.6345914320663634,0.5899949334220079,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0.03841306996946181,b12f6fe847dbeb1edf7bafe44279a9ea637f493a0099d74ffb68d5fcb08e2609,6f3a722a63284b1fdfa7694df9c7f5eb26fbc6c0d03156e1bc10515c7cc29c6a,2.9377847593277693,78.69140625,0,0
MELANOMA_TUMOR_K2,833.0,833.0,2.0,KMEANS_RETAINED_S3__DIRECT_BASE,0.9141772268245202,0.8384393166674208,2,0.9141772268245202,0.9141772268245202,0.9141772268245202,0.9141772268245202,0.8384393166674208,0.8384393166674208,0.8384393166674208,0.8384393166674208,1.0,0.8382856860385629,0.9620709341538081,0.8407115674276644,0.8384393166674207,0.9342954819344362,1.9188465665562544e-05,0.9999914873222259,"[276, 557]",276.0,0.9188297279678376,0.8451729029040616,-0.004652501143317389,-0.006733586236640776,0.9757656645125035,0.9427557787068623,KMEANS_RETAINED_S3__INPUT_START,0.06158843768798328,8a4a5a5cc80ac381e70b3719c416dcae57b3178dd350cd285666b3309d3fd69e,6f3a722a63284b1fdfa7694df9c7f5eb26fbc6c0d03156e1bc10515c7cc29c6a,2.1105973068624735,77.62890625,0,0
