lane,arm,basin_id,candidate_id,candidate_index,candidate_sha256,evidence_score,graph0_agreement,graph0_excess,graph1_agreement,graph1_excess,graph2_agreement,graph2_excess,microcluster_score,min_cluster_size,molecular_joint,molecular_rank,path_id,path_index,path_lambda,persistence,persistence_rank,retained_ch,retained_explained,retained_min_centroid_distance,retained_within_per_observation,risk_rank,selected,size_entropy,start_id,topology_joint,topology_rank,view1_ch,view1_explained,view1_min_centroid_distance,view1_within_per_observation,view2_ch,view2_explained,view2_min_centroid_distance,view2_within_per_observation,metric_candidate_id,metric_partition_sha256,metric_arm,metric_start_id,metric_cluster_sizes_full,metric_cluster_sizes_eval,metric_status,metric_failure,metric_absolute_ari,metric_absolute_nmi,metric_ami,metric_fmi,metric_homogeneity,metric_v_measure,metric_morans_i_macro,metric_gearys_c_macro,metric_neighbor_agreement,metric_min_cluster_size_full,metric_min_cluster_size_eval,metric_n_total,metric_n_evaluated,metric_k,metric_wall_seconds
P22_K9,INPUT_START,0,AUTHORITY_STRONG_START__INPUT_START,0,ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d,0.28693181818181823,0.9622050983229878,0.9561803998045763,0.9583966742158657,0.9517648936293027,0.933770865984395,0.9232136069924451,0.15952588081774685,163,0.16589918291707306,0.011363636363636364,,,,0.6403412935731253,0.13636363636363635,1419.2881376739601,0.5527548052739075,4.002128292511188,25.28529659277328,0.03409090909090909,False,0.9391188542894329,AUTHORITY_STRONG_START,0.9437196334754413,0.9659090909090909,145.67216222881473,0.11257098387195939,1.4419074188791978,27.75183409424799,90.94011500286537,0.0733793317792748,2.9201108955305126,102.39432269310248,AUTHORITY_STRONG_START__INPUT_START,ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d,INPUT_START,AUTHORITY_STRONG_START,"[1153, 624, 1481, 803, 1018, 1524, 610, 1820, 163]","[1153, 624, 1481, 803, 1018, 1524, 610, 1820, 163]",PASS,,0.5959576919633218,0.718005775236186,0.7175184665866664,0.6558322730162267,0.7298003565931803,0.7180057752361859,0.9324487284752886,0.06998154999377741,0.9583966742158657,163.0,163.0,9196.0,9196.0,9.0,0.000661555677652359
P22_K9,DIRECT_BASE,0,AUTHORITY_STRONG_START__DIRECT_BASE,1,719495be0baf552f0423d71d966c96201144ce21dee837a23ca4f71fbb1f7f22,0.31676136363636365,0.9630684884240748,0.9571823579027511,0.9566903484007073,0.9497876723046476,0.9335864402926041,0.9230014719514141,0.16050456720313178,164,0.1661272912432029,0.18181818181818182,,,,0.6414101877110218,0.17045454545454544,1424.4081114997675,0.5536448467548549,3.9945448193351587,25.2349775215099,0.08522727272727272,False,0.9391981676355939,AUTHORITY_STRONG_START,0.9433238340529376,0.8295454545454546,145.82365408865599,0.11267486148897407,1.4391431323219586,27.748585615393786,91.09638918354771,0.07349616133015689,2.9041197165257637,102.38141268241161,AUTHORITY_STRONG_START__DIRECT_BASE,719495be0baf552f0423d71d966c96201144ce21dee837a23ca4f71fbb1f7f22,DIRECT_BASE,AUTHORITY_STRONG_START,"[1146, 624, 1483, 791, 1034, 1521, 613, 1820, 164]","[1146, 624, 1483, 791, 1034, 1521, 613, 1820, 164]",PASS,,0.5948372492388294,0.7157421095103025,0.7152509213253695,0.6548714601024409,0.7275307229399212,0.7157421095103025,0.9308865572688286,0.07174076202088119,0.9566903484007073,164.0,164.0,9196.0,9196.0,9.0,0.5863751657307148
P22_K9,BIMODAL_SUPPORT,0,AUTHORITY_STRONG_START__BIMODAL_SUPPORT,2,9030cb8df111eb83554de64edb233f5c7cd88cc52778ab942b8d901a36cd7aa2,0.3536931818181818,0.9630684884240748,0.9571893856875253,0.9571867340923897,0.9503713188002052,0.9336689125550465,0.9231097109119126,0.16246193997390168,166,0.16599580047031584,0.03977272727272727,,,,0.6425674400822706,0.21022727272727273,1422.0627521984889,0.5532375763553123,3.9915182332706003,25.25800281718065,0.29545454545454547,False,0.9395606033618081,AUTHORITY_STRONG_START,0.9435568051332144,0.8693181818181818,145.80488972534485,0.11266199612813335,1.4404650783077164,27.748987943189167,90.94654176210344,0.07338413696319117,2.9051633345410663,102.39379170607683,AUTHORITY_STRONG_START__BIMODAL_SUPPORT,9030cb8df111eb83554de64edb233f5c7cd88cc52778ab942b8d901a36cd7aa2,BIMODAL_SUPPORT,AUTHORITY_STRONG_START,"[1148, 624, 1481, 801, 1024, 1524, 612, 1816, 166]","[1148, 624, 1481, 801, 1024, 1524, 612, 1816, 166]",PASS,,0.5957914366194071,0.7173355189450162,0.7168472033000133,0.6556760189776841,0.7292933454948753,0.7173355189450161,0.931661995910766,0.07086653838514488,0.9571867340923897,166.0,166.0,9196.0,9196.0,9.0,0.5940908752381802
P22_K9,UNIFORM_MASS_MATCHED,0,AUTHORITY_STRONG_START__UNIFORM_MASS_MATCHED,3,9dd6f2541db86d6f09cfbda83f76b56e55c6cd6db342debf085455b925bad9e0,0.4161931818181818,0.9630684884240748,0.9571863515921212,0.9574659510439611,0.9506914897424766,0.9338204530112828,0.9232799380349584,0.16246193997390168,166,0.16604718983013433,0.10795454545454546,,,,0.6431137200614672,0.3125,1423.1931068042247,0.5534339545736844,3.9957415984274762,25.246900447486244,0.29545454545454547,False,0.9394541493726501,AUTHORITY_STRONG_START,0.943719259789852,0.9488636363636364,145.85286838854472,0.1126948908696793,1.4423242143335437,27.747959253126787,90.97420172203368,0.07340481729897282,2.913192238802937,102.39150646784714,AUTHORITY_STRONG_START__UNIFORM_MASS_MATCHED,9dd6f2541db86d6f09cfbda83f76b56e55c6cd6db342debf085455b925bad9e0,UNIFORM_MASS_MATCHED,AUTHORITY_STRONG_START,"[1149, 624, 1482, 801, 1021, 1524, 611, 1818, 166]","[1149, 624, 1482, 801, 1021, 1524, 611, 1818, 166]",PASS,,0.5955221247417235,0.7172607539603376,0.7167722801643972,0.6554507387034311,0.7291753459927294,0.7172607539603376,0.9319549283892565,0.07055678660325061,0.9574659510439611,166.0,166.0,9196.0,9196.0,9.0,0.5413293801248074
P22_K9,PERMUTED_SUPPORT,0,AUTHORITY_STRONG_START__PERMUTED_SUPPORT,4,807cfb046f296270647b66ef37035edf332a614c22513d2d3f0cb775c54ec950,0.39488636363636365,0.9631764121867107,0.9573120719539074,0.9573728787267707,0.9505842968113234,0.9338385112712136,0.9233019638228318,0.16246193997390168,166,0.16600155939736488,0.056818181818181816,,,,0.6427049850379851,0.23863636363636365,1422.7762826712676,0.5533615591818039,3.994409564119732,25.250993367828894,0.29545454545454547,False,0.93948364748982,AUTHORITY_STRONG_START,0.9437327775293541,0.9886363636363636,145.85555840622663,0.1126967351055593,1.4421185057204315,27.747901579862514,90.90451485922864,0.073352713225115,2.910817867317172,102.3972641220148,AUTHORITY_STRONG_START__PERMUTED_SUPPORT,807cfb046f296270647b66ef37035edf332a614c22513d2d3f0cb775c54ec950,PERMUTED_SUPPORT,AUTHORITY_STRONG_START,"[1150, 624, 1482, 804, 1017, 1524, 611, 1818, 166]","[1150, 624, 1482, 804, 1017, 1524, 611, 1818, 166]",PASS,,0.5955061787297278,0.7174544110590007,0.7169662799813722,0.6554360215446474,0.7293838579366113,0.7174544110590005,0.9318785374390772,0.07065244288226327,0.9573728787267707,166.0,166.0,9196.0,9196.0,9.0,0.9575022775679827
P22_K9,RNA_ONLY_SUPPORT,0,AUTHORITY_STRONG_START__RNA_ONLY_SUPPORT,5,17fe715097d237122b064d5efb81e8860f885f3a3225770afe9f65947c246b12,0.3664772727272727,0.9630684884240748,0.9571895147884291,0.9572177581981199,0.9504074311658782,0.9337271612661543,0.9231774638654755,0.16246193997390168,166,0.16602268459534295,0.09090909090909091,,,,0.6425053228034637,0.19318181818181818,1422.3949973339656,0.5532953157260548,3.992871670881831,25.25473848448011,0.29545454545454547,False,0.939565173592358,AUTHORITY_STRONG_START,0.9435914699399275,0.8863636363636364,145.85966676882143,0.11269955172269787,1.4418831657387616,27.747813498122888,90.95127050386654,0.07338767253508549,2.9034595274617585,102.39340101493225,AUTHORITY_STRONG_START__RNA_ONLY_SUPPORT,17fe715097d237122b064d5efb81e8860f885f3a3225770afe9f65947c246b12,RNA_ONLY_SUPPORT,AUTHORITY_STRONG_START,"[1147, 625, 1481, 801, 1025, 1524, 611, 1816, 166]","[1147, 625, 1481, 801, 1025, 1524, 611, 1816, 166]",PASS,,0.5963767957010206,0.7179263082340664,0.7174390144250637,0.656176958139301,0.7298957874020204,0.7179263082340663,0.9316500398832319,0.07088525824818757,0.9572177581981199,166.0,166.0,9196.0,9196.0,9.0,0.5486510880291462
P22_K9,ATAC_ONLY_SUPPORT,0,AUTHORITY_STRONG_START__ATAC_ONLY_SUPPORT,6,d9144aafca1f49e290096d84d3881c82e40a667a1694c986396cc3f2617d58fd,0.37784090909090906,0.9630684884240748,0.9571880242124117,0.9573108305153104,0.9505135963196762,0.933726128075178,0.923173591355389,0.16246193997390168,166,0.1660107704587308,0.06818181818181818,,,,0.6428740431288353,0.25,1422.6176796331335,0.5533340063170205,3.992684605502545,25.252551086874835,0.29545454545454547,False,0.9395200152861806,AUTHORITY_STRONG_START,0.9436250706291589,0.8977272727272727,145.805673445189,0.11266253347536498,1.4408392747050687,27.74897113917335,90.95552102583294,0.07339085052996693,2.9128383665735584,102.39304983710451,AUTHORITY_STRONG_START__ATAC_ONLY_SUPPORT,d9144aafca1f49e290096d84d3881c82e40a667a1694c986396cc3f2617d58fd,ATAC_ONLY_SUPPORT,AUTHORITY_STRONG_START,"[1149, 624, 1482, 802, 1020, 1524, 612, 1817, 166]","[1149, 624, 1482, 802, 1020, 1524, 612, 1817, 166]",PASS,,0.5953597600862288,0.7170389003768891,0.7165500614061944,0.6553088093551868,0.7289757783268084,0.7170389003768892,0.931778181354649,0.07073770477528053,0.9573108305153104,166.0,166.0,9196.0,9196.0,9.0,0.5559500455856323
P22_K9,FULL_TSRE,0,AUTHORITY_STRONG_START__FULL_TSRE,7,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,0.37784090909090906,0.962960564661439,0.9570556495432152,0.9575279992554214,0.9507570116038689,0.9337562872326015,0.9231955565564443,0.16148325358851673,165,0.16604828281878622,0.13636363636363635,,,,0.642908379558876,0.2727272727272727,1423.3003131524947,0.5534525707320876,3.998557163614805,25.245847970920376,0.18181818181818182,False,0.9392013368539951,AUTHORITY_STRONG_START,0.9436694059011761,0.9204545454545454,145.89910236730697,0.11272658712744738,1.4453396569777615,27.74696804225696,90.94523266596626,0.07338315817722853,2.9144019211895804,102.39389986481874,AUTHORITY_STRONG_START__FULL_TSRE,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,FULL_TSRE,AUTHORITY_STRONG_START,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]","[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",PASS,,0.5961810503110561,0.7180634697788532,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307977,0.07061814790245055,0.9575279992554214,165.0,165.0,9196.0,9196.0,9.0,0.7062067110091448
P22_K9,RELATION_STAY_OFF_BASE_STAY_ON,0,AUTHORITY_STRONG_START__RELATION_STAY_OFF_BASE_STAY_ON,8,9030cb8df111eb83554de64edb233f5c7cd88cc52778ab942b8d901a36cd7aa2,0.3536931818181818,0.9630684884240748,0.9571893856875253,0.9571867340923897,0.9503713188002052,0.9336689125550465,0.9231097109119126,0.16246193997390168,166,0.16599580047031584,0.03977272727272727,,,,0.6425674400822706,0.21022727272727273,1422.0627521984889,0.5532375763553123,3.9915182332706003,25.25800281718065,0.29545454545454547,False,0.9395606033618081,AUTHORITY_STRONG_START,0.9435568051332144,0.8693181818181818,145.80488972534485,0.11266199612813335,1.4404650783077164,27.748987943189167,90.94654176210344,0.07338413696319117,2.9051633345410663,102.39379170607683,AUTHORITY_STRONG_START__RELATION_STAY_OFF_BASE_STAY_ON,9030cb8df111eb83554de64edb233f5c7cd88cc52778ab942b8d901a36cd7aa2,RELATION_STAY_OFF_BASE_STAY_ON,AUTHORITY_STRONG_START,"[1148, 624, 1481, 801, 1024, 1524, 612, 1816, 166]","[1148, 624, 1481, 801, 1024, 1524, 612, 1816, 166]",PASS,,0.5957914366194071,0.7173355189450162,0.7168472033000133,0.6556760189776841,0.7292933454948753,0.7173355189450161,0.931661995910766,0.07086653838514488,0.9571867340923897,166.0,166.0,9196.0,9196.0,9.0,0.6916659772396088
P22_K9,BOUNDARY_OFF,0,AUTHORITY_STRONG_START__BOUNDARY_OFF,9,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,0.37784090909090906,0.962960564661439,0.9570556495432152,0.9575279992554214,0.9507570116038689,0.9337562872326015,0.9231955565564443,0.16148325358851673,165,0.16604828281878622,0.13636363636363635,,,,0.642908379558876,0.2727272727272727,1423.3003131524947,0.5534525707320876,3.998557163614805,25.245847970920376,0.18181818181818182,False,0.9392013368539951,AUTHORITY_STRONG_START,0.9436694059011761,0.9204545454545454,145.89910236730697,0.11272658712744738,1.4453396569777615,27.74696804225696,90.94523266596626,0.07338315817722853,2.9144019211895804,102.39389986481874,AUTHORITY_STRONG_START__BOUNDARY_OFF,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744,BOUNDARY_OFF,AUTHORITY_STRONG_START,"[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]","[1149, 623, 1484, 804, 1017, 1524, 609, 1821, 165]",PASS,,0.5961810503110561,0.7180634697788532,0.7175763037850492,0.6560246012818878,0.7298915685381901,0.7180634697788532,0.9319133036307977,0.07061814790245055,0.9575279992554214,165.0,165.0,9196.0,9196.0,9.0,0.6928535364568233
