L_corr1_raw,L_corr2_raw,L_mod2_recon_raw,L_rna_recon_raw,checkpoint_state_sha256,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_modality2_attention,cross_omics_rna_attention,embedding_finite,embedding_l2_mean,fraction_of_training,gradient_norm,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,modality2_feature_attention,modality2_spatial_attention,rna_feature_attention,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,rna_spatial_attention,step,total_loss,wall_seconds
0.08940019458532333,0.1078769788146019,1.0422428846359253,1.0025254487991333,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,0.11748875070304808,0.010503517463803291,0.0028259585168846505,0.2130662941999664,0.022984948009252548,0.006184072127336503,0.5038244724273682,0.49617552757263184,True,2.2759311199188232,0.0,0.038430008408514606,0.11576245514499593,0.12065259367227554,0.03246143264362507,0.5003937482833862,0.49960628151893616,0.5000017881393433,3.55368249995199,3.562657117843628,0.9585285367121538,0.4999982714653015,0,3.7167981769889593,0.0341634638607502
0.08733687549829483,0.10498829185962677,1.039889931678772,1.0023694038391113,d6ec7c13f23951375a8d8d3f47122edddef38a1b0970c13fb5417318a78e8d39,0.11748875070304808,0.010261100716888905,0.002761988607220057,0.2130662941999664,0.022369466722011566,0.00602120707519151,0.5040950775146484,0.49590495228767395,True,2.2525389194488525,0.000625,0.03843000846014009,0.11576245514499593,0.1203802153468132,0.0324028379114676,0.5004340410232544,0.499565988779068,0.5000020861625671,3.55368249995199,3.5621025562286377,0.9588139664061208,0.49999794363975525,1,3.7151133390143514,0.13390491716563702
0.08083094656467438,0.09423072636127472,1.031615972518921,1.0018548965454102,ee5fb208b2869280a3ace2bead1b22a58fde7690d79952043bb82d241037b304,0.11748875070304808,0.009496727026998997,0.0025602678620148117,0.2130662941999664,0.02007739245891571,0.005412759840256685,0.5054483413696289,0.4945516586303711,True,2.1764419078826904,0.003125,0.030318711111389604,0.11576245514499593,0.11942239850759506,0.032195653095479206,0.5005884766578674,0.49941152334213257,0.5000293850898743,3.55368249995199,3.560274362564087,0.9598313192022493,0.4999706447124481,5,3.7092708805575967,0.33397684060037136
0.07568690925836563,0.08259709179401398,1.0233153104782104,1.0014032125473022,ad76d6548a639cefad7699b2b1260233cb222f825dd0bc5a8668b6773bd843e5,0.11748875070304808,0.008892360143363476,0.0024009904609605367,0.2130662941999664,0.017598656937479973,0.004751742704004341,0.5072650909423828,0.4927349388599396,True,2.115731954574585,0.00625,0.023326003522838243,0.11576245514499593,0.1184614971280098,0.031985313236298336,0.5007598400115967,0.4992401897907257,0.5000993609428406,3.55368249995199,3.558669090270996,0.9608619535987368,0.4999006688594818,10,3.7036216044798493,0.5566769726574421
0.0703689232468605,0.06507949531078339,1.0105695724487305,1.000795602798462,69d8e3443f509cb582b8442d6f5ee6cb3d607ceba96c3e4d703bf97503885be5,0.11748875070304808,0.008267557248473167,0.002237117276188316,0.2130662941999664,0.013866246677935123,0.0037520659448504316,0.509286105632782,0.490713894367218,True,2.05473256111145,0.0125,0.01645232083229399,0.11576245514499593,0.11698601394891739,0.03165523080301169,0.5010164976119995,0.4989835321903229,0.5003126263618469,3.55368249995199,3.5565099716186523,0.9623555859759496,0.4996873140335083,20,3.695629789493978,0.9318021442741156
0.06603028625249863,0.046837154775857925,0.991588294506073,0.9997633695602417,365193d69fcd850a9312e4a749730f91354463facb647907f37e61dadca989f0,0.11748875070304808,0.007757815532386303,0.002105031678256649,0.2130662941999664,0.00997941941022873,0.0027078491234347525,0.5101109743118286,0.4898890256881714,True,2.019988775253296,0.025,0.011896537817463892,0.11576245514499593,0.11478869616985321,0.031147149701430468,0.5011627078056335,0.49883729219436646,0.500903308391571,3.55368249995199,3.5528416633605957,0.9640399694968781,0.49909672141075134,40,3.685367594473064,1.5530673954635859
0.06738023459911346,0.03578741475939751,0.962615430355072,0.9968786239624023,6a0c23b51fd3e303474a74ffa70b0983bdfc7b4a3bc0105d422c59d1ddf7d657,0.11748875070304808,0.007916419766843319,0.0021573174989509497,0.2130662941999664,0.0076250918209552765,0.002077927207113467,0.5043944716453552,0.4956055283546448,True,2.175056219100952,0.05,0.010719721206923648,0.11576245514499593,0.11143472790718079,0.03036727404373842,0.5004847049713135,0.4995152950286865,0.5015455484390259,3.55368249995199,3.5425901412963867,0.9653974812501972,0.4984544515609741,80,3.669566380791366,2.660765763372183
0.07077938318252563,0.02309584431350231,0.8728553056716919,0.9868568778038025,e66adf91e996043f94ff1909f9e0d19bccfc0f0f256b9681a7ecfb173814cc00,0.11748875070304808,0.008315781131386757,0.00229637989176198,0.2130662941999664,0.004920945968478918,0.0013589055786726435,0.36057257652282715,0.6394274830818176,True,3.0743696689605713,0.2,0.005240911947126976,0.11576245514499593,0.10104387253522873,0.02790298510862385,0.4902294874191284,0.5097704529762268,0.47929105162620544,3.55368249995199,3.5069761276245117,0.9684417294209415,0.5207089781761169,320,3.621256727259606,8.693012990057468
0.11129216104745865,0.015050271525979042,0.8268380165100098,0.9707483649253845,ee79dcf24232938b99493e34fb417866697fed59848b8dbeafd403c74cfe730a,0.11748875070304808,0.013075577095150948,0.0036711302212756734,0.2130662941999664,0.0032067056745290756,0.0009003223358199305,0.18986520171165466,0.8101348280906677,True,4.294559955596924,0.5,0.003061521742194546,0.11576245514499593,0.09571679681539536,0.026873676237434516,0.4417456090450287,0.5582544803619385,0.26834145188331604,3.55368249995199,3.4497315883636475,0.9685548712054699,0.7316585779190063,800,3.561730667948723,20.547093449160457
0.11145800352096558,0.008715508505702019,0.808452844619751,0.9603555798530579,9bb54e5762d71aeea49a76dcc1a077d7ea956fa9ffde3664285230d5127bd094,0.11748875070304808,0.013095061294734478,0.0037187728217103967,0.2130662941999664,0.0018569810781627893,0.0005273507781654316,0.14789897203445435,0.8521010279655457,True,4.38317346572876,1.0,0.0015108646988020763,0.11576245514499593,0.09358848631381989,0.026577525029897596,0.29645705223083496,0.7035430073738098,0.09865622967481613,3.55368249995199,3.4127988815307617,0.9691763513702266,0.901343822479248,1600,3.521339410217479,40.17410686798394
