fraction_of_training,state_file_saved,state_sha256,step
0.0,False,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,0
0.000625,False,d581827b70a011a493a979a1c6bdd7882738bf4216ce5afdd2ec3eb13c5396c6,1
0.003125,False,87832c7ab45c7a65706a95f9736a165ac57914459563291ceada45e47cc5540a,5
0.00625,False,9758207a954e2af53c75ee6d4264eb7d1507d8c0b35c3e9bd723c7b9a507ce1a,10
0.0125,False,4d4160235aebf22c69ba2eb4a2d08952875cf88a3a46da61815ac2bb3d24b1a3,20
0.025,False,4ceda8b051d9184bd5bd988a3b09890937d6ba40c3878fd1e61c714b851c21f7,40
0.05,False,43a107168316a0ba013bd886c7d17f9a6df58b9456c0553e9a9a6723ad487e44,80
0.2,False,82f4e522b473fc4bf2b337bae579c54df27c3eafb6dda9a85aa1946fdceb6135,320
0.5,False,f03d57411d7ebe7af17201a2abb819673a8ed0ad6dd06992cb0ff5b53784bb76,800
1.0,False,8a55b85ff986a762182f4d774421adb367470bd1ad1154d7c7dc3c58c31743e0,1600
