corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,step
0.0001589744461780212,1.568895249426874e-05,0.25000001504614205,0.0001285246107454562,1.5688952318970392e-05,0.25000001225280133,True,True,True,True,0.0,0.00016998389385059268,1.568895248519049e-05,0.25000001490148216,4.255270495451644e-06,1.5688948901714243e-05,0.2499999577995745,0
0.00014872361131172172,1.4677312792980694e-05,0.24215281744484135,0.0001242098092682394,1.5162246077658001e-05,0.2501534618961574,True,True,True,True,0.000625,0.00016767009138450345,1.5475396152715266e-05,0.2553199507506053,4.148915235936484e-06,1.5296822893803483e-05,0.2523737699083959,1
0.00012000278031461518,1.1842896545951033e-05,0.22030626395942754,0.0001082864732479621,1.3218490262082373e-05,0.24589560446840728,True,True,True,True,0.003125,0.0001597843883718924,1.4747571786096624e-05,0.27434018612441596,3.782956856138463e-06,1.3947554421460244e-05,0.25945794544774925,5
0.00010431703925958331,1.0294894007390724e-05,0.2134117913415312,9.138260190170326e-05,1.1155040857184326e-05,0.23124252178901766,True,True,True,True,0.00625,0.00015251272726944548,1.4076421461554862e-05,0.2918023553843456,3.448171227548588e-06,1.2713218172897661e-05,0.2635433314851054,10
9.36718359904931e-05,9.244334672882531e-06,0.220077563786425,6.668155908895922e-05,8.139793577536849e-06,0.19378203014691545,True,True,True,True,0.0125,0.00014316750868881582,1.3213888624155063e-05,0.31457974202078687,3.0938558542039205e-06,1.1406876826692291e-05,0.27156066404587276,20
9.06037325213603e-05,8.941548088422139e-06,0.23597663617873055,4.203349225315442e-05,5.131013056056778e-06,0.13541270361507265,True,True,True,True,0.025,0.0001326570015589283,1.224380349890785e-05,0.32312654756582476,3.139537413989675e-06,1.1575302231844645e-05,0.30548411264037195,40
9.994486784605923e-05,9.863410890118117e-06,0.2674560865296676,2.8757287586381947e-05,3.510391598533715e-06,0.09518772051472432,True,True,True,True,0.05,0.00012029882266814645,1.1103184367124827e-05,0.30107376362306537,3.3636603778656154e-06,1.2401631305803356e-05,0.33628242933254265,80
7.312134939387671e-05,7.216237606342814e-06,0.31581569012178107,1.5799201455890787e-05,1.928602754613216e-06,0.08440451148443043,True,True,True,True,0.2,8.03592430795124e-05,7.416892964744537e-06,0.32459728988986153,1.7054196828439142e-06,6.2877888229937395e-06,0.275182508503927,320
8.399986534068625e-05,8.289822223247337e-06,0.3838641726975932,1.459633340563061e-05,1.7817690907951602e-06,0.08250566774015852,True,True,True,True,0.5,4.342752221512418e-05,4.0082169972026574e-06,0.18560240017076213,2.0385193884756108e-06,7.515909166087715e-06,0.34802775939148606,800
6.257575998667299e-05,6.175509016237136e-06,0.3791347762601904,1.3413627734539584e-05,1.6373966412425053e-06,0.10052515632224385,True,True,True,True,1.0,3.070656959328515e-05,2.8341150471331326e-06,0.17399562877574437,1.5301030475001172e-06,5.641406005151894e-06,0.3463444386418214,1600
