fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,f307eab914ddae5b3d5aea2dc72695a41d7a4d065613017f1501721c5bc56033,1
0.003125,False,35cd0af4b78b8f233143adcd727cc5b149f17b9a897c3a9321443514b415e844,5
0.00625,False,2128e1b0b30f843a9f36ae1c07e7e3e6819ad4f270b87121a8e029290907b665,10
0.0125,False,d6554f229542f5734ffe3a8902aade9281521335197b8844b9c87a665f128f8f,20
0.025,False,b416f024951b84f6c7fd7a81a58428da888f4a884cd6ae9880b521dfdf3315f1,40
0.05,False,1156eaf9c39270a857131a9a4c078a05c85fdf67942bd1e6c4f25efc597798a6,80
0.2,False,291e37b45f0ac84097c4c7e7c40010fcfba0601f78cc618f701e48918dcf557d,320
0.5,False,8696c7c03fd361cee806da6f8cbcaeacdd6dc4886387da2cfe6ddf982f7630cf,800
1.0,False,0f429a31cdf36f614da4bf8e9f23336bcc23fca1ec2b1657ee8743222f6f94b4,1600
