fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,e83ca7aee76247462fe7f0c7ddc2fd429c7a99bf60036530d9aac22647be5fe3,1
0.003125,False,5c1123872794c2527ef12cb602bf9815e29de0b334b1b4712dcd427cfb1b3553,5
0.00625,False,fa0ba2867e9b417810703e3c3c330cea0a53e5cbe475ea489ba02b24b8f3d82a,10
0.0125,False,deb6048d22a06218de2f29d32109a517e8eb495adcff37d2f5ff30b37a1de720,20
0.025,False,1619c142c937bb203c467e3bc8261c806063c85fb7d745029e8932cff0fd70d9,40
0.05,False,b0f5468f1e7127e2f2d4dcb5c56fda542f808ca60d3111fc33e5fac04e055c2b,80
0.2,False,9a82c8e6533a7f54f80f195d36b5105f56b28cb362da3458984360ab108d2447,320
0.5,False,a6b20782e18cf16d05c27b53ac2797e2ba10116f98b4d6206b2ac8db27723eb3,800
1.0,False,0d0c17cde164f4ab0667f204dfb2b69aae4191988f706823942eb8fa8a5a802f,1600
