unit_id,canonical_gene,p_link,p_unstable,non_identifiable
P5S1,Bcl11b,0.012500000000000001,0.015384615384615385,0
P5S1,Bst2,0.17499999999999999,0.030769230769230771,0
P5S1,Cd160,0.3125,0.046153846153846156,1
P5S1,Cd163,0.47499999999999998,0.076923076923076927,1
P5S1,Cd19,0.46250000000000002,0.38461538461538464,1
P5S1,Cd1d1,0.86250000000000004,0.93846153846153846,0
P5S1,Cd200,0.025000000000000001,0.030769230769230771,0
P5S1,Cd200r1,0.1875,0.015384615384615385,1
P5S1,Cd200r3,0.16250000000000001,0.30769230769230771,1
P5S1,Cd22,0.86250000000000004,0.93846153846153846,0
P5S1,Cd24a,0.5625,0.53846153846153844,0
P5S1,Cd274,0.53749999999999998,0.52307692307692311,0
P5S1,Cd38,1,1,0
P5S1,Cd4,0.98750000000000004,1,0
P5S1,Cd40,0.69999999999999996,1,0
P5S1,Cd44,0.025000000000000001,0.092307692307692313,0
P5S1,Cd48,0.1125,0.015384615384615385,0
P5S1,Cd5,0.23749999999999999,0.046153846153846156,1
P5S1,Cd55,0.91249999999999998,0.93846153846153846,0
P5S1,Cd63,0.80000000000000004,0.67692307692307696,0
P5S1,Cd68,0.55000000000000004,0.66153846153846152,0
P5S1,Cd69,0.46250000000000002,0.35384615384615387,1
P5S1,Cd79b,0.53749999999999998,0.69230769230769229,1
P5S1,Cd83,0.46250000000000002,0.49230769230769234,0
P5S1,Cd86,0.63749999999999996,0.75384615384615383,0
P5S1,Cd8a,0.47499999999999998,0.33846153846153848,1
P5S1,Cd8b1,0.33750000000000002,0.18461538461538463,1
P5S1,Cd9,0.012500000000000001,0.015384615384615385,0
P5S1,Cd93,0.012500000000000001,0.015384615384615385,0
P5S1,Clec10a,0.375,0.13846153846153847,0
P5S1,Csf1r,0.75,0.9538461538461539,0
P5S1,Cx3cr1,0.71250000000000002,0.7846153846153846,0
P5S1,Dpp4,0.71250000000000002,0.96923076923076923,0
P5S1,Fcgr1,0.96250000000000002,0.98461538461538467,0
P5S1,Gfap,0.012500000000000001,0.15384615384615385,0
P5S1,Icam1,0.75,0.98461538461538467,0
P5S1,Icam2,0.61250000000000004,0.98461538461538467,0
P5S1,Ighd,0.58750000000000002,0.61538461538461542,1
P5S1,Il2ra,0.26250000000000001,0.015384615384615385,1
P5S1,Il7r,0.51249999999999996,0.7384615384615385,1
P5S1,Itga1,0.78749999999999998,1,0
P5S1,Itga2,0.13750000000000001,0.27692307692307694,0
P5S1,Itga2b,0.96250000000000002,1,0
P5S1,Itga4,0.97499999999999998,0.66153846153846152,0
P5S1,Itga6,0.10000000000000001,0.12307692307692308,0
P5S1,Itgae,0.83750000000000002,1,0
P5S1,Itgal,0.9375,1,0
P5S1,Itgam,0.5,0.33846153846153848,0
P5S1,Itgav,0.47499999999999998,0.46153846153846156,0
P5S1,Itgax,0.94999999999999996,1,0
P5S1,Klra4,0.46250000000000002,0.2153846153846154,1
P5S1,Klrc1,0.53749999999999998,1,1
P5S1,Klrd1,0.45000000000000001,0.44615384615384618,1
P5S1,Klrg1,0.97499999999999998,0.98461538461538467,0
P5S1,Lag3,0.82499999999999996,0.86153846153846159,0
P5S1,Lamp1,0.82499999999999996,1,0
P5S1,Ly75,0.012500000000000001,0.015384615384615385,0
P5S1,Mgl2,0.51249999999999996,0.44615384615384618,1
P5S1,Mog,0.1875,0.015384615384615385,0
P5S1,Ms4a1,0.17499999999999999,0.015384615384615385,0
P5S1,Nt5e,0.91249999999999998,0.9538461538461539,0
P5S1,Olig2,0.94999999999999996,1,0
P5S1,Pecam1,0.53749999999999998,0.61538461538461542,0
P5S1,Ptprc,0.10000000000000001,0.32307692307692309,0
