candidate_id,registry_order,success_cells,failure_cells,mean_runtime_seconds,a1_success,a1_mean_ari,a1_mean_delta_ari,a1_wins_ari,a1_mean_nmi,a1_mean_delta_nmi,a1_wins_nmi,a1_mean_q,a1_mean_delta_q,a1_wins_q,a1_mean_neighbor_agreement,a1_mean_delta_neighbor_agreement,a1_wins_neighbor_agreement,a1_mean_moran_i,a1_mean_delta_moran_i,a1_wins_moran_i,a1_mean_geary_c,a1_mean_delta_geary_c,a1_wins_geary_c,a1_mean_boundary_disagreement,a1_mean_delta_boundary_disagreement,a1_wins_boundary_disagreement,tonsil_success,tonsil_mean_ari,tonsil_mean_delta_ari,tonsil_wins_ari,tonsil_mean_nmi,tonsil_mean_delta_nmi,tonsil_wins_nmi,tonsil_mean_q,tonsil_mean_delta_q,tonsil_wins_q,tonsil_mean_neighbor_agreement,tonsil_mean_delta_neighbor_agreement,tonsil_wins_neighbor_agreement,tonsil_mean_moran_i,tonsil_mean_delta_moran_i,tonsil_wins_moran_i,tonsil_mean_geary_c,tonsil_mean_delta_geary_c,tonsil_wins_geary_c,tonsil_mean_boundary_disagreement,tonsil_mean_delta_boundary_disagreement,tonsil_wins_boundary_disagreement,d1_success,d1_mean_ari,d1_mean_delta_ari,d1_wins_ari,d1_mean_nmi,d1_mean_delta_nmi,d1_wins_nmi,d1_mean_q,d1_mean_delta_q,d1_wins_q,d1_mean_neighbor_agreement,d1_mean_delta_neighbor_agreement,d1_wins_neighbor_agreement,d1_mean_moran_i,d1_mean_delta_moran_i,d1_wins_moran_i,d1_mean_geary_c,d1_mean_delta_geary_c,d1_wins_geary_c,d1_mean_boundary_disagreement,d1_mean_delta_boundary_disagreement,d1_wins_boundary_disagreement,p22_success,p22_mean_ari,p22_mean_delta_ari,p22_wins_ari,p22_mean_nmi,p22_mean_delta_nmi,p22_wins_nmi,p22_mean_q,p22_mean_delta_q,p22_wins_q,p22_mean_neighbor_agreement,p22_mean_delta_neighbor_agreement,p22_wins_neighbor_agreement,p22_mean_moran_i,p22_mean_delta_moran_i,p22_wins_moran_i,p22_mean_geary_c,p22_mean_delta_geary_c,p22_wins_geary_c,p22_mean_boundary_disagreement,p22_mean_delta_boundary_disagreement,p22_wins_boundary_disagreement,complete_eligible,priority_weighted_delta_q,balanced_macro_delta_q,human_lymph_equal_mean_delta_q,worst_dataset_delta_q,total_q_wins
T00_C00_REFERENCE,0,30,0,0.0,5,0.26920545245702204,0.0,0,0.4086738847402008,0.0,0,0.3389396685986114,0.0,0,0.6280959260329384,0.0,0,0.5606016347119974,0.0,0,0.45263935834793134,0.0,0,0.3719040739670616,0.0,0,5,0.15295440473639177,0.0,0,0.27272266580895665,0.0,0,0.2128385352726742,0.0,0,0.7212989229456399,0.0,0,0.5766472292611043,0.0,0,0.4206550687499758,0.0,0,0.2787010770543601,0.0,0,10,0.24120059656400064,0.0,0,0.37765604753477927,0.0,0,0.30942832204938997,0.0,0,0.6286193270267033,0.0,0,0.5647579548195208,0.0,0,0.44461462117832395,0.0,0,0.3713806729732966,0.0,0,10,0.42027367793186626,0.0,0,0.5903063542361769,0.0,0,0.5052900160840217,0.0,0,0.8957218251786696,0.0,0,0.8418616017521042,0.0,0,0.1585973981287411,0.0,0,0.10427817482133042,0.0,0,True,0.0,0.0,0.0,0.0,0
T01_R02_REFERENCE,1,30,0,0.0,5,0.2627352722852963,-0.006470180171725759,0,0.4021989134511017,-0.0064749712890990515,1,0.33246709286819903,-0.0064725757304124,1,0.6265876914186652,-0.0015082346142733182,2,0.5588034642957392,-0.0017981704162580714,2,0.4530666045948772,0.00042724624694592264,3,0.3734123085813349,0.0015082346142733182,3,5,0.14902841967223682,-0.003925985064154941,0,0.266433879210618,-0.006288786598338703,0,0.2077311494414274,-0.005107385831246819,0,0.7177702437786849,-0.0035286791669549623,2,0.5797699210719405,0.003122691810835998,4,0.4174722426129824,-0.003182826136993466,1,0.2822297562213151,0.0035286791669549623,3,10,0.2361112859381303,-0.00508931062587033,2,0.3798156893374832,0.002159641802703943,7,0.30796348763780673,-0.0014648344115831824,4,0.6352742186564483,0.006654891629744952,9,0.5765473658540576,0.011789411034536767,9,0.4326320267591872,-0.011982594419136721,1,0.3647257813435517,-0.006654891629744952,1,10,0.503579568746274,0.08330589081440772,10,0.6504231741663115,0.06011681993013444,10,0.5770013714562927,0.07171135537227105,10,0.9043892248488181,0.008667399670148467,10,0.8614333902528598,0.01957178850075566,10,0.13956187383802487,-0.019035524290716258,0,0.09561077515118195,-0.008667399670148467,0,True,0.02234851397010895,0.014666639849757163,-0.003968705070997791,-0.0064725757304124,15
T02_GLOBAL_WIDE,2,30,0,16.895975526981054,5,0.26970476621225437,0.0004993137552323113,3,0.40936876757450646,0.0006948828343056656,3,0.33953676689338036,0.0005970982947689829,3,0.6313204276220745,0.0032245015891360974,4,0.5626536973419174,0.002052062629920126,3,0.45045837713287584,-0.002180981215055433,1,0.3686795723779255,-0.0032245015891360974,1,5,0.15048510692519204,-0.0024692978111997056,0,0.2702180691364493,-0.0025045966725073753,0,0.2103515880308207,-0.002486947241853543,0,0.7216356465785649,0.00033672363292509556,4,0.5776719553493258,0.0010247260882214615,4,0.4195486299918583,-0.0011064387581175227,1,0.27836435342143495,-0.00033672363292509556,1,10,0.2401025749379458,-0.0010980216260548681,2,0.37843906774203345,0.0007830202072542202,6,0.3092708213399896,-0.00015750070940031557,4,0.633714525206562,0.005095198179858729,10,0.570411947734499,0.005653992914978134,10,0.43901345880093673,-0.0056011623773872974,0,0.3662854747934379,-0.005095198179858729,0,10,0.5027430075695032,0.0824693296376369,10,0.6500744227900491,0.059768068553872136,10,0.5764087151797762,0.07111869909575452,10,0.9048015393073117,0.009079714128642113,10,0.862163755869067,0.020302154116962845,10,0.13882366558917794,-0.019773732539563167,0,0.09519846069268831,-0.009079714128642113,0,True,0.024628401993578214,0.017267837359817413,0.00021979879268433364,-0.002486947241853543,17
T03_GLOBAL_CONSERVATIVE,3,29,1,15.899925472028553,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.15029055537662678,-0.0026638493597649525,0,0.26984127096237287,-0.002881394846583829,0,0.21006591316949982,-0.0027726221031743937,0,0.7218570538988445,0.0005581309532046274,5,0.5776193387297919,0.000972109468687643,4,0.41954386876815014,-0.0011111999818257724,1,0.2781429461011554,-0.0005581309532046274,0,10,0.2400735176991251,-0.001127078864875558,2,0.3769433359200881,-0.0007127116146911861,2,0.3085084268096066,-0.0009198952397833637,3,0.6329810801101665,0.004361753083463071,10,0.5693431027257054,0.004585147906184461,10,0.4400333958387905,-0.0045812253395334625,0,0.36701891988983354,-0.004361753083463071,0,9,,,0,,,0,,,0,,,0,,,0,,,0,,,0,False,,,,,0
T04_HARD_CONFLICT_030,4,30,0,15.936920953541994,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.1507064600484116,-0.002247944687980158,0,0.2705297139485737,-0.002192951860382997,0,0.21061808699849266,-0.0022204482741815744,0,0.7219124057289144,0.0006134827832745104,5,0.5773333584504003,0.0006861291892960475,4,0.41980368386112177,-0.000851384888854112,1,0.2780875942710856,-0.0006134827832745104,0,10,0.2400735176991251,-0.001127078864875558,2,0.3769433359200881,-0.0007127116146911861,2,0.3085084268096066,-0.0009198952397833637,3,0.6329810801101665,0.004361753083463071,10,0.5693431027257054,0.004585147906184461,10,0.4400333958387905,-0.0045812253395334625,0,0.36701891988983354,-0.004361753083463071,0,10,0.5028711673809769,0.08259748944911063,10,0.6496414926707471,0.05933513843457026,10,0.5762563300258621,0.07096631394184046,10,0.9045145684442002,0.008792743265530511,10,0.8611249142554656,0.019263312503361295,10,0.1399750226369648,-0.018622375491776304,0,0.0954854315557999,-0.008792743265530511,0,True,0.024405932574679913,0.01708725635307771,-0.00019842012767402049,-0.0022204482741815744,16
T05_LOCAL_CONFLICT,5,30,0,16.264922798487046,5,0.2696409157371365,0.00043546328011441205,3,0.40933439620485623,0.0006605114646555,3,0.3394876559709964,0.0005479873723849505,3,0.6312510835018781,0.0031551574689396176,4,0.562515203562354,0.001913568850356584,3,0.4505891031951486,-0.0020502551527827096,1,0.36874891649812197,-0.0031551574689396176,1,5,0.15027813719174996,-0.002676267544641775,0,0.2697967093885918,-0.0029259564203648835,0,0.2100374232901709,-0.0028011119825033294,0,0.7219585322539726,0.0006596093083327314,5,0.5777780633926183,0.0011308341315139803,4,0.41937594648625576,-0.0012791222637201782,1,0.27804146774602734,-0.0006596093083327314,0,10,0.2402760026651388,-0.000924593898861828,2,0.3780334617890389,0.0003774142542596226,5,0.30915473222708884,-0.00027358982230109573,4,0.6326398036163334,0.004020476589630018,9,0.5689942165580751,0.0042362617385543365,10,0.4404084030130213,-0.0042062181653026495,0,0.3673601963836666,-0.004020476589630018,1,10,0.49247534777320184,0.07220166984133555,10,0.6424325982048074,0.052126243968630324,10,0.5674539729890045,0.06216395690498293,10,0.9054326553051126,0.009710830126443127,10,0.8632434802369489,0.021381878484844564,10,0.1378733576906625,-0.020724040438078625,0,0.09456734469488728,-0.009710830126443127,0,True,0.021405817506889486,0.014909310618140863,0.00013719877504192736,-0.0028011119825033294,17
T06_LOCAL_CONFLICT_SQUARED,6,30,0,15.679267167672515,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.15026376272926917,-0.0026906420071225847,0,0.26997310822125736,-0.002749557587699325,0,0.21011843547526327,-0.0027200997974109577,0,0.7221153624391705,0.0008164394935307407,5,0.5778025797660702,0.0011553505049658242,4,0.4193599162034312,-0.0012951525465446756,1,0.2778846375608294,-0.0008164394935307407,0,10,0.2400735176991251,-0.001127078864875558,2,0.3769433359200881,-0.0007127116146911861,2,0.3085084268096066,-0.0009198952397833637,3,0.6329810801101665,0.004361753083463071,10,0.5693431027257054,0.004585147906184461,10,0.4400333958387905,-0.0045812253395334625,0,0.36701891988983354,-0.004361753083463071,0,10,0.4739355055279895,0.05366182759612317,10,0.6294485950037133,0.03914224076753629,10,0.5516920502658516,0.04640203418182974,10,0.9050566245189666,0.009334799340296896,10,0.8610548065426535,0.019193204790549277,10,0.13992213546637383,-0.018675262662367284,0,0.09494337548103352,-0.009334799340296896,0,True,0.015733486930191755,0.010821273532267686,-0.00019842012767402049,-0.0027200997974109577,16
T07_LOCAL_QUALITY_CONFLICT,7,30,0,16.424376299604774,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.1507064600484116,-0.002247944687980158,0,0.2705297139485737,-0.002192951860382997,0,0.21061808699849266,-0.0022204482741815744,0,0.7219124057289144,0.0006134827832745104,5,0.5773333584504003,0.0006861291892960475,4,0.41980368386112177,-0.000851384888854112,1,0.2780875942710856,-0.0006134827832745104,0,10,0.24005811441777863,-0.0011424821462220236,2,0.37689475283970614,-0.0007612946950731226,2,0.3084764336287424,-0.0009518884206475675,3,0.632975092803257,0.004355765776553722,10,0.5693571431793855,0.004599188359864536,10,0.4400213305509249,-0.004593290627399044,0,0.3670249071967429,-0.004355765776553722,0,10,0.44831916130490035,0.02804548337303405,10,0.6084089179893771,0.01810256375320013,10,0.5283640396471386,0.023074023563117087,10,0.8983089609675646,0.002587135788895001,10,0.848510654521544,0.006649052769439623,10,0.15226898946964476,-0.006328408659096352,0,0.10169103903243541,-0.002587135788895001,0,True,0.007635632646910682,0.005106185463180817,-0.00021441671810612235,-0.0022204482741815744,16
T08_LOCAL_SHARED_SUPPORT,8,30,0,17.865763956991334,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.1507064600484116,-0.002247944687980158,0,0.2705297139485737,-0.002192951860382997,0,0.21061808699849266,-0.0022204482741815744,0,0.7219124057289144,0.0006134827832745104,5,0.5773333584504003,0.0006861291892960475,4,0.41980368386112177,-0.000851384888854112,1,0.2780875942710856,-0.0006134827832745104,0,10,0.2400365851769004,-0.0011640113871002583,2,0.3768654922008175,-0.0007905553339618065,2,0.3084510386888589,-0.0009772833605310228,3,0.6329960483774398,0.004376721350736445,10,0.5693889537134877,0.004630998893966931,10,0.43998906689658507,-0.004625554281738909,0,0.36700395162256017,-0.004376721350736445,0,10,0.4483664312792933,0.02809275334742703,10,0.6084758310031285,0.018169476766951555,10,0.5284211311412109,0.02313111505718929,10,0.8984365035733921,0.002714678394722392,10,0.848630601985182,0.006769000233078049,10,0.1521452463216945,-0.0064521518070466246,0,0.10156349642660803,-0.002714678394722392,0,True,0.0076492659348650896,0.005114109601728004,-0.00022711418804785002,-0.0022204482741815744,16
T09_THREE_SPECIALIST_EXPLORATORY,9,30,0,16.53942086864263,5,0.26967209208626136,0.000466639629239296,3,0.4092533550798321,0.0005794703396313605,3,0.3394627235830468,0.0005230549844353228,3,0.6313088702687084,0.00321294423577001,4,0.5626306559941028,0.0020290212821055366,3,0.4504546737587424,-0.002184684589188979,1,0.36869112973129153,-0.00321294423577001,1,5,0.14915795681431296,-0.0037964479220787884,0,0.2689950805938702,-0.0037275852150865374,0,0.20907651870409158,-0.00376201656858266,0,0.7222214534468046,0.0009225305011646868,5,0.5792576009009899,0.0026103716398856226,4,0.41795345227166997,-0.002701616478305935,1,0.2777785465531954,-0.0009225305011646868,0,10,0.24043573985553532,-0.000764856708465303,3,0.37723560643702514,-0.00042044109775408734,3,0.30883567314628024,-0.0005926489031096883,4,0.6339899413243923,0.005370614297688914,10,0.5705416224146654,0.005783667595144593,10,0.4388075503528938,-0.005807070825430155,0,0.3660100586756077,-0.005370614297688914,0,10,0.501745937680869,0.08147225974900274,10,0.649607406858553,0.05930105262237602,10,0.575676672269711,0.07038665618568937,10,0.9053391973611875,0.00961737218251787,10,0.8626536584125695,0.020792056660465352,10,0.13850653373332572,-0.020090864395415416,0,0.09466080263881255,-0.00961737218251787,0,True,0.024053628700035287,0.016638761424608087,-3.479695933718274e-05,-0.00376201656858266,17
