candidate_id,unit_id,dataset,seed,K,observation_count,status,structural_pathology,affinity_file_sha256,canonical_affinity_sha256,nnz,density,degree_min,degree_median,degree_max,zero_degree_count,connected_component_count,largest_component_fraction
W02_CONFLICT_RANK,u000,a1,0,10,3484,PASS,False,ca17bd2e124bcdd643f82120d0b325d5f5f6765d1d142712ee98cb593522e1af,70d05131d80bb6c64b22c0680398a0219fda1b4ca0b1b0444c437b55aa99f0e4,187922,0.015481795737377759,0.7643478655799606,0.9940424046373628,1.5027790790945057,0,1,1.0
W02_CONFLICT_RANK,u001,a1,1,10,3484,PASS,False,ae296a4a672724e3ee457a46d03016754bb7681ccd2ea82b6225fea91642e0c8,b7a8079f4c7f8daae521af871ae050c6d4942da64b7e0a79bf5b2e30ebccb3e1,187428,0.0154410979633318,0.7464818627850995,0.9927941342692436,1.493879774321669,0,1,1.0
W02_CONFLICT_RANK,u005,tonsil,0,4,4326,PASS,False,c188cc4c303380e4eece92f008338ab5e292e87fdb44f6320e63245fbafcfd43,3be439e7a582eb3943b8f2ab405476338fe16b20e7979790c890d9e73ee15af3,191816,0.010249715244126998,0.7624800763397315,0.9964847995405647,1.4057157196452075,0,1,1.0
W02_CONFLICT_RANK,u006,tonsil,1,4,4326,PASS,False,8d69c17e5c928a67665711bc45662ed2434a41536de09beecee594eee49e92be,4b07fb5e15fff7563bdf8868c7fc58e979ceebb7f210f00d49342c7f80701d52,195604,0.010452127562936444,0.7642293050579022,0.9964570372487951,1.4516087375301496,0,1,1.0
W02_CONFLICT_RANK,u010,d1,0,10,3359,PASS,False,b0c17d7a04cfba10946f2040cb016a6e8378580090e38c53349379e60db9d0b1,9094bfe7d5258f0295ccb3ddc443622fe3ec7c8d7d80a95d136a67971c24c841,179872,0.015942027572567682,0.7403573149311283,0.9925996982535508,1.4507301331666809,0,1,1.0
W02_CONFLICT_RANK,u011,d1,1,10,3359,PASS,False,352d9ce4f7ae1fe1659956ab55fde87450968caf99cbdf0b6608a8aad53f291b,2da1d56d30db4752973ebada09e262bbbed1949d85be417c8ce54da02baca032,180750,0.016019844576930307,0.751418096080336,0.9934072149073998,1.5281029581183136,0,1,1.0
W02_CONFLICT_RANK,u020,p22,0,9,9196,PASS,False,de51e4d1b9c66a0529e41fdbb519a880fc4ce4dfd80202a7f57c1313a4bbb529,65a656a8330a9dd1dfdafa2a360306c09e2d1dd67036ed87819abd5bf22a1d80,405850,0.0047991864761065435,0.800005493896953,0.9834810094254101,1.843450356378527,0,1,1.0
W02_CONFLICT_RANK,u021,p22,1,9,9196,PASS,False,97a0ff5d97c9d6439daa487807819020df1a50a99316d0f1d3326f07365cf72c,025fc688504f0a1e59c071252b6dfa8099d0b661bb8f22e584eaba149a268df9,416254,0.004922214038253673,0.7880225897304795,0.9821198188119082,2.0784451318398847,0,1,1.0
W03_QUALITY_CONFLICT,u000,a1,0,10,3484,PASS,False,d7ec93473d5516d7bbd9fd9e03c203f1024dd3208cf36290d9a46727b90e5e9a,66775f24df5d65ebf0a4766863d736bcf5ce21413dfcedd9e7b37f7066829766,186050,0.015327572593624652,0.7801410292702815,0.9971569777952978,1.3752766065722446,0,1,1.0
W03_QUALITY_CONFLICT,u001,a1,1,10,3484,PASS,False,acca16f2730a506e368a496b727444015f5886beed72f79f5061af3c8f1b63c5,538a55ad3603d04cc471a6e0016c93524193aceb1baffbebc0c2949cae36273b,183680,0.015132322139193638,0.7808020440918182,0.9968418702052857,1.3312068076080328,0,1,1.0
W03_QUALITY_CONFLICT,u005,tonsil,0,4,4326,PASS,False,9b4252f3fc8fe5e1556c3d57fdb6335e932bf1b49d4b9e68af72f3eef850f5cf,32147b26afddb96f0159cc5dcee48a8ea418a433ecc1bbab25a9542b24cb7d25,192662,0.010294921374463004,0.7632063648043887,0.9976663347004481,1.3373229085248575,0,1,1.0
W03_QUALITY_CONFLICT,u006,tonsil,1,4,4326,PASS,False,a58aae2152b7dfffd4626dfeda53e6c64ef1102cf8f1e4dd6e615e1d5213ddd6,437848e5e46884dbbea938a5ec7e8f52c0045765935c6b3a23c7472f543a6db2,196476,0.01049872300697072,0.7620295012016356,0.9982010372856414,1.3835770002118783,0,1,1.0
W03_QUALITY_CONFLICT,u010,d1,0,10,3359,PASS,False,c4011f341acf5e10822100049a92f975bdd279d365950d3536ca312b4ef81c7c,69e90a869a85cf5f64a4ba73d4cf996678a0a781b043da4a5fd4a5ba62670348,176300,0.015625441764386242,0.7848041868767731,0.9964197019682618,1.3272724601341765,0,1,1.0
W03_QUALITY_CONFLICT,u011,d1,1,10,3359,PASS,False,cac95a795c91949b67c230ca114ebcbf732657a4c49ea4a186f60eb406de7b9c,b1c1d7b5532f38d618fcb1f7e5d57324ca6dc0836a197721f4be6093903021d0,177138,0.015699713574928248,0.7454167055184691,0.9959094460077339,1.3965643399395131,0,1,1.0
W03_QUALITY_CONFLICT,u020,p22,0,9,9196,PASS,False,7e316b1da47dcdd1bf5d7a15a4aece2207dab7fe816924441d675cd03373110d,c92dfd3eeb0ef7f17d5042b5ebf3e42a72e326b73a176cfa88845f3422c46491,409828,0.004846226426339269,0.7934066621430724,0.9824422482046798,1.6902538957074744,0,1,1.0
W03_QUALITY_CONFLICT,u021,p22,1,9,9196,PASS,False,114ca0d702bd3500214e593a904fed93df2d0aacadbb3bbc0726ffe9dec99f10,22658b5b0dc917df8f5405af83b500b495ddf21a76ae587b1c1405715193244e,417626,0.004938437972823633,0.7906304622490337,0.981139639976468,1.9101917835261344,0,1,1.0
W04_QUALITY_SHARED,u000,a1,0,10,3484,PASS,False,a2054904471d9d1106fd6ce80205f4831fa7a07de4c6e9bb14f7372a52d0361d,19c03a36d48176c19e4fff9b21bef4a788a9d6cc3b2d43429071cee096e244cb,185916,0.015316533116454291,0.7797495361448173,0.9965684164513008,1.4009301276521846,0,1,1.0
W04_QUALITY_SHARED,u001,a1,1,10,3484,PASS,False,f725bf6be2c7d889a7396b57a143f1edc207b1177d44d1a5305915d2414bef70,3080af767308ef6b0457bc382f6d1d944cc68530b9c1bd3bdc8a3986c237d6b6,183722,0.015135782273829123,0.7798248538145011,0.9959512425365946,1.3244400598929391,0,1,1.0
W04_QUALITY_SHARED,u005,tonsil,0,4,4326,PASS,False,77f460495d6084218e339bd5cc9374043fcd6e3fc9488bf0a7e528e08b1015cf,96f94afa5a2a7394b1b31ff5066aaab021e784f1a201dd79ef17c61f5a8cbed3,192648,0.010294173282471628,0.7630449527567471,0.9977954947563807,1.3327683821133391,0,1,1.0
W04_QUALITY_SHARED,u006,tonsil,1,4,4326,PASS,False,72fc772e30cdf43bf2abdbc7564f48fe542b8be1688ef5ab498e49a6f0c96842,89fdbfd2890d74e241113d460a649cde5f864b21418bcf412639585a63050134,196534,0.010501822245220708,0.7623677933963737,0.9987861526067529,1.3689957628422516,0,1,1.0
W04_QUALITY_SHARED,u010,d1,0,10,3359,PASS,False,1434fa40f6460854f7356a41fb3d1942e3326559a7c28e80927784a8693d603b,1b1bc9e4b06d8ecfa517a2c97608a144674922226ab879605d24266ae9b3948e,176272,0.015622960128711807,0.7815000630601645,0.9962632978785619,1.3142327213574636,0,1,1.0
W04_QUALITY_SHARED,u011,d1,1,10,3359,PASS,False,073e5194b900bd8d3269a18e9c88913c60572640ae7cb35342a80201f63ed2a1,0874f7943078ddf8c1fd879d3d4f3dd13663a0855f78c12d8704c5f7689f1960,177140,0.015699890834619278,0.7450764914527956,0.9960305105296732,1.4026501108847256,0,1,1.0
W04_QUALITY_SHARED,u020,p22,0,9,9196,PASS,False,d538b0e4a4c38659a75e1bdc8cb87e2f7e884dff39399f9b6d397aaf609e6fbb,203af92716299e6299b0800276db8f8d7e452de2bf08dc4bdd3ae30c85594de3,409784,0.0048457061252306114,0.7845878857286039,0.9825529263165952,1.7137183591770893,0,1,1.0
W04_QUALITY_SHARED,u021,p22,1,9,9196,PASS,False,2f7d961e39e053a9e9a3c8e528f9d9e07140016a3960275e24b04728473a2f41,9007752a1de986eea0d850f210ab7260ca594e3c4f5bb13ee754c552ebdbbe42,417514,0.004937113570001595,0.7921611253271431,0.9809790517412524,1.888422646204026,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u000,a1,0,10,3484,PASS,False,71ead171e7890b1ea9c8a6983f1321892adb9ac4668c37e42a4df0e40b534c57,953534094ad15573b77326522a291c3d7d150ca677c7607ceea6d24889043f11,185984,0.01532213523919746,0.779697576873959,0.9976735355403996,1.4009139219653923,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u001,a1,1,10,3484,PASS,False,91202cc3cb8ec3308671de7f54773cd90b5d904118ed91744da40539902ecc59,14ec8051f412f0abce43eba6355c5ef869881e1541efb492fc2063a7c32e9bab,183708,0.015134628895617295,0.782237581852034,0.996541930911754,1.331100845005099,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u005,tonsil,0,4,4326,PASS,False,f8f78d97467868bf436d0a269de354800b01bf61449637eb9d0568de91394951,969201867f9d3a149e340fc4efb1a1d219e6f65f6c2d9cdce3aa5e21a74cf559,192652,0.010294387023040592,0.7634799203135767,0.9980147969646972,1.3369250515671127,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u006,tonsil,1,4,4326,PASS,False,9c0a8ec2e952ed6fc126b92c36e6a83ed3d964db95bfc8cd90559b05d0adaf57,816f97f0a577f0aee4d094d470ad741ce2baef4718699297f7fd3b34f23e3e8b,196512,0.010500646672091402,0.7620561104753628,0.9979005008047295,1.3844924459153618,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u010,d1,0,10,3359,PASS,False,98bbe6150ed082279e85e782bb36264841d42c8773354ab3393225e4c142d9fc,be20cd79a100d47ac137ef528d115e06befd263b5a2d5fc85dc2e1d778f711da,176292,0.015624732725622117,0.7823684700825801,0.996671823036211,1.3256986785286946,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u011,d1,1,10,3359,PASS,False,b4b63e1a909c6dfc8e14773f1c5d4afaaf9ad60a5c35e2ae02fa66d69a50de63,47af26a8f3823fe968e04a2a44a2e875d1cffa66ca165223642f778baf96f4ec,177112,0.015697409198944846,0.7452230196470231,0.9958227927623425,1.409222318746792,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u020,p22,0,9,9196,PASS,False,931388b0c9fc9d02210e420138dc98f647dec6b70663ddc645748a1682f487e9,ec972a607c1c85b0a5e2aaa72cb01f980840e827330882923f798647493021ca,409864,0.004846652127246353,0.7894891547731333,0.9824139663017992,1.7426038751245574,0,1,1.0
W05_QUALITY_CONFLICT_SHARED,u021,p22,1,9,9196,PASS,False,eea1e7c404700f92f5cdb30f68722032549e400e27def7cfd5f1d8639da8aa65,daace15a03e2d1445d9037638bda97c2bd79c86c64c1fad23af6d06255a1cca5,417592,0.004938035921966942,0.7903611474557819,0.9808833344828312,1.9342966314417762,0,1,1.0
