stage,candidate_id,unit_id,dataset,seed,status,success,runtime_seconds,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
T,T00_C00_REFERENCE,u000,a1,0,success,True,0.0,0.2744679880037527,0.41473704796155814,0.3446025179826554,0.6167581623808148,0.5499301490114088,0.46285877900957717,0.3832418376191852
T,T00_C00_REFERENCE,u001,a1,1,success,True,0.0,0.2672471914408437,0.4132690689870539,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076
T,T00_C00_REFERENCE,u002,a1,2,success,True,0.0,0.27526557454695755,0.4095421377720357,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.4775497711581491,0.3806414331118174
T,T00_C00_REFERENCE,u003,a1,3,success,True,0.0,0.2640021001278234,0.4042379285292455,0.33412001432853444,0.6338052585957815,0.574343599235682,0.440287300105444,0.3661947414042185
T,T00_C00_REFERENCE,u004,a1,4,success,True,0.0,0.2650444081657329,0.40158324045111066,0.33331382430842177,0.6429355677549841,0.5856323521166924,0.4281300037201783,0.35706443224501594
T,T00_C00_REFERENCE,u005,tonsil,0,success,True,0.0,0.1522327250963723,0.2733283147344344,0.21278051991540337,0.7200811826841025,0.5741961814432108,0.4230170022600032,0.2799188173158975
T,T00_C00_REFERENCE,u006,tonsil,1,success,True,0.0,0.14861514560681205,0.2701300690467604,0.20937260732678623,0.7227565211374801,0.5785466906620067,0.41858951690633706,0.2772434788625199
T,T00_C00_REFERENCE,u007,tonsil,2,success,True,0.0,0.1553315607124325,0.2730142678484609,0.2141729142804467,0.7206116377222722,0.5759348312096273,0.42169631325998735,0.2793883622777278
T,T00_C00_REFERENCE,u008,tonsil,3,success,True,0.0,0.15463883708914133,0.2737419397897429,0.21419038843944213,0.7216033580110243,0.5778897913902157,0.4191514111759904,0.27839664198897573
T,T00_C00_REFERENCE,u009,tonsil,4,success,True,0.0,0.15395375517720053,0.27339873762538486,0.21367624640129268,0.7214419151733205,0.5766686516004614,0.42082110014756136,0.27855808482667954
T,T00_C00_REFERENCE,u010,d1,0,success,True,0.0,0.2375418648455073,0.37711150488672485,0.3073266848661161,0.6296551311220213,0.568853916492524,0.44075212547790177,0.3703448688779787
T,T00_C00_REFERENCE,u011,d1,1,success,True,0.0,0.2520413210974017,0.37951951966063835,0.31578042037902,0.6273200814273739,0.563346914950765,0.44567541454874215,0.37267991857262606
T,T00_C00_REFERENCE,u012,d1,2,success,True,0.0,0.23102745409241648,0.3793379883028962,0.3051827211976563,0.6353430726859058,0.5700139695195519,0.43949800138599615,0.36465692731409416
T,T00_C00_REFERENCE,u013,d1,3,success,True,0.0,0.24633014423947824,0.3830384319499561,0.31468428809471716,0.6229493473835469,0.5569241627176805,0.4519851370451858,0.3770506526164531
T,T00_C00_REFERENCE,u014,d1,4,success,True,0.0,0.2398593533697784,0.3738572026227335,0.3068582779962559,0.6273200814273739,0.5634393585894928,0.445606379655975,0.37267991857262606
T,T00_C00_REFERENCE,u015,d1,5,success,True,0.0,0.24525913546086692,0.3796687724445877,0.3124639539527273,0.6261226200455036,0.5531740193290868,0.45540588995698145,0.37387737995449644
T,T00_C00_REFERENCE,u016,d1,6,success,True,0.0,0.23346023355809783,0.37304334598681405,0.3032517897724559,0.621931505208957,0.5630148921258498,0.44685694062676024,0.378068494791043
T,T00_C00_REFERENCE,u017,d1,7,success,True,0.0,0.23851991147994456,0.37601025785252834,0.3072650846662365,0.6353430726859058,0.5772678459003938,0.4326198582438442,0.36465692731409416
T,T00_C00_REFERENCE,u018,d1,8,success,True,0.0,0.23613413319484772,0.37434535725388773,0.3052397452243677,0.6259729373727697,0.5606046065343,0.4483041558615602,0.3740270626272303
T,T00_C00_REFERENCE,u019,d1,9,success,True,0.0,0.2518324143016672,0.38062809438702594,0.3162302543443466,0.6342354209076757,0.5709398620355636,0.4394423089802927,0.3657645790923243
T,T00_C00_REFERENCE,u020,p22,0,success,True,0.0,0.3938401158578473,0.5730169350395954,0.48342852544872134,0.8925343595382078,0.8386042893212958,0.16121313135547247,0.10746564046179219
T,T00_C00_REFERENCE,u021,p22,1,success,True,0.0,0.3427756247697922,0.5406958529399833,0.44173573885488776,0.8919406267179769,0.8290853459207845,0.17133130946039976,0.10805937328202309
T,T00_C00_REFERENCE,u022,p22,2,success,True,0.0,0.3758358297485455,0.5584648599374542,0.4671503448429999,0.8874986256184717,0.8326659706924474,0.16787454004982555,0.1125013743815283
T,T00_C00_REFERENCE,u023,p22,3,success,True,0.0,0.45530558730704257,0.6128566713657208,0.5340811293363816,0.8987355689939527,0.8471559824337667,0.15343777122992674,0.10126443100604732
T,T00_C00_REFERENCE,u024,p22,4,success,True,0.0,0.4602328518736244,0.6169391428177579,0.5385859973456911,0.9050467289719626,0.8539488944750628,0.14671777894846985,0.09495327102803741
T,T00_C00_REFERENCE,u025,p22,5,success,True,0.0,0.45307040343631905,0.6052176507727846,0.5291440271045518,0.8930291368884002,0.8410479111434799,0.1597478812599993,0.10697086311159976
T,T00_C00_REFERENCE,u026,p22,6,success,True,0.0,0.4095243408998225,0.5876923466461129,0.4986083437729677,0.8959208356239692,0.8429703038051719,0.158405472731678,0.10407916437603082
T,T00_C00_REFERENCE,u027,p22,7,success,True,0.0,0.45307708534032387,0.6142439836786321,0.533660534509478,0.9005827377680043,0.8490723250659653,0.15144152311606204,0.09941726223199565
T,T00_C00_REFERENCE,u028,p22,8,success,True,0.0,0.3985024417919459,0.5792151252292157,0.48885878351058076,0.8978889499725123,0.8440455412596529,0.15555053008309855,0.10211105002748766
T,T00_C00_REFERENCE,u029,p22,9,success,True,0.0,0.46057249829339975,0.6147209739345132,0.5376467361139565,0.894040681693238,0.8400194534034144,0.16025404305247892,0.10595931830676197
T,T01_R02_REFERENCE,u000,a1,0,success,True,0.0,0.2695655943232304,0.40458414251435887,0.33707486841879464,0.6181739381681595,0.5558393181817813,0.45581657899118877,0.38182606183184054
T,T01_R02_REFERENCE,u001,a1,1,success,True,0.0,0.2551969435603936,0.39941791087516715,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.45979267922357775,0.3755850910141577
T,T01_R02_REFERENCE,u002,a1,2,success,True,0.0,0.2661205185141167,0.40113860132408014,0.33362955991909843,0.6226235192141,0.5537826323832385,0.457746952830466,0.3773764807859
