step,fraction_of_training,state_sha256,state_file_saved
0,0.0,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,False
1,0.000625,de8f4e3588eda22a9cfe02ea5527208d309307624cd7acfc605635eef071ae8f,False
5,0.003125,380b969720f10ef4e1662236acd00fcf1108d7fd2006269e9ecb935efc5b5f89,False
10,0.00625,fa97e1fe713d2318324ea657c4ebcccef731e70a0688f5ee7ab697a8ba2a83b4,False
20,0.0125,eca82e8fef87c9ba2d13ca0dd9063318afddaab379c5d0153c74f52820880e53,False
40,0.025,0bcfc3ad95b040e6ca95a0185d4b3eb1910fbde9cf3455bd58327854b6e248db,False
80,0.05,d8d9e2719ede91180bc2c76b2c5156197f8166f06f8488ebf347592946a6b852,False
320,0.2,658b49c56390b19361de409d7ca401c678063f2c07896f701de85740b9f0623a,False
800,0.5,0d03d170f434204f1bc694e76a7cfaa611aee23bc64a13cf35c5b560891c8c2c,False
1600,1.0,0af7642c271bcfb6463b794f385fd6e173cd7953acfd747d56a99b85d6ba00e2,True
