L_corr1_raw,L_corr2_raw,L_mod2_recon_raw,L_rna_recon_raw,checkpoint_state_sha256,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_modality2_attention,cross_omics_rna_attention,embedding_finite,embedding_l2_mean,fraction_of_training,gradient_norm,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,modality2_feature_attention,modality2_spatial_attention,rna_feature_attention,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,rna_spatial_attention,step,total_loss,wall_seconds
0.08276732265949249,0.11229388415813446,1.0317693948745728,1.0023996829986572,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0.17956705592859032,0.014862284064292908,0.004070861865389888,0.2174679368104811,0.024420319125056267,0.006688860570609243,0.49897199869155884,0.5010280013084412,True,2.272970199584961,0.0,0.033782300752104304,0.0,0.0,0.0,0.49979984760284424,0.5002002120018005,0.49974876642227173,3.6029650072609285,3.6116111278533936,0.9892402775640009,0.500251293182373,0,3.6508937310427427,0.03544243425130844
0.0811300203204155,0.10899937152862549,1.030476450920105,1.0022553205490112,e142e43df8d6022ee540ba85295a7d05043df0176554d4d155695f98583b1c40,0.17956705592859032,0.014568278566002846,0.003992005834377761,0.2174679368104811,0.023703867569565773,0.006495343784532482,0.4993169605731964,0.500683069229126,True,2.2543113231658936,0.000625,0.033782300890973956,0.0,0.0,0.0,0.4998692274093628,0.5001307725906372,0.4997626543045044,3.6029650072609285,3.611090898513794,0.9895126503810897,0.5002374053001404,1,3.6493630446493626,0.14353499934077263
0.07572314888238907,0.09679152071475983,1.0266352891921997,1.0017796754837036,a227dd40a4ca748aa4c12cf49d52d87bfdd85d50e235d4c94464737455bd2f0a,0.17956705592859032,0.013597383163869381,0.003731420189826454,0.2174679368104811,0.021049052476882935,0.0057763216967849805,0.5006290078163147,0.4993710219860077,True,2.191117286682129,0.003125,0.02679416878704973,0.0,0.0,0.0,0.5001463294029236,0.4998536705970764,0.4998418390750885,3.6029650072609285,3.609377145767212,0.9904922581133886,0.5001581311225891,5,3.6440235814079642,0.36168525367975235
0.0708342045545578,0.08373712748289108,1.024239420890808,1.001359462738037,f6aaab811f0ac0e3fb4d659d81b82a6d0296945d2d35a5dfccb76e3f2e28d543,0.17956705592859032,0.012719489634037018,0.00349552455135032,0.2174679368104811,0.018210140988230705,0.005004445676623282,0.5020884275436401,0.49791160225868225,True,2.1343014240264893,0.00625,0.02087074513088914,0.0,0.0,0.0,0.5004847049713135,0.4995152950286865,0.49998238682746887,3.6029650072609285,3.607863187789917,0.9915000297720264,0.5000176429748535,10,3.6387928184121847,0.5949422661215067
0.0644431933760643,0.06460372358560562,1.0221742391586304,1.0007492303848267,da3b14884309a945faacaf8b3d00b7d12a6b52984a3acea2a943ebed4cb76dc2,0.17956705592859032,0.011571874842047691,0.003186715698166997,0.2174679368104811,0.01404923852533102,0.003868943413843777,0.5034372806549072,0.49656277894973755,True,2.0549817085266113,0.0125,0.014561559219025386,0.0,0.0,0.0,0.5010561943054199,0.4989438056945801,0.5003153681755066,3.6029650072609285,3.6056644916534424,0.9929443408879892,0.4996846616268158,20,3.631285605020821,0.9312715344130993
0.05716058611869812,0.04571402445435524,1.0195519924163818,0.999738335609436,ff9ff71b3ab996db4c6a4f852c4a38a3be35598a472144ba1a5eebd98416b2c3,0.17956705592859032,0.010264158248901367,0.002833658876557359,0.2174679368104811,0.009941334836184978,0.0027445359882676884,0.5035175681114197,0.4964824318885803,True,1.9668161869049072,0.025,0.009467321356294137,0.0,0.0,0.0,0.501488983631134,0.49851104617118835,0.5008041262626648,3.6029650072609285,3.602022409439087,0.994421805135175,0.4991959035396576,40,3.6222279025241733,1.5279156491160393
0.05171442776918411,0.03480006009340286,1.0152455568313599,0.9972212910652161,33a18a8f37c55c35dbba449dfc4a080d0cd2e747609ceae80c1c6f9d27c43746,0.17956705592859032,0.009286207146942616,0.0025724936923560903,0.2174679368104811,0.007567896973341703,0.002096482118076811,0.5009885430335999,0.49901145696640015,True,1.9993518590927124,0.05,0.008253302028333425,0.0,0.0,0.0,0.5006633996963501,0.4993366003036499,0.500934898853302,3.6029650072609285,3.5929534435272217,0.9953310241895671,0.4990651309490204,80,3.609807547647506,2.6112265530973673
0.042447514832019806,0.022133538499474525,1.0366593599319458,0.9875670075416565,15e409948b9be8756a91909cdd53d5601264cfc90f59134b7de7e0a88f4f0921,0.17956705592859032,0.007622175384312868,0.0021347014443448436,0.2174679368104811,0.004813334904611111,0.0013480446794934349,0.41866546869277954,0.5813345313072205,True,2.7550923824310303,0.2,0.0037164125618450853,0.0,0.0,0.0,0.4908985197544098,0.5091015100479126,0.48167288303375244,3.6029650072609285,3.558169364929199,0.9965172538761617,0.5183271169662476,320,3.570604875218123,8.936993768438697
0.08164295554161072,0.015305785462260246,1.1532868146896362,0.9704997539520264,765702d53c80f70cde419657a1dea99d428a682a2f1b552df2e1fecb516f0bc8,0.17956705592859032,0.014660385437309742,0.004171203511936894,0.2174679368104811,0.00332851754501462,0.0009470367701230319,0.15562239289283752,0.8443775773048401,True,4.211225509643555,0.5,0.002850160379024688,0.0,0.0,0.0,0.46420684456825256,0.535793125629425,0.22838427126407623,3.6029650072609285,3.4966766834259033,0.9948817597179401,0.771615743637085,800,3.5146655864082277,21.175468292087317
0.08394483476877213,0.008738088421523571,1.3967065811157227,0.9590314030647278,426d0bbc814d72ca4aa0c58a76dc2eed08da290e03907fbe2dc0de96c52686d9,0.17956705592859032,0.015073726885020733,0.004341097871526724,0.2174679368104811,0.001900254050269723,0.0005472560884185467,0.07917479425668716,0.920825183391571,True,4.705504417419434,1.0,0.0014925843085962201,0.0,0.0,0.0,0.3813055455684662,0.6186944842338562,0.06021479517221451,3.6029650072609285,3.4553565979003906,0.9951116460400548,0.9397851824760437,1600,3.472330578835681,41.093671292066574
