fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,e142e43df8d6022ee540ba85295a7d05043df0176554d4d155695f98583b1c40,1
0.003125,False,a227dd40a4ca748aa4c12cf49d52d87bfdd85d50e235d4c94464737455bd2f0a,5
0.00625,False,f6aaab811f0ac0e3fb4d659d81b82a6d0296945d2d35a5dfccb76e3f2e28d543,10
0.0125,False,da3b14884309a945faacaf8b3d00b7d12a6b52984a3acea2a943ebed4cb76dc2,20
0.025,False,ff9ff71b3ab996db4c6a4f852c4a38a3be35598a472144ba1a5eebd98416b2c3,40
0.05,False,33a18a8f37c55c35dbba449dfc4a080d0cd2e747609ceae80c1c6f9d27c43746,80
0.2,False,15e409948b9be8756a91909cdd53d5601264cfc90f59134b7de7e0a88f4f0921,320
0.5,False,765702d53c80f70cde419657a1dea99d428a682a2f1b552df2e1fecb516f0bc8,800
1.0,False,426d0bbc814d72ca4aa0c58a76dc2eed08da290e03907fbe2dc0de96c52686d9,1600
