corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,step
0.00014736182489862555,2.6461329053310627e-05,0.3333333481425547,0.00012167922007377452,2.646132894215222e-05,0.33333334674229237,True,True,True,True,0.0,0.000212345247514743,0.0,0.0,7.344319354836221e-06,2.6461325637624063e-05,0.3333333051151529,0
0.00013820374362003124,2.4816839360158707e-05,0.3303317459333561,0.00011760883182209206,2.5576150007041213e-05,0.3404387707663879,True,True,True,True,0.000625,0.00020574944307434425,0.0,0.0,6.8649097630727526e-06,2.473402965435504e-05,0.3292294833002559,1
0.0001082268161133609,1.9433970742001135e-05,0.3256405762240969,0.00010240424738879764,2.226964040027192e-05,0.3731557811073067,True,True,True,True,0.003125,0.00018109510183595415,0.0,0.0,4.989111450084439e-06,1.7975593971979064e-05,0.30120364266859634,5
8.318545762522371e-05,1.4937367721833926e-05,0.3169378998912855,8.587426824357762e-05,1.867489994004064e-05,0.396240065712843,True,True,True,True,0.00625,0.00016746849295153893,0.0,0.0,3.75190958682449e-06,1.3517998951735445e-05,0.2868220343958715,10
5.9590109806226554e-05,1.0700420580365522e-05,0.3085244994919293,6.073264785976145e-05,1.3207403627099804e-05,0.38080817132700634,True,True,True,True,0.0125,0.0001608688382603357,0.0,0.0,2.9905201370706532e-06,1.077473940737472e-05,0.31066732918106443,20
4.9392096461274905e-05,8.869193347692079e-06,0.3372783757944803,3.4093910138121695e-05,7.41433229553927e-06,0.28195280632716957,True,True,True,True,0.025,0.00015804033015109483,0.0,0.0,2.779053812027571e-06,1.0012833638030427e-05,0.3807688178783501,40
6.232218731406338e-05,1.1191011695016502e-05,0.3990320127643287,1.9992188191695488e-05,4.347659918374881e-06,0.15502222098619367,True,True,True,True,0.05,0.00016506231886230242,0.0,0.0,3.471231768183406e-06,1.250672659285729e-05,0.4459457662494777,80
3.5845170251788877e-05,6.436611691372815e-06,0.41238517627315463,1.1253177662611611e-05,2.447205328849939e-06,0.1567892004837009,True,True,True,True,0.2,0.0004198388021236448,0.0,0.0,1.8663614046751719e-06,6.7244348319469974e-06,0.4308256232431445,320
6.016271287801776e-05,1.0803241228182735e-05,0.4867769199175029,1.1214326567296267e-05,2.4387564613088843e-06,0.10988649920802893,True,True,True,True,0.5,0.0007700654004143185,0.0,0.0,2.484458023861932e-06,8.951415321983178e-06,0.4033365808744681,800
4.024419590440395e-05,7.2265317767672495e-06,0.4799103485447564,9.033869731330193e-06,1.9645770118870323e-06,0.13046657340507642,True,True,True,True,1.0,0.0015147041009656221,0.0,0.0,1.6283750165661756e-06,5.8669782033858656e-06,0.3896230780501672,1600
