fraction_of_training,state_file_saved,state_sha256,step
0.0,False,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,0
0.000625,False,8032b11a4e899ba184c6b98b07e67412352bd8d8ba7e8d66721fda9ef12e024b,1
0.003125,False,baac1671a75bca7a602b434bf57afd100d838df6a182f174377290710e386355,5
0.00625,False,d2874711af0aee794253ccbaa6dc76324b21fbcbab661f58bb9032a8e04e4244,10
0.0125,False,f3f5df505531a10b7284e4aa3ec1a78336b914a4777b9c98cd2b22d02b907042,20
0.025,False,d8e5f5f7be01fa50c29aba41088eb568c82b70de3de02dae238703cde32b719d,40
0.05,False,a65048dfbc73ba9afcf6919f5a03e0091b453231a6c97450d30cee767e1a55d5,80
0.2,False,3e73bcd5f811d723bf06476575042febe47da4070cb97ca4c94c2711a8a8bae3,320
0.5,False,daa1aeab029ac91aef29c29d9eba270d15e4bd6260a959d69c61b548546195d8,800
1.0,False,79b7b4a155bf7bb36c28e01b5343eb0615bd0b5349f67e7721ca0f9b34249c6f,1600
