candidate_id,dataset,successful_cells,expected_cells,complete,mean_ari,mean_delta_ari,median_delta_ari,sd_delta_ari,wins_delta_ari,mean_nmi,mean_delta_nmi,median_delta_nmi,sd_delta_nmi,wins_delta_nmi,mean_q,mean_delta_q,median_delta_q,sd_delta_q,wins_delta_q,mean_neighbor_agreement,mean_delta_neighbor_agreement,median_delta_neighbor_agreement,sd_delta_neighbor_agreement,wins_delta_neighbor_agreement,mean_moran_i,mean_delta_moran_i,median_delta_moran_i,sd_delta_moran_i,wins_delta_moran_i,mean_geary_c,mean_delta_geary_c,median_delta_geary_c,sd_delta_geary_c,wins_delta_geary_c,mean_boundary_disagreement,mean_delta_boundary_disagreement,median_delta_boundary_disagreement,sd_delta_boundary_disagreement,wins_delta_boundary_disagreement
C00_G04_H05_CONFIRMED,a1,5,5,True,0.26920545245702204,-0.0023900696755968067,-0.0034017750497876142,0.0042873482463018095,1.0,0.4086738847402008,0.018930872433738068,0.018470536720814834,0.005280968495979666,5.0,0.3389396685986114,0.008270401379070636,0.007530729733065011,0.00476063439484691,5.0,0.6280959260329384,0.045050563420976596,0.053163825483964255,0.035594944508316136,4.0,0.5606016347119974,0.06175653951032689,0.07154981729392129,0.037085951978259035,5.0,0.45263935834793134,-0.0530584561095507,-0.06317765509373119,0.035206337554455604,4.0,0.3719040739670616,-0.045050563420976596,-0.053163825483964255,0.035594944508316136,4.0
C00_G04_H05_CONFIRMED,tonsil,5,5,True,0.15295440473639177,0.0673771895926567,0.08445632495575874,0.040608536489006995,4.0,0.2727226658089567,0.09907635172555532,0.11356162752890842,0.04161128473706452,5.0,0.2128385352726742,0.08322677065910601,0.09900897624233357,0.040850815948873014,5.0,0.7212989229456399,-0.01363038815470834,-0.03272676952881748,0.03487911491099447,1.0,0.5766472292611043,-0.003352734600543683,-0.00653232384673752,0.020489459045864508,1.0,0.4206550687499758,0.002376383731456333,0.006037160010899267,0.020494129725860875,1.0,0.2787010770543601,0.01363038815470834,0.03272676952881748,0.03487911491099447,1.0
C00_G04_H05_CONFIRMED,d1,10,10,True,0.24120059656400064,0.031699599480212594,0.03045381692088492,0.012356746339133268,10.0,0.3776560475347793,0.028964883008123533,0.028212022629582112,0.009179440715577377,10.0,0.30942832204938997,0.030332241244168064,0.02738928316498282,0.010341883932416083,10.0,0.6286193270267033,0.0033828284037839664,0.0010178421745898336,0.022982581709614133,5.0,0.5647579548195208,-0.007309446997984803,-0.006996329252788425,0.02899516981434126,3.0,0.44461462117832395,0.011528641820980217,0.011288403421210652,0.028772846446310542,3.0,0.3713806729732966,-0.0033828284037839664,-0.0010178421745898336,0.022982581709614133,5.0
C00_G04_H05_CONFIRMED,p22,10,10,True,0.42027367793186626,0.01636149053768443,0.019901252815986037,0.036473021073639006,6.0,0.590306354236177,0.046474914568794747,0.04978696106900998,0.02694303786962882,9.0,0.5052900160840217,0.03141820255323959,0.03484410694249804,0.0315104582920224,8.0,0.8957218251786696,0.0847773501924134,0.08836723474436503,0.013798436936119053,10.0,0.8418616017521042,0.07493612981086736,0.07375772021841276,0.014092961367495256,10.0,0.15859739812874113,-0.07911778306312107,-0.07903351567001626,0.013889546082738893,10.0,0.10427817482133042,-0.0847773501924134,-0.08836723474436503,0.013798436936119053,10.0
C01_G00_H05,a1,5,5,True,0.2596263916426602,-0.011969130489958624,-0.013385663127713276,0.0038326722853160504,0.0,0.3910033206030802,0.0012603082966175072,0.0011055476474864379,0.0038391720602898595,3.0,0.3253148561228702,-0.0053544110966705525,-0.006555056936958903,0.0036074342389502004,1.0,0.6514071077723202,0.06836174516035834,0.07671193296735057,0.035889693806323585,5.0,0.5886088951921511,0.08976379999048065,0.10202799790952788,0.034268350294629595,5.0,0.42347290621258205,-0.08222490824489986,-0.09479698433125155,0.03241518916587528,5.0,0.34859289222767975,-0.06836174516035834,-0.07671193296735057,0.035889693806323585,5.0
C01_G00_H05,tonsil,5,5,True,0.14890166067391564,0.06332444553018061,0.08143980617924602,0.04333861194231464,4.0,0.26653881542891456,0.09289250134551316,0.11231891555096418,0.044394411166903944,5.0,0.2077202380514151,0.07810847343784691,0.0968793608651051,0.04384747624575112,5.0,0.7241956687192971,-0.010733642381051211,-0.029820798450148733,0.03206072478515271,2.0,0.5868131713915208,0.006813207529872712,0.002158850733827933,0.02109927673951941,4.0,0.41068660775185284,-0.007592077266666675,-0.0037488588832700342,0.021506872296446277,4.0,0.2758043312807029,0.010733642381051211,0.029820798450148733,0.03206072478515271,2.0
C01_G00_H05,d1,10,10,True,0.2576308652304731,0.04812986814668504,0.04852748385435146,0.018983900725191384,10.0,0.38370616143412606,0.035014996907470244,0.03721832889331084,0.010619543703445524,10.0,0.32066851333229957,0.04157243252707766,0.04402918400625763,0.01447631370823338,10.0,0.6546012453598372,0.029364746736917736,0.024772482337444612,0.01773191283984075,10.0,0.5914574632461969,0.019390061428691173,0.018840778894268106,0.026306077967465077,8.0,0.41796002907914936,-0.015125950278194421,-0.01412962250006658,0.02619138020000238,6.0,0.34539875464016284,-0.029364746736917736,-0.024772482337444612,0.01773191283984075,10.0
C01_G00_H05,p22,10,10,True,0.44614501980683235,0.04223283241265044,0.04562814762917533,0.02453455909824696,10.0,0.6142239275122872,0.07039248784490501,0.07490262752963095,0.016503421611897228,10.0,0.5301844736595599,0.05631266012877771,0.060663136886441205,0.02023995597390317,10.0,0.9158031885651458,0.10485871357888951,0.10598130841121495,0.013466517305192537,10.0,0.8767388308606907,0.10981335891945401,0.10896262861020817,0.013414222256695231,10.0,0.12527633118097312,-0.11243885001088907,-0.11170154748354613,0.01312744779958429,10.0,0.0841968114348543,-0.10485871357888951,-0.10598130841121495,0.013466517305192537,10.0
C02_DUAL_ARITHMETIC_MEAN,a1,5,5,True,0.2666803593243553,-0.00491516280826354,-0.00470330625223625,0.004487283680602532,1.0,0.40381312838613664,0.01407011607967391,0.012308003259352385,0.004854311633671534,5.0,0.3352467438552459,0.0045774766357052025,0.004292453464148527,0.004485487610299671,4.0,0.6447096214966772,0.061664258884715405,0.06856399884426467,0.0340980022259379,5.0,0.5815676728174284,0.08272257761575792,0.09315298529505667,0.03078535771356001,5.0,0.4310314148828662,-0.07466639957461571,-0.08437950922086279,0.02914363396201882,5.0,0.35529037850332273,-0.061664258884715405,-0.06856399884426467,0.0340980022259379,5.0
C02_DUAL_ARITHMETIC_MEAN,tonsil,5,5,True,0.14912224622743772,0.06354503108370269,0.08294244005124586,0.04165124974633142,4.0,0.27075082112427395,0.09710450704087256,0.11381223907826732,0.04242326198490094,5.0,0.20993653367585585,0.08032476906228762,0.09837733956475658,0.041745133446512796,5.0,0.7225397264697063,-0.012389584630641859,-0.032357757328351666,0.03461538481530703,1.0,0.5819834617157362,0.00198349785408809,-0.00203877920271045,0.020955885748099996,2.0,0.4155752701434694,-0.0027034148750501364,0.002106357079964205,0.02101382837091555,2.0,0.27746027353029357,0.012389584630641859,0.032357757328351666,0.03461538481530703,1.0
