dataset,seed,candidate_id,role,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,cluster_file_sha256
d1,6,C02_DUAL_ARITHMETIC_MEAN,candidate,0.23915704173738517,0.3727635257665111,0.30596028375194817,0.6401029816788408,0.581848878281418,0.4281313269780086,0.35989701832115917,b5ce9db027531d3e621c3358125e316044cc659ace762f75e8b5f2b38ca963a6
d1,6,C03_DUAL_ELEMENTWISE_MAX,candidate,0.2365453566838929,0.37394719211144223,0.30524627439766755,0.6371093282241648,0.5793389936316129,0.43077255335072523,0.3628906717758352,cfdeb619c3214fc283d37b2607b3685f746e5d28097934052430ee2ebde3944e
d1,6,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.23200477962026006,0.3681252777600805,0.30006502869017027,0.6615974134834152,0.6126119247184667,0.3973160688925506,0.33840258651658484,5bef0c9a0dc9d94b72c81fe45dfdc2a49b328f81d0eee9f84e3d5d5d01ed4f15
d1,6,C07_DUAL_LOCAL_RELIABILITY,candidate,0.24300579947113257,0.3747029146458028,0.3088543570584677,0.6415998084061789,0.5816081573791683,0.4283895760468689,0.3584001915938211,9675c70f7156f9644036092986221fd3790b017a973aeed537ee81ec0534b0b4
d1,6,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.2388238720018076,0.3730887662618513,0.3059563191318294,0.6392647587115315,0.5796995270466591,0.4302485788070016,0.36073524128846846,bdd26f1481df840157b75e595ec45a94114e51275c05013eb7f2522052ae5183
d1,6,C09_DUAL_SPARSE_SNF10,candidate,0.22282379788425904,0.3348642425091485,0.27884402019670373,0.776912944557538,0.7141464452312338,0.29470461282970606,0.223087055442462,ea0199ce0ff6ec453d22b53945489ed7ce998fb9f084c109e9660038ea0f8e8f
d1,6,C10_DUAL_MEAN_SPATIAL05,candidate,0.22227326751284088,0.36558626168748704,0.29392976460016396,0.6871332774518022,0.636644799775648,0.373481052780792,0.3128667225481978,6350119f9cdeb88f4628caa05839ab56db0fa83ceb7576c3bfaff81bf0cf8799
d1,6,C11_DUAL_MEAN_SPATIAL10,candidate,0.21759155089651458,0.36424375904916273,0.29091765497283867,0.7018321159142618,0.6507861218554852,0.3597188358616301,0.29816788408573824,14218e37c5743b4c4117a41c6f45813340aa2a0bf1c624c687e4c929e7ada1df
d1,6,REFERENCE_G00_H00,reference,0.21711455707186447,0.3458021661740119,0.2814583616229382,0.650850197581128,0.5966560154412746,0.4080244897166535,0.34914980241887195,7304ea1fd9882674e581b77a64a2133847ce3bc7912f8548deaf9675a6448a0b
d1,7,C00_G04_H05_CONFIRMED,candidate,0.23851991147994456,0.37601025785252845,0.3072650846662365,0.6353430726859058,0.5772678459003938,0.4326198582438443,0.36465692731409416,2d3f885815b432bccdebd38ce692964ad076c6538b385fbfc2c116d575d8b1e5
d1,7,C01_G00_H05,candidate,0.2589153969336651,0.3840655454010764,0.32149047116737073,0.6506406418393007,0.5881802992018814,0.421245918507511,0.3493593581606993,809fe26ccfdcc72acc10ee9de5c4c621effbf46a199b6224d0d6ba2eff05a33a
d1,7,C02_DUAL_ARITHMETIC_MEAN,candidate,0.23945318423000683,0.3766609111318729,0.3080570476809399,0.6516584840138906,0.5959282307886672,0.41360205425620256,0.3483415159861094,324b2a10ed5351c5ff89777a7fe49194a16ac69203531d64b46af7b37ff7e8dc
d1,7,C03_DUAL_ELEMENTWISE_MAX,candidate,0.23816007031396003,0.37685780936412866,0.30750893983904437,0.6458807328463657,0.5898116937245517,0.4197654243717478,0.3541192671536343,f230c9c58451f6fc40db278009696e955e4e9340d31717e33982b9217c1dc237
d1,7,C04_DUAL_ELEMENTWISE_MIN,candidate,0.2667683359416585,0.38620625514156764,0.32648729554161304,0.6665369416836308,0.6042096154563988,0.40603550749772976,0.33346305831636924,d4996b1ac6c0afc804c889fb60709dfe2ef2217bfed020903859aea5ae6c1364
d1,7,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2658768579523087,0.38616903453989004,0.3260229462460994,0.6667165608909112,0.6067848833101621,0.40319680265728186,0.33328343910908875,33129f5ef5b0258a107badebe19a6202151371bc2e4a8a801cbdaf774f4306a8
d1,7,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.23843975717823065,0.3798516070901183,0.3091456821341745,0.6547120105376601,0.5966228796851099,0.41271427238046315,0.34528798946233985,d11a0021f17814d04726cdb7dc7a07318a9fc6ec77d075505b29ba00da54b987
d1,7,C07_DUAL_LOCAL_RELIABILITY,candidate,0.2383165058791153,0.37752188379909524,0.30791919483910524,0.6533948030176027,0.598235397184302,0.41121050015130745,0.34660519698239733,498cb5a41841837e5945b5f5be4053ac18cb4b67a2948d7c97c9783a8ae5412a
d1,7,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.23846096359741414,0.3761078048512306,0.30728438422432236,0.6524068973775595,0.5966998193669556,0.41282365088010764,0.3475931026224405,e9cef54d127ecfca3fe42e63314ee623ff67cbe5432c49584d9c8536a55a531c
d1,7,C09_DUAL_SPARSE_SNF10,candidate,0.21542413826001308,0.33364449947458064,0.27453431886729684,0.7867021913543288,0.711226993189361,0.2935789866927743,0.21329780864567116,e9f8c7d07f756e49d013c639e131c94323ed8abe6e6a1a9226c947a2f91fbfd2
d1,7,C10_DUAL_MEAN_SPATIAL05,candidate,0.23948422338645747,0.38241265716555123,0.3109484402760043,0.6655789725781344,0.6076793359002718,0.4019783367027273,0.33442102742186564,f6329507ceff81898f826a23e5b4f16fdc68f468c4a5c8f0c0727ffc5af8c8d1
d1,7,C11_DUAL_MEAN_SPATIAL10,candidate,0.23758236074076403,0.38004595419341825,0.3088141574670911,0.6767452999640762,0.6209008254953987,0.38919161140664,0.3232547000359238,1421bf91196a987e0d801358d414aaf8f325071739828f8cae01c3466527dc95
d1,7,REFERENCE_G00_H00,reference,0.21088288527150134,0.3548787794366874,0.28288083235409434,0.5906178900730451,0.5386290484551803,0.46686604503877654,0.4093821099269549,0154e75631e063779ea46bb1ead7c0f80d5c96b1966dc68b1e295410682e20dc
d1,8,C00_G04_H05_CONFIRMED,candidate,0.23613413319484772,0.37434535725388773,0.3052397452243677,0.6259729373727697,0.5606046065343,0.4483041558615602,0.3740270626272303,c901e8918262bd67b4a0f78d1a83afdb321c4d27876df05b155d3e43b7cdd2e0
d1,8,C01_G00_H05,candidate,0.27536686400752935,0.38734927671153596,0.3313580703595327,0.6563285834031852,0.5891072296542113,0.42047885900478443,0.34367141659681477,935d6b785e3728e024880c87356f63254b536795bcbb6d44af134b1e98387249
d1,8,C02_DUAL_ARITHMETIC_MEAN,candidate,0.24247042920223932,0.37814854939673603,0.31030948929948765,0.6406418393006825,0.5830990613632875,0.4264306189693007,0.3593581606993175,d5c231c0c1dc756d9e7db16202a5cd3d73c6d3f3cbea09c448468c150ebd9720
d1,8,C03_DUAL_ELEMENTWISE_MAX,candidate,0.24196494807178637,0.3799473111317976,0.310956129601792,0.6368099628786972,0.5799702745925548,0.4295631249807892,0.3631900371213028,5822c5ec26e1c12539bbff1621244b7978b4b3b94df683da7e851d64fd21e3b8
d1,8,C04_DUAL_ELEMENTWISE_MIN,candidate,0.2739847906742513,0.3892214193647127,0.331603105019482,0.6705185007783498,0.6085413281752464,0.4006972928668328,0.32948149922165015,d8bcec4571d6f18d16353e90e81c7075aaa500503c72bf9ee7ce6f60c44e0b38
d1,8,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2721832862606536,0.3893670629539254,0.3307751746072895,0.6706083103819902,0.6107082202411103,0.39851414690123804,0.3293916896180098,989a519e782ee2483094c672c223b56b11ac0b3df964d8a7db1c70e081b31868
d1,8,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.24465342303231122,0.37724218513740265,0.31094780408485695,0.6436055562208118,0.5850403968377081,0.42428629317228983,0.35639444377918816,177bd8bb0ed8de03a1392d4e0997d84a6ead782812bcaad78c98ef5b6b80c5b1
d1,8,C07_DUAL_LOCAL_RELIABILITY,candidate,0.24331803526218387,0.37794635108477,0.3106321931734769,0.6413004430607113,0.5830308771521544,0.4265862531098678,0.3586995569392887,99018c14421b08092cb7d5729a14c3805a9736d05de92e70ab1e4984d0a785ec
d1,8,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.24215472925242773,0.3777790269827528,0.30996687811759027,0.6406119027661358,0.5826894827503813,0.42680775089691336,0.3593880972338642,0def0b05ba3e315c52a81bf22de98a7949173062f9124a4feea457e3a1e3b47b
d1,8,C09_DUAL_SPARSE_SNF10,candidate,0.21471487732493727,0.3245038156338029,0.26960934647937007,0.8105316728535504,0.7406207656013957,0.2658389410306162,0.18946832714644957,3e9efae06dbf71a8020ff4a8cf14f5ac824d620b9d9e5df042d51d2b1d797988
d1,8,C10_DUAL_MEAN_SPATIAL05,candidate,0.2552259210378842,0.38497971475282194,0.3201028178953531,0.6545623278649264,0.592474610743591,0.41723844590299536,0.3454376721350736,91b50996eb18cd1b4bb714096b6b13adc2cfa9b20c8c542243ed9a7cdf63746d
d1,8,C11_DUAL_MEAN_SPATIAL10,candidate,0.25417772318495174,0.3845565663036367,0.31936714474429423,0.6720752005747814,0.6100110006953408,0.39985906150342754,0.32792479942521857,4906ad58587b817c6d7675600fd437633abeac121c736d65e8a741615f96dd36
d1,8,REFERENCE_G00_H00,reference,0.2028635255615211,0.34839061809849525,0.2756270718300082,0.6512393725302359,0.614853019231872,0.3902936701481779,0.3487606274697641,1ecf4f36bac48d738ce16428176a40933852b4a314816a5da60540c45d35a284
