dataset,seed,candidate_id,delta_ari_vs_c00,delta_nmi_vs_c00,delta_q_vs_c00
a1,4,C09_DUAL_SPARSE_SNF10,-0.03654726836460934,-0.039436616809987,-0.037991942587298155
a1,4,C10_DUAL_MEAN_SPATIAL05,-0.00584266353706725,0.0029015414443351317,-0.001470561046366059
a1,4,C11_DUAL_MEAN_SPATIAL10,-0.011584946291996467,-0.0019956090451281883,-0.006790277668562328
d1,0,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,0,C01_G00_H05,0.03143779999537785,0.006295133727218849,0.018866466861298337
d1,0,C02_DUAL_ARITHMETIC_MEAN,0.004742781842704186,-0.0006866068462812458,0.0020280874982114283
d1,0,C03_DUAL_ELEMENTWISE_MAX,0.0011618249390433488,-0.0007585475366151395,0.00020163870121409078
d1,0,C06_DUAL_ROW_STOCHASTIC_MEAN,0.021801003149024195,0.003419386470141117,0.012610194809582642
d1,0,C07_DUAL_LOCAL_RELIABILITY,0.005370641347470284,0.000380246673913176,0.00287544401069173
d1,0,C08_SIX_VIEW_SUPPORT_MEDIAN,0.004044181424276483,-0.0020324525472874555,0.001005864438494486
d1,0,C09_DUAL_SPARSE_SNF10,-0.020368091114509324,-0.04424175673576275,-0.032304923925136064
d1,0,C10_DUAL_MEAN_SPATIAL05,0.018481549097344424,0.0010029488853656732,0.009742248991355063
d1,0,C11_DUAL_MEAN_SPATIAL10,0.01597087372392461,0.0007973552478588997,0.00838411448589177
d1,1,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,1,C01_G00_H05,0.009184949338087833,0.0067378619924461924,0.00796140566526704
d1,1,C02_DUAL_ARITHMETIC_MEAN,0.0035183911630727316,0.008489086824882142,0.006003738993977437
d1,1,C03_DUAL_ELEMENTWISE_MAX,-0.0003536634276571915,0.0032072387124702506,0.0014267876424065573
d1,1,C04_DUAL_ELEMENTWISE_MIN,0.008448662450677769,0.0036436720091319597,0.00604616722990492
d1,1,C05_DUAL_HARMONIC_INTERSECTION,0.008318624593948276,0.0038227232287511015,0.006070673911349744
d1,1,C06_DUAL_ROW_STOCHASTIC_MEAN,0.007726282244246763,0.008252857485687992,0.007989569864967405
d1,1,C07_DUAL_LOCAL_RELIABILITY,0.0033288064181895005,0.008823552533528789,0.006076179475859145
d1,1,C08_SIX_VIEW_SUPPORT_MEDIAN,0.004238239928772092,0.00892671135206674,0.006582475640419472
d1,1,C09_DUAL_SPARSE_SNF10,-0.0334427898822309,-0.03651080064086604,-0.034976795261548455
d1,1,C10_DUAL_MEAN_SPATIAL05,0.006075858064823747,0.007939364091151369,0.0070076110779875855
d1,1,C11_DUAL_MEAN_SPATIAL10,-0.0051253365920352345,-0.0027869580611163958,-0.003956147326575787
d1,2,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,2,C01_G00_H05,0.003357206982668587,0.00200362193903314,0.0026804144608508773
d1,2,C02_DUAL_ARITHMETIC_MEAN,-0.0006985007190004888,-0.0008720776774326922,-0.0007852891982165766
d1,2,C03_DUAL_ELEMENTWISE_MAX,-0.0018418441288335918,4.888349074116949e-05,-0.0008964803190462112
d1,2,C04_DUAL_ELEMENTWISE_MIN,0.030896896301643106,0.009462121105286714,0.02017950870346491
d1,2,C05_DUAL_HARMONIC_INTERSECTION,-0.005294191263195663,-0.005390160725702031,-0.005342175994448861
d1,2,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0018821534462806766,-0.0009744391835637134,-0.001428296314922195
d1,2,C07_DUAL_LOCAL_RELIABILITY,4.552467271110028e-05,-0.0010736487527495675,-0.0005140620400192475
d1,2,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.00040105616058797033,-0.000690940468306922,-0.00054599831444746
d1,2,C09_DUAL_SPARSE_SNF10,-0.011741378715281359,-0.039093936793291095,-0.025417657754286227
d1,2,C10_DUAL_MEAN_SPATIAL05,-0.003273972575112527,-0.00018298984604342428,-0.001728481210577948
d1,2,C11_DUAL_MEAN_SPATIAL10,-0.0051040455050424816,-0.0011309736085916566,-0.003117509556817055
d1,3,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,3,C01_G00_H05,0.02268200477725163,0.007789269530834364,0.015235637154043025
d1,3,C02_DUAL_ARITHMETIC_MEAN,0.0048628068720048545,0.002279250945888489,0.003571028908946672
d1,3,C03_DUAL_ELEMENTWISE_MAX,0.004387347790367091,0.004576098581337562,0.004481723185852382
d1,3,C04_DUAL_ELEMENTWISE_MIN,0.0506811520975769,0.01966217917544677,0.03517166563651186
d1,3,C05_DUAL_HARMONIC_INTERSECTION,0.04980182369230346,0.020101259115005765,0.03495154140365464
d1,3,C06_DUAL_ROW_STOCHASTIC_MEAN,0.01699921236521207,0.008415874094878095,0.012707543230045082
d1,3,C07_DUAL_LOCAL_RELIABILITY,0.010217813504286466,0.006039622707143255,0.008128718105714916
d1,3,C08_SIX_VIEW_SUPPORT_MEDIAN,0.005165867901598564,0.001697303479663348,0.003431585690630956
d1,3,C09_DUAL_SPARSE_SNF10,-0.015796562010097076,-0.02478653271935488,-0.020291547364725937
d1,3,C10_DUAL_MEAN_SPATIAL05,0.015034426466872364,0.00785880494515534,0.011446615706013907
d1,3,C11_DUAL_MEAN_SPATIAL10,0.015963780635860014,0.006944710270635146,0.01145424545324758
d1,4,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,4,C01_G00_H05,0.007944527037866772,0.010174111615517734,0.009059319326692239
d1,4,C02_DUAL_ARITHMETIC_MEAN,0.0024051615990792197,0.0026052979552086963,0.002505229777143958
d1,4,C03_DUAL_ELEMENTWISE_MAX,0.002578385670218286,0.0033912264408838544,0.0029848060555510703
d1,4,C04_DUAL_ELEMENTWISE_MIN,0.03526190025048967,0.011832384152855646,0.023547142201672644
d1,4,C05_DUAL_HARMONIC_INTERSECTION,0.040644603445520205,0.006942777342185458,0.023793690393852818
d1,4,C06_DUAL_ROW_STOCHASTIC_MEAN,0.0011040664419682544,0.004180249461841867,0.002642157951905033
d1,4,C07_DUAL_LOCAL_RELIABILITY,0.0022144993196771823,0.002687270077275594,0.0024508846984763744
d1,4,C08_SIX_VIEW_SUPPORT_MEDIAN,0.0025007591310658994,0.0030506339666482862,0.002775696548857065
d1,4,C09_DUAL_SPARSE_SNF10,-0.04938593072822353,-0.053727534360784535,-0.05155673254450405
d1,4,C10_DUAL_MEAN_SPATIAL05,-0.008051639873368682,-0.00791208015902517,-0.00798186001619694
d1,4,C11_DUAL_MEAN_SPATIAL10,-0.009787481255029123,-0.008623604316815636,-0.009205542785922394
d1,5,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,5,C01_G00_H05,0.016061093548000782,0.0078668358216471,0.011963964684823969
d1,5,C02_DUAL_ARITHMETIC_MEAN,0.01304430435868209,0.00910100374553241,0.011072654052107223
d1,5,C03_DUAL_ELEMENTWISE_MAX,-0.0075069101548599915,0.003187138934783451,-0.00215988561003827
d1,5,C06_DUAL_ROW_STOCHASTIC_MEAN,0.011257879173116492,0.007346273416607096,0.009302076294861794
d1,5,C07_DUAL_LOCAL_RELIABILITY,0.013278610354340414,0.008352248840029997,0.010815429597185178
d1,5,C08_SIX_VIEW_SUPPORT_MEDIAN,0.013641109204454993,0.008874627129847823,0.011257868167151408
d1,5,C09_DUAL_SPARSE_SNF10,-0.001326846591814479,-0.026650269787394487,-0.013988558189604483
d1,5,C10_DUAL_MEAN_SPATIAL05,0.01100143657545638,0.007234415539292494,0.009117926057374437
d1,5,C11_DUAL_MEAN_SPATIAL10,0.005779707434734049,0.005587194426408759,0.005683450930571432
d1,6,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,6,C01_G00_H05,0.0050230542700578085,-0.006421093547070378,-0.0006990196385062708
d1,6,C02_DUAL_ARITHMETIC_MEAN,0.005696808179287333,-0.00027982022030287323,0.0027084939794922436
d1,6,C03_DUAL_ELEMENTWISE_MAX,0.003085123125795064,0.0009038461246282381,0.0019944846252116233
d1,6,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.001455453937837775,-0.004918068226733463,-0.0031867610822856607
d1,6,C07_DUAL_LOCAL_RELIABILITY,0.009545565913034737,0.0016595686589888081,0.0056025672860117726
d1,6,C08_SIX_VIEW_SUPPORT_MEDIAN,0.005363638443709767,4.542027503728896e-05,0.0027045293593734865
d1,6,C09_DUAL_SPARSE_SNF10,-0.01063643567383879,-0.03817910347766551,-0.024407769575752192
d1,6,C10_DUAL_MEAN_SPATIAL05,-0.011186966045256957,-0.007457084299326955,-0.00932202517229197
d1,6,C11_DUAL_MEAN_SPATIAL10,-0.015868682661583255,-0.00879958693765126,-0.012334134799617258
d1,7,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,7,C01_G00_H05,0.020395485453720552,0.008055287548547951,0.014225386501134252
d1,7,C02_DUAL_ARITHMETIC_MEAN,0.0009332727500622751,0.0006506532793444375,0.0007919630147034118
d1,7,C03_DUAL_ELEMENTWISE_MAX,-0.0003598411659845313,0.0008475515116002086,0.00024385517280789415
d1,7,C04_DUAL_ELEMENTWISE_MIN,0.02824842446171394,0.010195997289039194,0.019222210875376566
d1,7,C05_DUAL_HARMONIC_INTERSECTION,0.02735694647236414,0.010158776687361593,0.018757861579862922
d1,7,C06_DUAL_ROW_STOCHASTIC_MEAN,-8.015430171390281e-05,0.0038413492375898306,0.0018805974679380055
d1,7,C07_DUAL_LOCAL_RELIABILITY,-0.00020340560082926507,0.0015116259465667858,0.0006541101728687604
d1,7,C08_SIX_VIEW_SUPPORT_MEDIAN,-5.89478825304135e-05,9.754699870212491e-05,1.929955808588346e-05
d1,7,C09_DUAL_SPARSE_SNF10,-0.023095773219931476,-0.042365758377947815,-0.03273076579893963
d1,7,C10_DUAL_MEAN_SPATIAL05,0.0009643119065129158,0.006402399313022777,0.0036833556097678466
d1,7,C11_DUAL_MEAN_SPATIAL10,-0.0009375507391805316,0.004035696340889794,0.001549072800854645
d1,8,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,8,C01_G00_H05,0.03923273081268164,0.013003919457648228,0.026118325135164988
d1,8,C02_DUAL_ARITHMETIC_MEAN,0.006336296007391606,0.0038031921428482995,0.005069744075119953
d1,8,C03_DUAL_ELEMENTWISE_MAX,0.00583081487693865,0.005601953877909849,0.005716384377424277
d1,8,C04_DUAL_ELEMENTWISE_MIN,0.03785065747940358,0.014876062110824984,0.026363359795114283
d1,8,C05_DUAL_HARMONIC_INTERSECTION,0.03604915306580586,0.01502170570003769,0.025535429382921804
