dataset,seed,candidate_id,delta_ari_vs_c00,delta_nmi_vs_c00,delta_q_vs_c00
p22,7,C02_DUAL_ARITHMETIC_MEAN,0.006569026648454046,0.008982726535877728,0.007775876592165831
p22,7,C03_DUAL_ELEMENTWISE_MAX,0.0067276602958682985,0.006184404458316806,0.006456032377092469
p22,7,C04_DUAL_ELEMENTWISE_MIN,-0.026175970981526075,-0.01256781034117127,-0.0193718906613487
p22,7,C05_DUAL_HARMONIC_INTERSECTION,-0.02716482782960139,-0.012424644681163333,-0.019794736255382417
p22,7,C06_DUAL_ROW_STOCHASTIC_MEAN,0.024078623811273403,0.01726260425876247,0.02067061403501791
p22,7,C07_DUAL_LOCAL_RELIABILITY,0.017719631855664275,0.01369124194706961,0.015705436901366943
p22,7,C08_SIX_VIEW_SUPPORT_MEDIAN,0.01822847593605914,0.014192389879727485,0.016210432907893257
p22,7,C09_DUAL_SPARSE_SNF10,-0.09342327158798813,-0.0999098342120266,-0.09666655290000742
p22,7,C10_DUAL_MEAN_SPATIAL05,0.0289778167425514,0.021716783235682935,0.02534729998911711
p22,7,C11_DUAL_MEAN_SPATIAL10,0.030865047147681846,0.024165199764440648,0.02751512345606122
p22,8,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,8,C01_G00_H05,0.06680581986354367,0.04521033346831016,0.05600807666592689
p22,8,C02_DUAL_ARITHMETIC_MEAN,0.07567223715512822,0.0474673602054555,0.061569798680291776
p22,8,C03_DUAL_ELEMENTWISE_MAX,0.07491638704511,0.04456228900891501,0.05973933802701248
p22,8,C04_DUAL_ELEMENTWISE_MIN,0.043573916723483486,0.03283437088129859,0.03820414380239101
p22,8,C05_DUAL_HARMONIC_INTERSECTION,0.03898411923241285,0.02935369766073881,0.03416890844657583
p22,8,C06_DUAL_ROW_STOCHASTIC_MEAN,0.08431154560795351,0.05144877110060342,0.06788015835427841
p22,8,C07_DUAL_LOCAL_RELIABILITY,0.07408636088518777,0.04635361178598085,0.06021998633558423
p22,8,C08_SIX_VIEW_SUPPORT_MEDIAN,0.07469308831530325,0.04724364779826373,0.06096836805678352
p22,8,C09_DUAL_SPARSE_SNF10,-0.0764239629726276,-0.09094832071185505,-0.08368614184224132
p22,8,C10_DUAL_MEAN_SPATIAL05,0.0897462730002152,0.05655127757101497,0.07314877528561503
p22,8,C11_DUAL_MEAN_SPATIAL10,0.09229955631235748,0.06026342436845611,0.07628149034040677
p22,9,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,9,C01_G00_H05,0.0034368393791350815,0.013574519100541749,0.00850567923983836
p22,9,C02_DUAL_ARITHMETIC_MEAN,-0.004324836503076579,0.011706779840936155,0.0036909716689297323
p22,9,C03_DUAL_ELEMENTWISE_MAX,0.03376063333912621,0.027008827610009223,0.03038473047456769
p22,9,C04_DUAL_ELEMENTWISE_MIN,-0.02754233251366539,-0.010330711570387896,-0.01893652204202667
p22,9,C05_DUAL_HARMONIC_INTERSECTION,-0.0350192611302661,-0.017999062971464475,-0.026509162050865287
p22,9,C06_DUAL_ROW_STOCHASTIC_MEAN,0.015337168454273686,0.022155632253638813,0.01874640035395625
p22,9,C07_DUAL_LOCAL_RELIABILITY,0.009252890378755929,0.018829435477909495,0.014041162928332684
p22,9,C08_SIX_VIEW_SUPPORT_MEDIAN,0.006624452492289212,0.016991473460552964,0.01180796297642106
p22,9,C09_DUAL_SPARSE_SNF10,-0.14706319290708747,-0.1418831665358024,-0.1444731797214449
p22,9,C10_DUAL_MEAN_SPATIAL05,0.01823555747835598,0.024914850011655942,0.02157520374500599
p22,9,C11_DUAL_MEAN_SPATIAL10,0.02155584725750348,0.027937346634984483,0.024746596946243926
tonsil,0,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
tonsil,0,C01_G00_H05,-0.004129935793871942,-0.019570156096014146,-0.011850045944943044
tonsil,0,C02_DUAL_ARITHMETIC_MEAN,-0.008782212698721453,-0.005122313523742483,-0.006952263111231982
tonsil,0,C03_DUAL_ELEMENTWISE_MAX,-0.006664307774637751,-0.004807017341550812,-0.005735662558094268
tonsil,0,C04_DUAL_ELEMENTWISE_MIN,-0.013455352698729772,-0.00991175002582434,-0.011683551362277056
tonsil,0,C05_DUAL_HARMONIC_INTERSECTION,-0.012729130719141363,-0.009017729436673894,-0.010873430077907642
tonsil,0,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0014580034040918843,-0.0019242182740010216,-0.001691110839046439
tonsil,0,C07_DUAL_LOCAL_RELIABILITY,-0.009259437445508917,-0.005789724870902235,-0.00752458115820559
tonsil,0,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.008304632909366227,-0.004869797486133476,-0.006587215197749852
tonsil,0,C09_DUAL_SPARSE_SNF10,-0.011453417860805143,-0.007819380162532585,-0.00963639901166885
tonsil,0,C10_DUAL_MEAN_SPATIAL05,0.03662608629522385,0.004892762744545198,0.020759424519884523
tonsil,0,C11_DUAL_MEAN_SPATIAL10,0.03787715719760715,0.004736009667128949,0.021306583432368048
tonsil,1,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
tonsil,1,C01_G00_H05,-0.003016518776512711,-0.001242711977944233,-0.002129615377228472
tonsil,1,C02_DUAL_ARITHMETIC_MEAN,-0.0015138849045128744,0.0002506115493589034,-0.0006316366775769855
tonsil,1,C03_DUAL_ELEMENTWISE_MAX,0.001053863502133573,0.0014939026355796914,0.001273883068856646
tonsil,1,C04_DUAL_ELEMENTWISE_MIN,-0.004967036565592664,-0.003424540410834065,-0.0041957884882133645
tonsil,1,C05_DUAL_HARMONIC_INTERSECTION,-0.005541320055723553,-0.003998046524513188,-0.0047696832901183706
tonsil,1,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0028555109304019,-0.0024048144356872414,-0.0026301626830445846
tonsil,1,C07_DUAL_LOCAL_RELIABILITY,-0.001286359679064264,0.00034690988891217245,-0.00046972489507604576
tonsil,1,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.0013617482284259963,0.0003237987285695243,-0.000518974749928236
tonsil,1,C09_DUAL_SPARSE_SNF10,-0.005129548355808616,-0.00211279155032984,-0.003621169953069242
tonsil,1,C10_DUAL_MEAN_SPATIAL05,-0.01234600048327103,-0.007515236124411628,-0.009930618303841315
tonsil,1,C11_DUAL_MEAN_SPATIAL10,-0.03094741010469021,-0.04654860801263874,-0.03874800905866446
tonsil,2,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
tonsil,2,C01_G00_H05,-0.002455651059851738,0.0010199169383761642,-0.0007178670607377868
tonsil,2,C02_DUAL_ARITHMETIC_MEAN,-0.0030061392483823057,-0.00033176812330182326,-0.0016689536858420784
tonsil,2,C03_DUAL_ELEMENTWISE_MAX,0.00013617877820343294,0.001294322702990791,0.0007152507405970843
tonsil,2,C04_DUAL_ELEMENTWISE_MIN,-0.008108584004222319,-0.0049863954391281,-0.006547489721675237
tonsil,2,C05_DUAL_HARMONIC_INTERSECTION,-0.008595398049098063,-0.005864380521371559,-0.007229889285234825
tonsil,2,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0032734991593399987,-0.00139902649059509,-0.002336262824967572
tonsil,2,C07_DUAL_LOCAL_RELIABILITY,-0.0030767671705244637,-0.00041979864902486064,-0.00174828290977469
tonsil,2,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.00252018461944864,-7.336247885092462e-05,-0.00129677354914981
tonsil,2,C09_DUAL_SPARSE_SNF10,-0.014245438905909708,-0.01150289171626434,-0.012874165311087038
tonsil,2,C10_DUAL_MEAN_SPATIAL05,-0.014954777926499185,-0.009475178064971501,-0.012214977995735343
tonsil,2,C11_DUAL_MEAN_SPATIAL10,0.012022235992334152,-0.033065261695099074,-0.010521512851382475
tonsil,3,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
tonsil,3,C01_G00_H05,-0.0018469131200532785,-0.0027375641650064786,-0.0022922386425298646
tonsil,3,C02_DUAL_ARITHMETIC_MEAN,-0.0016590652179807874,-0.0015980870754165322,-0.001628576146698646
tonsil,3,C03_DUAL_ELEMENTWISE_MAX,0.0023254638618288026,0.0015464089069598397,0.0019359363843943211
tonsil,3,C04_DUAL_ELEMENTWISE_MIN,-0.0072774619962708564,-0.005878198993798656,-0.006577830495034742
tonsil,3,C05_DUAL_HARMONIC_INTERSECTION,-0.008028110763198593,-0.008412487295031301,-0.008220299029114947
tonsil,3,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.00250777604911534,-0.0017321084940770115,-0.0021199422715961758
tonsil,3,C07_DUAL_LOCAL_RELIABILITY,-0.0020606796322590326,-0.00198557209695438,-0.0020231258646067063
tonsil,3,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.001956664532103275,-0.0016988256622307851,-0.001827745097167044
tonsil,3,C09_DUAL_SPARSE_SNF10,-0.016608857445763126,-0.012190473002019753,-0.014399665223891439
tonsil,3,C10_DUAL_MEAN_SPATIAL05,-0.016558858980267044,-0.01231392465270631,-0.014436391816486677
tonsil,3,C11_DUAL_MEAN_SPATIAL10,0.0045171535436506205,-0.03231983766409238,-0.013901342060220867
tonsil,4,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
tonsil,4,C01_G00_H05,-0.008814701562090826,-0.008388736599622026,-0.008601719080856413
tonsil,4,C02_DUAL_ARITHMETIC_MEAN,-0.004199490475172735,-0.0030576662503117302,-0.0036285783627422186
tonsil,4,C03_DUAL_ELEMENTWISE_MAX,0.00019023969345449698,-0.0015447320084281957,-0.0006772461574868216
tonsil,4,C04_DUAL_ELEMENTWISE_MIN,-0.010204928544161912,-0.011636143303515312,-0.010920535923838598
tonsil,4,C05_DUAL_HARMONIC_INTERSECTION,-0.012461956756573495,-0.013037387959771662,-0.012749672358172565
tonsil,4,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.008002392510279094,-0.007694515045689243,-0.007848453777984155
tonsil,4,C07_DUAL_LOCAL_RELIABILITY,-0.004420676819490377,-0.003834544822184649,-0.004127610820837513
tonsil,4,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.003783431545461041,-0.002212830031485702,-0.0029981307884733577
tonsil,4,C09_DUAL_SPARSE_SNF10,-0.0034214695799986983,-0.00622499446346203,-0.00482323202173035
tonsil,4,C10_DUAL_MEAN_SPATIAL05,-0.013763280529831695,-0.008936236699245592,-0.01134975861453863
tonsil,4,C11_DUAL_MEAN_SPATIAL10,0.036148833566663735,0.0015003208902709675,0.018824577228467365
