lane,global_wall_seconds,global_peak_rss_mib,gpu_time_seconds,peak_gpu_mib
P22_K9,5.550040161237121,82.84375,0,0
MISAR_K7,2.757437178865075,79.26171875,0,0
HUMAN_HIPPOCAMPUS_K7,3.146559827029705,79.296875,0,0
MELANOMA_TUMOR_K2,2.371288461610675,77.90625,0,0
