lane,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size_full,min_cluster_size_eval,cluster_sizes_full,cluster_sizes_eval,partition_sha256,candidate_id,arm,start_id,plain_medoid_ari,plain_medoid_nmi,delta_vs_medoid_ari,delta_vs_medoid_nmi,training_lanes,selector_weights,heldout_evaluation_opened_during_fit,fit_manifest_sha256
P22_K9,0.5963900556825741,0.7182431752166996,0.7177564029544009,0.6561938761976059,0.7301798169767678,0.7182431752166996,0.9319680778656318,0.0705238845729904,0.9574969751496913,9196,9196,9,166,166,"[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]","[1148, 624, 1482, 802, 1019, 1524, 612, 1819, 166]",76ec89c8243fc4856692ddcd4cf2906df971381b968a5489c245a74c52eda3be,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,UNIFORM_MASS_MATCHED_PATH,AUTHORITY_STRONG_START,0.5144519726101757,0.6449194896266399,0.08193808307239836,0.07332368559005964,"[""MISAR_K7"",""HUMAN_HIPPOCAMPUS_K7"",""MELANOMA_TUMOR_K2""]","{""molecular_weight"":0.25,""risk_weight"":0.0,""topology_weight"":1.0}",False,791d55d1af02da4a40c0cdcfb3f114eab8e27f22a312fb70668b07f0806b48e2
MISAR_K7,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,1949,1949,7,125,125,"[293, 446, 182, 267, 351, 285, 125]","[293, 446, 182, 267, 351, 285, 125]",c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,AUTHORITY_STRONG_START__DIRECT_BASE,DIRECT_BASE,AUTHORITY_STRONG_START,0.3631067993193522,0.5502872044695606,0.17219925558730043,0.10797744133750842,"[""P22_K9"",""HUMAN_HIPPOCAMPUS_K7"",""MELANOMA_TUMOR_K2""]","{""molecular_weight"":0.25,""risk_weight"":0.0,""topology_weight"":1.0}",False,c39c110e77c7e8ff052f9fb253bc98eb528818e49cc6ba47f2c63275e5a901fe
HUMAN_HIPPOCAMPUS_K7,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,0.7741071663682941,0.2177857175066828,0.9012346431055147,2500,2500,7,34,34,"[34, 59, 299, 655, 160, 869, 424]","[34, 59, 299, 655, 160, 869, 424]",b12f6fe847dbeb1edf7bafe44279a9ea637f493a0099d74ffb68d5fcb08e2609,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,UNIFORM_MASS_MATCHED,KMEANS_RETAINED_S4,0.5727354282776732,0.5600655047653899,0.02344293381922835,0.025424013265442524,"[""P22_K9"",""MISAR_K7"",""MELANOMA_TUMOR_K2""]","{""molecular_weight"":0.25,""risk_weight"":0.0,""topology_weight"":1.0}",False,2751e15eb6abfe094ec2bd1ef5d8e500594be63564a7a60a35ed199cf7e037b5
MELANOMA_TUMOR_K2,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,0.8407115674276644,0.8384393166674207,0.9342954819344362,1.9188465665562544e-05,0.9999914873222259,833,833,2,276,276,"[276, 557]","[276, 557]",8a4a5a5cc80ac381e70b3719c416dcae57b3178dd350cd285666b3309d3fd69e,KMEANS_RETAINED_S3__DIRECT_BASE,DIRECT_BASE,KMEANS_RETAINED_S3,0.9188297279678376,0.8451729029040616,-0.004652501143317389,-0.006733586236640776,"[""P22_K9"",""MISAR_K7"",""HUMAN_HIPPOCAMPUS_K7""]","{""molecular_weight"":0.25,""risk_weight"":0.0,""topology_weight"":1.0}",False,06cb7cff0d55e275026d8d65e391b98c375056d5649936ac57b4aad847edd0b6
