lane,control,feasibility_mode,candidate_id,absolute_ari,absolute_nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,morans_i_macro,gearys_c_macro,feasible_count,homogeneity,v_measure,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size_eval,cluster_sizes_eval,partition_sha256,arm,start_id
MISAR_K7,FEASIBLE_MIN_INERTIA,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__INPUT_START,0.35569313389591267,0.5352512893740758,0.5328188869990194,0.4786422202107025,148,"[250, 369, 279, 265, 148, 230, 408]",0.8939995634313039,0.10717068027724228,89,,,,,,,,,,,
MISAR_K7,FEASIBLE_MAX_CH,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__INPUT_START,0.35569313389591267,0.5352512893740758,0.5328188869990194,0.4786422202107025,148,"[250, 369, 279, 265, 148, 230, 408]",0.8939995634313039,0.10717068027724228,89,,,,,,,,,,,
MISAR_K7,FEASIBLE_MAX_SPATIAL,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__AUTHORITY_STRONG_START__L06,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,125,"[293, 445, 181, 265, 353, 287, 125]",0.9223604516801551,0.07954452238594586,89,,,,,,,,,,,
MISAR_K7,PARETO_MAXIMIN,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S1__ATAC_ONLY_SUPPORT,0.36353160216279407,0.550851840455154,0.5484976340003345,0.4854019307836222,145,"[145, 382, 286, 410, 258, 244, 224]",0.916431589095046,0.08549034965906789,89,,,,,,,,,,,
MISAR_K7,EQUAL_RANK,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S1__ATAC_ONLY_SUPPORT,0.36353160216279407,0.550851840455154,0.5484976340003345,0.4854019307836222,145,"[145, 382, 286, 410, 258, 244, 224]",0.916431589095046,0.08549034965906789,89,,,,,,,,,,,
MISAR_K7,CONTENT_ADAPTIVE,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S0__INPUT_START,0.3556349784747265,0.5354096019683647,0.5329784468474222,0.47856859088716314,149,"[149, 230, 250, 369, 407, 279, 265]",0.8940381808208301,0.10706574130941296,89,,,,,,,,,,,
MISAR_K7,PARETO_CENTRAL,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S1__RNA_ONLY_SUPPORT,0.3633419115119692,0.5507646317245257,0.5484091607603234,0.48528954978362476,143,"[143, 382, 288, 411, 259, 242, 224]",0.9154915839329018,0.08643174626466887,89,,,,,,,,,,,
MISAR_K7,CROSS_EVIDENCE_ARBITRATION,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__AUTHORITY_STRONG_START__L06,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,125,"[293, 445, 181, 265, 353, 287, 125]",0.9223604516801551,0.07954452238594586,89,,,,,,,,,,,
MISAR_K7,NIGHT16G_FIXED_AUTHORITY_DIRECT_ENERGY,,AUTHORITY_STRONG_START__DIRECT_BASE,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,125.0,"[293, 446, 182, 267, 351, 285, 125]",0.9225167185254016,0.07943000491844185,,0.6958877117624496,0.6582646458070689,0.9373627981852773,1949.0,1949.0,7.0,125.0,"[293, 446, 182, 267, 351, 285, 125]",c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START
MISAR_K7,NIGHT16G_MULTI_EVIDENCE_GLOBAL,,AUTHORITY_STRONG_START__DIRECT_BASE,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,125.0,"[293, 446, 182, 267, 351, 285, 125]",0.9225167185254016,0.07943000491844185,,0.6958877117624496,0.6582646458070689,0.9373627981852773,1949.0,1949.0,7.0,125.0,"[293, 446, 182, 267, 351, 285, 125]",c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START
