corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,step
0.00020484190569509318,0.00021569057557720365,0.3333333337437228,0.00011295366842752163,0.00021569057502859068,0.33333333289588335,True,True,True,True,0.0,0.00020789658966835,0.0002156905753291623,0.3333333333603939,6.7723034228574365e-06,0.0,0.0,0
0.00019060587217381843,0.00020070058486353266,0.32505666850099846,0.00010884645542644988,0.00020784765017011644,0.3366321267374399,True,True,True,True,0.000625,0.00020133632454923009,0.0002088843676847171,0.33831120476156157,6.553692920938883e-06,0.0,0.0,1
0.00014414853845061762,0.00015178281573549702,0.29303080370162393,9.368012134232956e-05,0.00017888679068480754,0.3453575412471029,True,True,True,True,0.003125,0.00018053771648451574,0.00018730602555471656,0.3616116550512732,5.737098944048233e-06,0.0,0.0,5
0.00010943934450977129,0.00011523538178384507,0.26633176985909174,7.747983677719423e-05,0.00014795155199689384,0.3419453130345447,True,True,True,True,0.00625,0.00016336463479399993,0.00016948912978018255,0.39172291710636364,4.8800761471167805e-06,0.0,0.0,10
8.738369091104754e-05,9.201163465408918e-05,0.2685341696655741,5.3110424352799405e-05,0.00010141696261966301,0.295983436762749,True,True,True,True,0.0125,0.00014382354480808703,0.00014921544973403914,0.4354823935716769,3.990947141606033e-06,0.0,0.0,20
8.216934898538916e-05,8.652113500566425e-05,0.32093152924349183,2.7433407261315976e-05,5.238543793718014e-05,0.19431250764531255,True,True,True,True,0.025,0.00012596479347459902,0.00013068717875121364,0.4847559631111957,4.15343949982561e-06,0.0,0.0,40
7.66234067885174e-05,8.068147314300943e-05,0.3601254252419077,1.528687488546109e-05,2.9191038063105875e-05,0.13029552617482862,True,True,True,True,0.05,0.00011003929395067498,0.00011416463665372576,0.5095790485832635,5.083903834555328e-06,0.0,0.0,80
5.9327644221782876e-05,6.246970651055819e-05,0.41585676934452703,8.951040487459957e-06,1.7092451238830442e-05,0.11378333514593254,True,True,True,True,0.2,6.810392965644176e-05,7.065712714772358e-05,0.4703598955095404,8.009441011337104e-06,0.0,0.0,320
3.2146256395359005e-05,3.384876019894125e-05,0.4308683244843357,5.861275143629834e-06,1.119239263080252e-05,0.14247043116088925,True,True,True,True,0.5,3.230707130743864e-05,3.351825447746902e-05,0.4266612443547751,1.007176551605632e-05,0.0,0.0,800
2.0385968849146918e-05,2.14656338987417e-05,0.4377639596112374,3.0452671616797872e-06,5.8150871446894674e-06,0.11859121356266535,True,True,True,True,1.0,2.096791909650777e-05,2.1754000585559408e-05,0.44364482682609724,1.0477378920587473e-05,0.0,0.0,1600
