fraction_of_training,state_file_saved,state_sha256,step
0.0,False,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,0
0.000625,False,37b7ecc1e43e52be2b7a2df99dc1ebeab21a26899adee1d4f85c2d26569bfaf8,1
0.003125,False,80dfe994b6266a30176440e6b9306902c85a89e0b0ccad08d5e038780e3a4805,5
0.00625,False,54216d8e276822ad9ebf08ff34847f7231f96c4a71cf9325dab7de61c89ba939,10
0.0125,False,bec84def000e16b9b3391fca91603c186a43867a491048a895a0161b9c596fb7,20
0.025,False,f86c401b98246931d4d74d96d6235b767e94892d55354fbb093fd50b7ae188af,40
0.05,False,69171d60a276f5c69ce662d2925de05f8fe2dab433878791e81918e3c5afdecb,80
0.2,False,15de40139c1019cda9d42006a90c768ceb189169359b4b1c4b86fef20ae07c26,320
0.5,False,d47f38e0f7c824853174fc637f256de676c957ca34bdf4426f382d0f3c026a5f,800
1.0,False,c4202122ea241ca38bbcc484e80ee075713b3d823092dfc90bea9cc9743d50b4,1600
