step,fraction_of_training,state_sha256,state_file_saved
0,0.0,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,False
1,0.000625,02efd0adb9104cc5f48219dbe0b67645007817414742820354019e8cb4d283ff,False
5,0.003125,ced6a60b34e14c6b8c34e1df9534465796cd23ec1edaaca930eaef34c0b80a81,False
10,0.00625,06f6b83ba278bc1673388489165c50aadd562509a0833b66b6247a05b08aa668,False
20,0.0125,b8caedeb6c7bc97d00a4011bd1f65ad1c04b07c2002b09cf1a6dfb45af0909c9,False
40,0.025,24dca7330f796b22f2bc4fbc4192032a41000bb4fafaf3b84fa9bf4b46fb1607,False
80,0.05,88540c0d39de3494e6c40597383332a4f2c8d38ed6403544cbaa75b59bfd8754,False
320,0.2,d38153758fb08423fc74e5de092e7e1b83ded61b6b0001b2782de5a34673a6ce,False
800,0.5,31462810e0ee78d3d7a36e29eb0ab0f9bec7eaf67c42838206726b9643728998,False
1600,1.0,6ee45a38540b4b639f4f4552b66ced388c603c0cdccb590a7dd82a2f51df5272,True
