ami,ari,boundary_disagreement,cpu_peak_rss_mib,dataset,embedding_davies_bouldin,embedding_silhouette,fmi,gpu_peak_allocated_mib,gpu_peak_reserved_mib,homogeneity,hungarian_balanced_accuracy,hungarian_macro_f1,hungarian_weighted_f1,n_observations_evaluated,n_observations_trained,nmi,runtime_seconds,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement,v_measure,variant
0.3744541309083556,0.24227253608522722,0.4470436280137773,1290.9765625,a1,1.9087904893171754,0.1543259173631668,0.3845369483630584,747.2646484375,840.0,0.42825629910281376,0.4269856053420099,0.3301737032845445,0.5060434374731085,3484,3484,0.3784402540802451,13.011847399175167,0,0.5431955372763317,0.4673736833508636,0.5529563719862227,0.3784402540802452,FULL_IGE
0.37417940391874926,0.2612917888533778,0.4233320576604158,1330.65234375,a1,1.7925609122740682,0.1697135716676712,0.4011646032473045,747.1728515625,840.0,0.4276178262510125,0.3885243351171884,0.34273774148400105,0.5150679166467923,3484,3484,0.37817200424920216,17.85895782150328,1,0.5295227282155452,0.4788501961955197,0.5766679423395842,0.3781720042492022,FULL_IGE
0.36055087057767304,0.24560192444896342,0.41349343028447505,1352.9453125,a1,1.9453672251369407,0.12633776664733887,0.3883099340330396,747.1728515625,840.0,0.41100444138368836,0.43342434853292316,0.3510589434775992,0.5186005663213054,3484,3484,0.3646425650971038,9.634900918230414,2,0.518486579157029,0.49231128120401246,0.586506569715525,0.3646425650971038,FULL_IGE
0.36353882797687537,0.2497069974631136,0.4091083046306927,1357.39453125,a1,2.05397747315894,0.1622312068939209,0.39428409016700905,747.1728515625,840.0,0.41182367509413137,0.4661417785723522,0.34236032368312025,0.5063600106666353,3484,3484,0.367636709818452,12.577706286683679,3,0.5179337675649442,0.49059083213010013,0.5908916953693073,0.367636709818452,FULL_IGE
0.36943001117406893,0.23542060893812203,0.42387421865033803,1357.39453125,a1,2.0524770956655534,0.14427006244659424,0.37937477928279384,747.1728515625,840.0,0.42251231312500903,0.4816854287484061,0.34726552637106345,0.4918417899360001,3484,3484,0.3734507847867272,11.178248271346092,4,0.522277005548345,0.4883071809623184,0.576125781349662,0.37345078478672716,FULL_IGE
0.3702933581299014,0.2549616624991458,0.40158183441765527,1357.39453125,a1,1.9450491940008852,0.12449970096349716,0.39608438934398815,747.1728515625,780.0,0.41980483629953186,0.4039998217587666,0.33392718564416884,0.5216185415018697,3484,3484,0.3743380466467944,11.240959662944078,0,0.48280569490392694,0.5256196908872608,0.5984181655823447,0.3743380466467944,DROP_RNA_RECON
0.35270701675464755,0.20152829588150098,0.43982013011863763,1357.39453125,a1,1.9757116947642281,0.1150267943739891,0.34693778648591656,747.1728515625,780.0,0.4068439141797834,0.32151394066676675,0.29427572838956173,0.4607165014727096,3484,3484,0.35680147643670296,14.243548072874546,1,0.49669393601963263,0.5130042211311407,0.5601798698813624,0.356801476436703,DROP_RNA_RECON
0.3405478141501003,0.20468604511602775,0.35143194284985335,1357.39453125,a1,2.129306531751694,0.1001758947968483,0.35241416889768323,747.1728515625,780.0,0.38911607147501037,0.3272701126639276,0.2917745920776007,0.47926076741890217,3484,3484,0.3447594045240914,12.654147982597351,2,0.4188482073547468,0.5896688431858064,0.6485680571501466,0.3447594045240914,DROP_RNA_RECON
0.3650746624056846,0.22864392161702154,0.3937045541523153,1357.39453125,a1,2.190151856079104,0.08749005943536758,0.37142295028660416,747.1728515625,780.0,0.4190228707602868,0.45982655561220903,0.3187975781333393,0.4833488660704269,3484,3484,0.36910744623114833,12.04163640923798,3,0.4606951926595503,0.5516725999478819,0.6062954458476847,0.36910744623114833,DROP_RNA_RECON
0.32268654289331294,0.1830876426022314,0.37109325169026663,1357.39453125,a1,1.8222772010425186,0.133325457572937,0.32708640159875646,747.1728515625,780.0,0.37745942798651194,0.30630508973836923,0.27578558528597086,0.4410735948032781,3484,3484,0.3269181360299787,17.421238087117672,4,0.4316766444955462,0.5758752757874508,0.6289067483097334,0.3269181360299787,DROP_RNA_RECON
0.3557427304668157,0.23255305030449894,0.4258834034953438,1357.73828125,a1,1.9673885265603417,0.11096633225679398,0.37974656776990673,747.1728515625,780.0,0.4025475045425729,0.43320538239212186,0.32304654399924987,0.46810618471121135,3484,3484,0.35989564455572787,12.107538672164083,0,0.5462665165346282,0.46518594999834645,0.5741165965046562,0.3598956445557278,DROP_MOD2_RECON
0.3644444033107793,0.2526902921369767,0.44910065059318793,1358.3125,a1,2.0286920690015204,0.13935744762420654,0.3924185930783599,747.1728515625,780.0,0.4179460210745201,0.4369166751032151,0.3453041775856223,0.5302893908530518,3484,3484,0.368484788025063,13.919162822887301,1,0.5495054639700518,0.46080218080264934,0.5508993494068121,0.36848478802506296,DROP_MOD2_RECON
