lane,role,start_candidate,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,internal_smallest_scale_edge_counts,all_clusters_have_internal_smallest_scale_edge,changed_observations_vs_start,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,INPUT_GEOMETRY_START,4bf792b4d72c46b43e4f3758e0201ac9709c3f9fc3ae13a26f53cc3e26384aeb,0.13718156379016871,0.1917620948287601,0.18848528901560416,0.29816141519957773,0.1985861323698247,0.19176209482876008,2500,2500,7,127,127|225|329|342|416|487|574,127,127|225|329|342|416|487|574,323|323|127|134|178|208|332,True,0,0.31862745098039214,0.2284005698822637,0.7709559146168987,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__EMISSION_ONLY__S0,4bf792b4d72c46b43e4f3758e0201ac9709c3f9fc3ae13a26f53cc3e26384aeb,0.13718156379016871,0.1917620948287601,0.18848528901560416,0.29816141519957773,0.1985861323698247,0.19176209482876008,2500,2500,7,127,127|225|329|342|416|487|574,127,127|225|329|342|416|487|574,323|323|127|134|178|208|332,True,0,0.31862745098039214,0.2284005698822637,0.7709559146168987,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,91ff31b71e259c7482dc88b458e8a84106ad41c9855bc55dd95f895ca037f60a,0.16577775994846206,0.23271902180148457,0.22958056217134434,0.32481087810540954,0.23909590993851598,0.2327190218014846,2500,2500,7,121,121|164|320|366|409|500|620,121,121|164|320|366|409|500|620,503|389|249|136|269|195|460,True,324,0.4315686274509804,0.3586999466971112,0.6406269241634385,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,837c8668bde63735f4d5fbe6eff576b77879ba7af962c9597f8b6044c7e9adf3,0.15492717400617592,0.21639072564886971,0.2131815432807524,0.31644753014789484,0.22208350063574936,0.2163907256488697,2500,2500,7,116,116|168|325|339|418|509|625,116,116|168|325|339|418|509|625,399|408|145|122|195|181|375,True,232,0.35784313725490197,0.27926140281360795,0.719902619520564,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,3fc2797fd191d48b308bd67cc4f0edd61c8fe35d34a9a7816b8e8d33667e0f30,0.16807077724814898,0.23397037346066796,0.23083543658073513,0.32692838576506866,0.24026439867646238,0.23397037346066799,2500,2500,7,121,121|164|320|352|413|508|622,121,121|164|320|352|413|508|622,506|393|234|136|274|195|472,True,333,0.43333333333333335,0.3597555991900765,0.6395159135008669,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__FULL__S0,3c4d81ea2e3ccc7bae7fefae74a3f9f0fb164f87b7fff5efd034744ae2bdf81e,0.15606061732944834,0.21767767449663744,0.21447335410514315,0.317464199936316,0.22337213973367018,0.21767767449663744,2500,2500,7,117,117|167|325|336|418|510|627,117,117|167|325|336|418|510|627,395|409|144|123|195|181|373,True,233,0.3568627450980392,0.2788870991429891,0.7202213631894642,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,INPUT_GEOMETRY_START,c7b30d264afdd3be7f1a7cd7437bb210072ab0dd9097cbfcaaa92a3da913d454,0.06927687591218043,0.1468393893096372,0.14308162689122628,0.26641156081315476,0.1430244880795531,0.1468393893096372,2500,2500,7,29,29|45|291|313|439|620|763,29,29|45|291|313|439|620|763,709|397|315|125|220|85|13,True,0,0.36549019607843136,0.27388645612463336,0.7222446966273832,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__EMISSION_ONLY__S0,c7b30d264afdd3be7f1a7cd7437bb210072ab0dd9097cbfcaaa92a3da913d454,0.06927687591218043,0.1468393893096372,0.14308162689122628,0.26641156081315476,0.1430244880795531,0.1468393893096372,2500,2500,7,29,29|45|291|313|439|620|763,29,29|45|291|313|439|620|763,709|397|315|125|220|85|13,True,0,0.36549019607843136,0.27388645612463336,0.7222446966273832,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,f195e83103dab9625fd61a711ce09c8a7c5b57652d92c38a41e57c33cc83489b,0.08228740357609977,0.17006260946887222,0.16635225479055146,0.28109498465629795,0.1639369055522859,0.17006260946887222,2500,2500,7,19,19|44|235|334|412|668|788,19,19|44|235|334|412|668|788,839|530|343|188|233|83|13,True,187,0.4370588235294118,0.35821780500415484,0.6371459841831976,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,8d63b23f984857f602fc05c36186c5aba5d0d2ebb95c611fdfdb10f15e7cd76f,0.06883576236893967,0.14843190550599178,0.14466188881636854,0.26689770037569643,0.14417838884042355,0.14843190550599178,2500,2500,7,23,23|45|286|314|439|625|768,23,23|45|286|314|439|625|768,710|401|315|125|219|85|13,True,15,0.36627450980392157,0.28204619225213584,0.7136480290721633,independent_evaluator_after_partition_and_checkpoint_lock
