lane,role,start_candidate,candidate_id,ari,nmi,delta_ari_vs_start,delta_nmi_vs_start,changed_observations,partition_sha256
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.5738227940477993,0.5630342095496295,-0.022355568049102215,-0.022455308481202918,120,ea7e2dcaf005f0f09b7cc5463e85c825feb135fc3fd2fa2aa9fe619353799af5
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,0.5958243243810416,0.5887372976059152,-0.00035403771585995614,0.003247779575082821,25,55ff03c538ba591c3892413309db0827941ea0d6ab324514a9f02cf830c0b185
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,INPUT_GEOMETRY_START,0.819529763376469,0.7248615212023887,0.0,0.0,0,d193308b2c8b169563b9e2921fe03a4ce6f9f980c01e8c5f0a60bb20a4a4ee76
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__EMISSION_ONLY__S0,0.819529763376469,0.7248615212023887,0.0,0.0,0,d193308b2c8b169563b9e2921fe03a4ce6f9f980c01e8c5f0a60bb20a4a4ee76
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,0.95660620405201,0.9077769500054643,0.13707644067554103,0.18291542880307565,34,165f520303cd3a5205b4c63f69281ea1a1f439ad3fa2540f8d3e64feb2b22281
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,0.923555656613929,0.8543426691299544,0.10402589323746003,0.1294811479275657,41,91b418a297cf4f341a3893bbf4f835c8bf27fa18622c2746ed74bb2f63c53bfd
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.9613885274057146,0.9173897278195653,0.14185876402924558,0.19252820661717662,33,40b2914d8edc69080119bdfcfe9732cc7749b09b6d9e60060999314808976c92
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__FULL__S0,0.9282595238908207,0.8628197852630969,0.10872976051435168,0.1379582640607082,42,99f847650ca11b99d5ecc274189dd70ccb42330d0c6b0c1bd82c6ed5da875d67
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,INPUT_GEOMETRY_START,0.8105591406877988,0.7057591865230683,0.0,0.0,0,e43e805feb4510ab77eb7abac81872d4e600d2419eb8740f79dd093d8ddee5ae
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__EMISSION_ONLY__S0,0.8105591406877988,0.7057591865230683,0.0,0.0,0,e43e805feb4510ab77eb7abac81872d4e600d2419eb8740f79dd093d8ddee5ae
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,0.9517947242775668,0.8985552440798433,0.14123558358976807,0.19279605755677498,35,60869aedb44c0656197b1395eb5b9b5dad6006790f93bd1fe4631315e0030b2a
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,0.9329213417021096,0.8680330137989708,0.12236220101431083,0.16227382727590245,47,15ead969d533a993498e57c0ba63d54eb6bdbca1f2f31fb447078364e507e55b
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.9613420632116575,0.9155992109463498,0.15078292252385872,0.20984002442328142,35,4e7ab32e85404cffc525440d4a526d843297b5f51ef903cb6e3907a5bc956acf
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__FULL__S0,0.928203630490583,0.8599139985672275,0.11764448980278419,0.15415481204415915,46,b1cf575f0f5e21b04746bee26ba51db9e780d3d642ab69bb8741c83e58443d02
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,INPUT_GEOMETRY_START,0.9141772268245202,0.8384393166674208,0.0,0.0,0,a57dcbd03e7e119477cb020264c8500ee07b2bb95d0f4663e1cc7346a6327aa6
